feature,importance
f86,126.9550552368164
f16,56.966793060302734
f105,52.062496185302734
f14,33.04441833496094
f88,28.413965225219727
f94,28.201528549194336
f89,20.23953628540039
f100,16.99142074584961
f13,16.510469436645508
f92,15.903318405151367
f97,11.787930488586426
f1,11.718873023986816
f103,10.74119758605957
f102,9.62439250946045
f0,8.183189392089844
f22,7.354266166687012
f91,6.3629841804504395
f104,5.846899032592773
f96,5.492316246032715
f35,5.102936267852783
f101,5.0409770011901855
f95,5.029661178588867
f29,4.99642276763916
f93,4.939143180847168
f30,4.856064319610596
f87,4.8461127281188965
f99,4.768202781677246
f98,4.62434196472168
f33,4.559226036071777
f34,4.431134223937988
f37,4.360819339752197
f90,4.19317102432251
f21,4.173333644866943
