feature,importance
f86,82.02061462402344
f14,33.16684341430664
f94,18.82720375061035
f16,17.639951705932617
f13,17.6081485748291
f88,15.183634757995605
f105,14.163156509399414
f1,12.150769233703613
f100,12.023507118225098
f89,9.952527046203613
f0,8.83519172668457
f102,5.6268439292907715
f92,5.264854907989502
f35,5.0486369132995605
f91,4.590402126312256
f97,4.457853317260742
f104,4.42935037612915
f30,4.276965618133545
f34,4.157347679138184
f101,4.122237682342529
f96,4.035118103027344
f93,4.032073020935059
f33,3.9958553314208984
f87,3.9922702312469482
f99,3.9904422760009766
f95,3.8030903339385986
f22,3.778731107711792
f37,3.7381784915924072
f29,3.663705348968506
f98,3.63848876953125
f103,3.6044418811798096
f21,3.3822028636932373
f90,3.325918197631836
