feature,importance
f86,53.52633285522461
f14,26.324316024780273
f87,12.043563842773438
f90,11.472702980041504
f88,9.49959945678711
f99,8.778314590454102
f94,8.522951126098633
f102,8.132027626037598
f89,7.065982341766357
f92,7.061469554901123
f100,7.00424861907959
f103,6.361307144165039
f1,5.261375427246094
f105,4.870913028717041
f16,4.69326639175415
f96,4.546750545501709
f0,4.440858840942383
f97,4.35738468170166
f13,4.297979354858398
f95,4.283405780792236
f22,3.840149402618408
f93,3.5940797328948975
f104,3.5731122493743896
f98,3.5015318393707275
f37,3.336353302001953
f101,3.325812339782715
f30,3.2666594982147217
f29,3.0706875324249268
f91,3.0599772930145264
f35,2.997061252593994
f34,2.9287164211273193
f21,2.8236312866210938
f33,2.6785194873809814
