feature,importance
f86,49.507266998291016
f14,27.920536041259766
f90,11.941999435424805
f87,11.665694236755371
f88,9.57258415222168
f99,8.902912139892578
f102,8.427614212036133
f94,8.373882293701172
f89,7.747763156890869
f92,7.376969814300537
f103,7.143251419067383
f100,6.7014923095703125
f1,5.50410795211792
f16,5.264125347137451
f95,5.046830654144287
f97,4.897327899932861
f105,4.576781272888184
f0,4.521993637084961
f96,4.221348285675049
f13,4.212128639221191
f93,4.1676201820373535
f98,3.5743632316589355
f22,3.5113184452056885
f104,3.508084297180176
f30,3.418290853500366
f29,3.2501065731048584
f37,3.237537384033203
f34,3.0836806297302246
f35,3.075709581375122
f91,2.986654281616211
f101,2.9818365573883057
f33,2.8835644721984863
f21,2.6352908611297607
