feature,importance
f86,74.65174865722656
f14,12.207290649414062
f94,11.862981796264648
f102,11.396507263183594
f88,9.341400146484375
f89,9.233254432678223
f0,7.664429664611816
f13,6.485349178314209
f100,6.045673370361328
f103,6.012910842895508
f97,5.752199172973633
f16,5.216979503631592
f1,5.025521278381348
f91,3.4816131591796875
f92,3.3533475399017334
f105,3.2446579933166504
f34,3.0195538997650146
f21,2.9540138244628906
f96,2.8819384574890137
f29,2.8644933700561523
f99,2.8512043952941895
f104,2.773531436920166
f30,2.6942765712738037
f35,2.6466286182403564
f22,2.6325788497924805
f98,2.527340888977051
f93,2.52225399017334
f33,2.515611410140991
f87,2.5073742866516113
f101,2.4662249088287354
f37,2.4613564014434814
f90,2.205528974533081
f95,2.194624662399292
