graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,30,48,26,43,0.8571428571428571,0.9330357142857142,0.7894736842105263,0.9375,18,16,0.125,True,0.061559871304780245,0.1007419959641993,0.10081553691998124,1.0007299930389315,0.13333333333333333,0.10416666666666663,5
1,erdos,10,17,8,13,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,6,6,0.0,True,0.011709297075867653,0.0926897288300097,0.0679268748499453,0.7328414454046062,0.2,0.23529411764705888,3
2,erdos,7,8,6,6,0.8888888888888888,0.9583333333333334,0.8,1.0,4,4,0.0,True,0.00689900666475296,0.08037374680861831,0.06807690532878041,0.8470042524069646,0.14285714285714285,0.25,2
3,erdos,33,53,27,45,0.6470588235294118,0.7904411764705883,0.6111111111111112,0.6875,18,16,0.125,True,0.06575117679312825,0.09763244958594441,0.07157813524827361,0.7331387827698047,0.18181818181818182,0.15094339622641506,6
4,erdos,17,27,14,23,0.8571428571428571,0.8214285714285715,0.8181818181818182,0.9,10,10,0.0,True,0.03251974005252123,0.089979138225317,0.06778993317857385,0.7533961150952668,0.17647058823529413,0.14814814814814814,4
5,erdos,31,53,28,49,0.8,0.7841880341880341,0.7272727272727273,0.8888888888888888,19,18,0.05555555555555555,True,0.06396511103957891,0.08977563586086035,0.08551828982308507,0.9525779350159818,0.0967741935483871,0.07547169811320753,4
6,erdos,17,21,17,21,0.8571428571428571,0.8958333333333334,0.75,1.0,9,9,0.0,True,0.01449846988543868,0.0797605817206204,0.06356097804382443,0.796897122271014,0.0,0.0,0
7,erdos,28,179,28,179,0.9230769230769231,0.8533333333333333,0.8888888888888888,0.96,25,25,0.0,True,0.22566144401207566,0.18303594924509525,0.17587854992598295,0.9608962100143063,0.0,0.0,0
8,erdos,31,48,27,42,0.7368421052631579,0.7605042016806722,0.6666666666666666,0.8235294117647058,18,17,0.058823529411764705,True,0.04556821892037988,0.08094821171835065,0.0841908399015665,1.0400580582866756,0.12903225806451613,0.125,6
9,erdos,25,23,25,23,0.6,0.6121794871794872,0.5,0.75,12,12,0.0,True,0.03788071358576417,0.08545820880681276,0.08393076667562127,0.9821264434099662,0.0,0.0,0
10,erdos,22,32,18,25,0.8888888888888888,0.9374999999999999,0.8,1.0,12,12,0.0,True,0.018474713899195194,0.09670353401452303,0.0754355862736702,0.7800706255713592,0.18181818181818182,0.21875,4
11,erdos,13,60,13,60,0.8695652173913043,0.7333333333333333,0.7692307692307693,1.0,10,10,0.0,True,0.043494041077792645,0.10491327103227377,0.08784248866140842,0.8372867207084415,0.0,0.0,0
12,erdos,28,47,25,44,0.7567567567567568,0.6550802139037433,0.7,0.8235294117647058,17,17,0.0,True,0.043188739102333784,0.10971348080784082,0.07956792134791613,0.7252337703812027,0.10714285714285714,0.06382978723404253,1
13,erdos,7,21,7,21,0.9230769230769231,0.5,0.8571428571428571,1.0,6,6,0.0,True,0.008577020838856697,0.08608950488269329,0.07568525895476341,0.8791461753426641,0.0,0.0,0
14,erdos,30,35,20,25,0.7586206896551724,0.7737556561085973,0.6875,0.8461538461538461,13,13,0.0,True,0.04332429962232709,0.08536452893167734,0.06757840141654015,0.791644987236179,0.3333333333333333,0.2857142857142857,8
15,erdos,12,18,11,17,0.8888888888888888,0.90625,0.8,1.0,9,8,0.125,True,0.011100342031568289,0.09846997819840908,0.07454788917675614,0.757062107057119,0.08333333333333333,0.05555555555555558,1
16,erdos,11,13,9,11,0.8333333333333334,0.8833333333333333,0.8333333333333334,0.8333333333333334,6,6,0.0,True,0.010572188068181276,0.08550117863342166,0.08743866579607129,1.0226603561917718,0.18181818181818182,0.15384615384615385,2
