graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.03521995199844241,0.11808444978669286,0.09253125917166471,0.783602407758284,0.0,0.0,0
1,synthetic:small,42,185,41,183,0.8135593220338984,0.854320987654321,0.75,0.8888888888888888,28,27,0.037037037037037035,True,0.37681751791387796,0.15023641800507903,0.09202626394107938,0.6125429850035978,0.023809523809523808,0.010810810810810811,2
2,synthetic:small,21,63,21,63,0.7878787878787878,0.7959183673469388,0.6842105263157895,0.9285714285714286,14,14,0.0,True,0.07298521604388952,0.08362057385966182,0.10194082697853446,1.2190878664575902,0.0,0.0,0
3,erdos,7,8,4,4,0.8,0.9583333333333333,1.0,0.6666666666666666,3,3,0.0,True,0.0067756869830191135,0.06575113628059626,0.08411987917497754,1.2793676875178515,0.42857142857142855,0.5,2
4,erdos,31,51,25,43,0.8888888888888888,0.9604166666666667,0.8,1.0,17,16,0.0625,True,0.05181671027094126,0.10496536176651716,0.08841760409995914,0.8423503012034911,0.1935483870967742,0.1568627450980392,7
5,synthetic:small,33,62,18,30,0.896551724137931,0.9736842105263157,0.8666666666666667,0.9285714285714286,14,14,0.0,True,0.09699023608118296,0.10517080407589674,0.09204259375110269,0.8751724830845635,0.45454545454545453,0.5161290322580645,11
6,erdos,5,6,5,6,0.75,0.6666666666666666,0.6,1.0,3,3,0.0,True,0.005036620888859034,0.0973113994114101,0.07189179677516222,0.7387808335919652,0.0,0.0,0
7,erdos,18,33,17,30,0.7692307692307693,0.8311688311688311,0.6666666666666666,0.9090909090909091,12,11,0.09090909090909091,True,0.03461617697030306,0.08604221511632204,0.06710121687501669,0.7798638933725884,0.05555555555555555,0.09090909090909094,3
8,synthetic:small,25,75,25,75,0.8648648648648649,0.875,0.7619047619047619,1.0,16,16,0.0,True,0.1016659652814269,0.08733353391289711,0.08658282924443483,0.9914041647597703,0.0,0.0,0
9,erdos,31,29,31,29,0.7567567567567568,0.7958333333333334,0.6363636363636364,0.9333333333333333,15,15,0.0,True,0.03922767611220479,0.09005021676421165,0.09649614105001092,1.071581441082783,0.0,0.0,0
