graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,53,159,53,159,0.7954545454545454,0.4841269841269842,0.660377358490566,1.0,35,35,0.0,True,0.19725078996270895,1.0371923628263175,0.6599351200275123,0.6362707089639662,0.0,0.0,0
1,synthetic:small,32,128,32,128,0.8518518518518519,0.7632850241545893,0.7419354838709677,1.0,23,23,0.0,True,0.18873085174709558,0.08235972514376044,0.07986705796793103,0.9697343917615265,0.0,0.0,0
2,tudataset:PROTEINS,96,166,91,155,0.7642276422764228,0.7937062937062936,0.6619718309859155,0.9038461538461539,53,52,0.019230769230769232,True,0.21895338641479611,0.0934560401365161,0.08679903484880924,0.9287685923993504,0.052083333333333336,0.0662650602409639,10
3,synthetic:small,27,110,20,79,0.967741935483871,0.9944444444444445,0.9375,1.0,16,15,0.06666666666666667,True,0.18145189294591546,0.09827244281768799,0.07992984913289547,0.8133495702470617,0.25925925925925924,0.28181818181818186,11
4,tudataset:PROTEINS,150,271,146,261,0.7486631016042781,0.7556194928969611,0.6730769230769231,0.8433734939759037,86,83,0.03614457831325301,True,0.35024571092799306,0.262336079031229,0.11556173861026764,0.44051027611993443,0.02666666666666667,0.03690036900369009,10
5,synthetic:hard,78,152,61,113,0.8395061728395061,0.8716931216931216,0.7555555555555555,0.9444444444444444,41,36,0.1388888888888889,True,0.3194103129208088,0.1009657303802669,0.07843830902129412,0.776880519022367,0.21794871794871795,0.256578947368421,19
6,tudataset:PROTEINS,20,37,20,37,0.8235294117647058,0.6428571428571429,0.7,1.0,14,14,0.0,True,0.03665286721661687,0.08674016501754522,0.09187420876696706,1.0591887708350953,0.0,0.0,0
7,tudataset:PROTEINS,12,25,12,25,0.8888888888888888,0.96875,0.8,1.0,8,8,0.0,True,0.02876936411485076,0.07494553504511714,0.07571872090920806,1.0103166367899763,0.0,0.0,0
8,erdos,10,9,10,9,0.8333333333333334,0.92,0.7142857142857143,1.0,5,5,0.0,True,0.008934460114687681,0.08748374041169882,0.07586090080440044,0.8671428593176144,0.0,0.0,0
9,tudataset:MUTAG,11,11,9,9,0.7272727272727273,0.7,0.6666666666666666,0.8,5,5,0.0,True,0.010264059994369745,0.08583527896553278,0.08206521300598979,0.9560778970491042,0.18181818181818182,0.18181818181818177,1
10,synthetic:hard,50,49,21,9,0.9444444444444444,0.9910873440285206,0.8947368421052632,1.0,17,17,0.0,True,0.08018999081104994,0.0730608319863677,0.06761715514585376,0.9254911736903069,0.58,0.8163265306122449,15
11,tudataset:PROTEINS,7,13,7,13,0.8333333333333334,0.45,0.7142857142857143,1.0,5,5,0.0,True,0.006970298010855913,0.07408049888908863,0.06385480100288987,0.8619650509979907,0.0,0.0,0
12,tudataset:PROTEINS,74,125,74,125,0.7868852459016393,0.6907051282051282,0.6486486486486487,1.0,48,48,0.0,True,0.13252249266952276,0.09890718711540103,0.10063406871631742,1.017459616952826,0.0,0.0,0
13,erdos,19,31,18,30,0.7407407407407407,0.7954545454545454,0.625,0.9090909090909091,11,11,0.0,True,0.034003439359366894,0.07352909492328763,0.09369866130873561,1.274307284844057,0.05263157894736842,0.032258064516129004,1
14,tudataset:PROTEINS,14,26,14,26,0.8571428571428571,0.888888888888889,0.75,1.0,9,9,0.0,True,0.0139277339912951,0.08106066705659032,0.0879437429830432,1.0849126484691725,0.0,0.0,0
15,tudataset:PROTEINS,44,93,44,93,0.8,0.6850574712643678,0.6829268292682927,0.9655172413793104,29,29,0.0,True,0.09878553496673703,0.0976969082839787,0.10870258277282119,1.1126512054695932,0.0,0.0,0
16,tudataset:NCI1,13,18,13,18,0.875,0.8095238095238095,0.7777777777777778,1.0,7,7,0.0,True,0.012075170874595642,0.08656083280220628,0.07989246770739555,0.9229632516354352,0.0,0.0,0
17,tudataset:PROTEINS,50,88,47,81,0.7368421052631579,0.832,0.65625,0.84,25,25,0.0,True,0.10231341002508998,0.10975791001692414,0.07993177883327007,0.7282552922239953,0.06,0.07954545454545459,3
18,tudataset:MUTAG,19,22,17,20,0.6923076923076923,0.7222222222222222,0.5294117647058824,1.0,9,9,0.0,True,0.03199834609404206,0.08869187766686082,0.07186077535152435,0.8102294961151183,0.10526315789473684,0.09090909090909094,1
19,synthetic:small,50,50,50,50,0.6875,0.6586538461538461,0.55,0.9166666666666666,24,24,0.0,True,0.0710911089554429,0.08967622416093946,0.08444601017981768,0.9416766926790399,0.0,0.0,0
20,tudataset:NCI1,28,31,25,28,0.7647058823529411,0.7487179487179487,0.6190476190476191,1.0,13,13,0.0,True,0.03902001306414604,0.08215957414358854,0.07592082070186734,0.924065411648582,0.10714285714285714,0.09677419354838712,2
21,tudataset:PROTEINS,13,26,13,26,0.8181818181818182,0.8055555555555556,0.6923076923076923,1.0,9,9,0.0,True,0.013210440054535866,0.08059384301304817,0.07443286199122667,0.9235551899315183,0.0,0.0,0
22,tudataset:PROTEINS,11,20,7,9,0.9230769230769231,0.9333333333333333,0.8571428571428571,1.0,6,6,0.0,True,0.01106001390144229,0.10600394383072853,0.08390471572056413,0.7915244724719548,0.36363636363636365,0.55,4
23,synthetic:small,41,41,41,41,0.7083333333333334,0.8133971291866029,0.5862068965517241,0.8947368421052632,19,19,0.0,True,0.06727859377861023,0.10899652494117618,0.05964985163882375,0.5472637927770256,0.0,0.0,0
24,synthetic:small,24,44,19,34,0.8181818181818182,0.9428571428571428,0.75,0.9,12,10,0.2,True,0.0656904331408441,0.10176392598077655,0.05971757275983691,0.586824576433084,0.20833333333333334,0.2272727272727273,5
25,tudataset:PROTEINS,46,92,43,85,0.7719298245614035,0.8495238095238096,0.6875,0.88,26,25,0.04,True,0.11346525605767965,0.07137480098754168,0.06260249204933643,0.8770951537961356,0.06521739130434782,0.07608695652173914,6
26,synthetic:medium,110,424,93,354,0.7913669064748201,0.8370295698924731,0.7142857142857143,0.8870967741935484,66,62,0.06451612903225806,True,1.4887867160141468,0.30722885113209486,0.21414898289367557,0.6970340907260723,0.15454545454545454,0.16509433962264153,32
27,synthetic:small,27,54,27,54,0.7368421052631579,0.75,0.6363636363636364,0.875,16,16,0.0,True,0.054067784920334816,0.07480556424707174,0.083972685970366,1.1225459872612766,0.0,0.0,0
28,tudataset:NCI1,47,52,35,40,0.6956521739130435,0.8381818181818181,0.6666666666666666,0.7272727272727273,22,22,0.0,True,0.07994307903572917,0.06902319472283125,0.07580155087634921,1.098204033886537,0.2553191489361702,0.23076923076923073,10
29,synthetic:medium,80,240,80,240,0.8372093023255814,0.836003051106026,0.75,0.9473684210526315,57,57,0.0,True,0.240477261133492,0.17244991194456816,0.1085621421225369,0.6295285448300654,0.0,0.0,0
30,synthetic:small,45,126,37,101,0.8301886792452831,0.9305555555555555,0.7586206896551724,0.9166666666666666,26,24,0.08333333333333333,True,0.20966503396630287,0.12037589075043797,0.09488302888348699,0.7882228600093808,0.17777777777777778,0.19841269841269837,13
31,tudataset:PROTEINS,56,138,54,131,0.7848101265822784,0.7278911564625851,0.7045454545454546,0.8857142857142857,35,35,0.0,True,0.15727984998375177,0.09241190319880843,0.08532851515337825,0.9233498304845915,0.03571428571428571,0.050724637681159424,6
32,erdos,18,30,17,29,0.75,0.7662337662337663,0.6923076923076923,0.8181818181818182,11,11,0.0,True,0.033006802666932344,0.07376182684674859,0.0672374228015542,0.9115476890404324,0.05555555555555555,0.033333333333333326,1
33,tudataset:PROTEINS,20,36,20,36,0.8125,0.7142857142857143,0.6842105263157895,1.0,13,13,0.0,True,0.03564141085371375,0.0738303973339498,0.06325650587677956,0.8567813280302096,0.0,0.0,0
34,synthetic:small,39,117,39,117,0.8,0.6390532544378698,0.6666666666666666,1.0,26,26,0.0,True,0.13748939707875252,0.21242532273754478,0.15194443380460143,0.7152839964957072,0.0,0.0,0
35,tudataset:PROTEINS,50,91,50,91,0.8157894736842105,0.8003472222222222,0.7045454545454546,0.96875,32,32,0.0,True,0.09774238895624876,0.11038013407960534,0.09193767886608839,0.8329187098086293,0.0,0.0,0
36,tudataset:PROTEINS,36,69,36,69,0.7924528301886793,0.8126984126984127,0.65625,1.0,21,21,0.0,True,0.06949359783902764,0.09011218743398786,0.07244354858994484,0.8039262019137393,0.0,0.0,0
37,tudataset:PROTEINS,22,39,22,39,0.8333333333333334,0.6,0.7142857142857143,1.0,15,15,0.0,True,0.03670537564903498,0.10608133487403393,0.05978691391646862,0.5635950375950913,0.0,0.0,0
38,synthetic:medium,105,306,86,249,0.8166666666666667,0.9241654571843251,0.7205882352941176,0.9423076923076923,55,52,0.057692307692307696,True,0.9546597059816122,0.18949922686442733,0.1110422988422215,0.5859775824925346,0.18095238095238095,0.18627450980392157,24
39,tudataset:NCI1,21,23,18,20,0.782608695652174,0.9907407407407408,0.6428571428571429,1.0,10,9,0.1111111111111111,True,0.034371511079370975,0.07331105507910252,0.07171134278178215,0.9781791123372283,0.14285714285714285,0.13043478260869568,3
40,synthetic:hard,55,449,55,449,0.8958333333333334,0.8585271317829457,0.8113207547169812,1.0,43,43,0.0,True,1.5530900307931006,1.7414192911237478,1.7120183729566634,0.9831166920471451,0.0,0.0,0
41,tudataset:PROTEINS,226,316,225,314,0.6773162939297125,0.5969043887147335,0.5380710659898477,0.9137931034482759,118,116,0.017241379310344827,True,0.4748014807701111,0.22022152412682772,0.17628110898658633,0.8004717508224325,0.004424778761061947,0.006329113924050667,2
42,tudataset:MUTAG,19,22,17,20,0.6923076923076923,0.7,0.5294117647058824,1.0,9,9,0.0,True,0.032275427132844925,0.07302794279530644,0.08743056887760758,1.1972207559327113,0.10526315789473684,0.09090909090909094,1
43,tudataset:NCI1,60,65,52,57,0.6764705882352942,0.8042986425339367,0.5476190476190477,0.8846153846153846,28,26,0.07692307692307693,True,0.08278604689985514,0.11314709298312664,0.0839709360152483,0.7421395795627793,0.13333333333333333,0.12307692307692308,4
44,erdos,8,20,8,20,0.9230769230769231,0.8333333333333333,0.8571428571428571,1.0,6,6,0.0,True,0.008942770771682262,0.09832111280411482,0.0839269463904202,0.8536004526070395,0.0,0.0,0
45,tudataset:PROTEINS,46,91,45,89,0.7761194029850746,0.7817460317460317,0.6666666666666666,0.9285714285714286,28,28,0.0,True,0.09881632588803768,0.10219664871692657,0.09323489898815751,0.9123087709696615,0.021739130434782608,0.02197802197802201,2
46,synthetic:medium,56,112,55,110,0.7948717948717948,0.8221343873517787,0.6888888888888889,0.9393939393939394,33,33,0.0,True,0.12926700105890632,0.11794937495142221,0.09886069595813751,0.8381621013155311,0.017857142857142856,0.017857142857142905,2
47,tudataset:PROTEINS,50,87,50,87,0.7804878048780488,0.7085561497326204,0.6530612244897959,0.9696969696969697,33,33,0.0,True,0.09963523223996162,0.13065949128940701,0.07585388189181685,0.5805462821204675,0.0,0.0,0
48,erdos,8,7,8,7,0.5,0.5,0.5,0.5,4,4,0.0,True,0.007377509959042072,0.07334009511396289,0.08205481339246035,1.1188261109418483,0.0,0.0,0
49,erdos,33,73,14,29,1.0,1.0,1.0,1.0,12,11,0.09090909090909091,True,0.10805226908996701,0.08453253097832203,0.0932267582975328,1.1028506684774453,0.5757575757575758,0.6027397260273972,9
