feature,importance
f86,188.0736541748047
f16,107.92559051513672
f105,77.57184600830078
f94,29.452959060668945
f89,25.84349250793457
f88,22.15169334411621
f14,19.921539306640625
f92,18.50116539001465
f1,18.094093322753906
f100,17.019371032714844
f13,16.284406661987305
f0,13.38322925567627
f97,10.785285949707031
f103,7.388160705566406
f22,6.46381950378418
f93,6.363154411315918
f37,6.203103542327881
f91,6.059945106506348
f104,6.0060248374938965
f95,5.906164169311523
f96,5.198028564453125
f98,5.041561126708984
f34,4.925734519958496
f35,4.834479808807373
f30,4.82847785949707
f102,4.815624237060547
f101,4.601738929748535
f87,4.537014007568359
f29,4.505884170532227
f33,4.242980480194092
f99,4.174793720245361
f21,3.659949779510498
f90,3.5369107723236084
