graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:small,36,108,36,108,0.7777777777777778,0.5652173913043478,0.6774193548387096,0.9130434782608695,23,23,0.0,True,0.12844583904370666,0.10674087703227997,0.06765750702470541,0.6338481461440945,0.0,0.0,0
1,tudataset:COLLAB,38,703,38,703,0.9866666666666667,0.5,0.9736842105263158,1.0,37,37,0.0,True,2.003468794748187,1.4556856490671635,1.4115674798376858,0.9696925161982949,0.0,0.0,0
2,erdos,6,8,4,6,0.8571428571428571,0.9444444444444444,0.75,1.0,4,3,0.3333333333333333,True,0.006312990095466375,0.07574093108996749,0.06401338800787926,0.8451624120099885,0.3333333333333333,0.25,1
3,tudataset:COLLAB,43,369,43,369,0.95,0.8368421052631579,0.9047619047619048,1.0,38,38,0.0,True,0.9003354539163411,0.233043669257313,0.28737805876880884,1.2331511071922876,0.0,0.0,0
4,tudataset:COLLAB,47,1081,47,1081,0.989247311827957,0.5,0.9787234042553191,1.0,46,46,0.0,True,4.807872135657817,2.3517177081666887,2.5821247957646847,1.0979739561418758,0.0,0.0,0
5,synthetic:small,27,108,27,108,0.8260869565217391,0.9210526315789473,0.7037037037037037,1.0,19,19,0.0,True,0.13705169828608632,0.026881623081862926,0.020035159308463335,0.7453106253089713,0.0,0.0,0
6,synthetic:small,46,209,43,199,0.8529411764705882,0.8086021505376344,0.7837837837837838,0.9354838709677419,32,31,0.03225806451612903,True,0.276697495020926,0.22363864397630095,0.12264437321573496,0.5484042070507797,0.06521739130434782,0.04784688995215314,8
7,synthetic:medium,111,444,111,444,0.8556149732620321,0.7918418839360807,0.7619047619047619,0.975609756097561,82,82,0.0,True,0.5309804528951645,0.16895413072779775,0.1556986952200532,0.9215441762172693,0.0,0.0,0
8,erdos,34,63,31,60,0.85,0.9087719298245613,0.8095238095238095,0.8947368421052632,19,19,0.0,True,0.07069433992728591,0.019338363781571388,0.016922864131629467,0.8750928632212521,0.08823529411764706,0.04761904761904767,3
9,synthetic:small,49,180,42,152,0.8307692307692308,0.787719298245614,0.7714285714285715,0.9,30,30,0.0,True,0.21066854102537036,0.08762109512463212,0.08780770702287555,1.0021297599394072,0.14285714285714285,0.15555555555555556,18
10,tudataset:COLLAB,331,4397,323,4340,0.9301533219761499,0.9067828723001137,0.8694267515923567,1.0,277,273,0.014652014652014652,True,145.91439333325252,5.373997332993895,5.654147535096854,1.052130692433166,0.02416918429003021,0.0129633841255401,47
11,tudataset:NCI1,33,36,27,30,0.7222222222222222,0.7814814814814816,0.6190476190476191,0.8666666666666667,18,15,0.2,True,0.027239719405770302,0.07782367616891861,0.05318179773166776,0.6833627033530911,0.18181818181818182,0.16666666666666663,5
12,tudataset:PROTEINS,15,27,15,27,0.782608695652174,0.63,0.6923076923076923,0.9,10,10,0.0,True,0.01445074612274766,0.06000677216798067,0.05991491116583347,0.9984691560830826,0.0,0.0,0
13,tudataset:NCI1,60,65,46,51,0.6764705882352942,0.7986425339366516,0.5476190476190477,0.8846153846153846,28,26,0.07692307692307693,True,0.09942018007859588,0.06684752693399787,0.0720952800475061,1.0785033247181994,0.23333333333333334,0.2153846153846154,10
