feature,importance
f86,120.74820709228516
f14,66.98320770263672
f88,25.499492645263672
f94,23.40825843811035
f100,17.670490264892578
f16,14.429500579833984
f89,14.29632568359375
f92,13.313566207885742
f1,9.850844383239746
f105,9.44686508178711
f103,7.720355987548828
f102,7.19639253616333
f13,6.753625869750977
f0,6.692817211151123
f22,6.5624542236328125
f97,6.4033026695251465
f93,5.285123825073242
f29,4.510768890380859
f104,4.505362510681152
f96,4.296192169189453
f87,4.267521381378174
f101,4.150902271270752
f37,4.132937431335449
f99,3.9242453575134277
f91,3.9084928035736084
f30,3.824148654937744
f34,3.8152272701263428
f35,3.81479549407959
f95,3.770664930343628
f33,3.6957836151123047
f21,3.6691648960113525
f98,3.565857172012329
f90,3.4509737491607666
