graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.024331884924322367,0.03419151529669762,0.0236161258071661,0.6907013509707498,0.0,0.0,0
1,synthetic:small,50,390,49,385,0.8837209302325582,0.7972027972027972,0.8085106382978723,0.9743589743589743,39,39,0.0,True,0.7546196198090911,0.8748615742661059,0.8822640776634216,1.008461342474123,0.02,0.012820512820512775,5
2,synthetic:small,47,210,44,195,0.8888888888888888,0.9559386973180077,0.8235294117647058,0.9655172413793104,30,29,0.034482758620689655,True,0.3030856940895319,0.07176886918023229,0.04282005177810788,0.596638239771821,0.06382978723404255,0.0714285714285714,12
3,synthetic:medium,137,274,137,274,0.7488584474885844,0.5099778270509978,0.5985401459854015,1.0,82,82,0.0,True,0.20792505191639066,13.241450676228851,13.146827679593116,0.9928540309555657,0.0,0.0,0
4,synthetic:large,335,9602,335,9602,0.956386292834891,0.5816658911121452,0.9164179104477612,1.0,310,310,0.0,True,286.86909157503396,58.05670316377655,67.42483337782323,1.161361732642989,0.0,0.0,0
5,synthetic:medium,93,270,74,213,0.8,0.8875,0.7692307692307693,0.8333333333333334,51,48,0.0625,True,0.22067957324907184,0.07373908907175064,0.033989704214036465,0.4609455397660707,0.20430107526881722,0.21111111111111114,22
6,synthetic:small,50,141,41,114,0.896551724137931,0.9567307692307692,0.8125,1.0,28,26,0.07692307692307693,True,0.09075533598661423,0.03475289000198245,0.027179718017578125,0.7820851162601925,0.18,0.19148936170212771,13
7,synthetic:small,45,200,39,170,0.9473684210526315,0.9894957983193278,0.9310344827586207,0.9642857142857143,29,28,0.03571428571428571,True,0.16746603604406118,0.03917084960266948,0.030287689063698053,0.7732201208531857,0.13333333333333333,0.15000000000000002,16
8,erdos,27,42,25,40,0.7894736842105263,0.7647058823529411,0.7142857142857143,0.8823529411764706,17,17,0.0,True,0.017595641780644655,0.015650028362870216,0.013416402973234653,0.8572765915916899,0.07407407407407407,0.04761904761904767,2
9,synthetic:small,43,86,43,86,0.8333333333333334,0.8009049773755657,0.7352941176470589,0.9615384615384616,26,26,0.0,True,0.03913104999810457,0.021620869170874357,0.019257423002272844,0.8906868105105908,0.0,0.0,0
