feature,importance
f86,114.10836029052734
f105,42.50934982299805
f16,41.258201599121094
f14,34.13412094116211
f88,28.875585556030273
f94,27.203107833862305
f89,18.610210418701172
f100,16.021684646606445
f13,15.270312309265137
f0,13.305078506469727
f1,10.094347953796387
f92,9.488964080810547
f97,8.676892280578613
f103,7.550344467163086
f102,7.304998874664307
f22,6.030839443206787
f91,5.88488245010376
f104,5.4360032081604
f87,5.333991050720215
f35,5.239724159240723
f96,5.202920913696289
f95,5.015057563781738
f34,4.985179424285889
f93,4.8780035972595215
f101,4.717747688293457
f29,4.714642524719238
f98,4.669726848602295
f99,4.647713661193848
f30,4.583642482757568
f33,4.383802890777588
f37,4.199731349945068
f21,4.0225677490234375
f90,3.9935646057128906
