graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:small,43,129,43,129,0.7887323943661971,0.4619047619047619,0.6511627906976745,1.0,28,28,0.0,True,0.055411760695278645,0.043138119857758284,0.035728463903069496,0.8282341469883004,0.0,0.0,0
1,tudataset:PROTEINS,56,79,55,78,0.7575757575757576,0.8367346938775511,0.6578947368421053,0.8928571428571429,28,28,0.0,True,0.03764977818354964,0.017216727137565613,0.014324865769594908,0.8320318754625041,0.017857142857142856,0.012658227848101222,1
2,synthetic:medium,63,316,63,316,0.82,0.7246913580246913,0.7454545454545455,0.9111111111111111,45,45,0.0,True,0.2555193929001689,0.7752077337354422,0.8075896240770817,1.041771887627595,0.0,0.0,0
3,tudataset:PROTEINS,74,153,74,153,0.8,0.7080136402387042,0.71875,0.9019607843137255,51,51,0.0,True,0.09838759899139404,0.023349083960056305,0.01962589519098401,0.8405424051992095,0.0,0.0,0
4,synthetic:small,33,66,33,66,0.7547169811320755,0.6692307692307692,0.6060606060606061,1.0,20,20,0.0,True,0.023425472900271416,0.028265750035643578,0.021617870312184095,0.7648079490168703,0.0,0.0,0
5,tudataset:PROTEINS,42,84,42,84,0.6666666666666666,0.691764705882353,0.6206896551724138,0.72,25,25,0.0,True,0.03302426356822252,0.01646676193922758,0.013197587337344885,0.8014682781017939,0.0,0.0,0
6,tudataset:NCI1,21,22,19,20,0.8181818181818182,0.9727272727272727,0.75,0.9,11,10,0.1,True,0.011660297401249409,0.010332485660910606,0.009245848748832941,0.8948329620055916,0.09523809523809523,0.09090909090909094,2
7,erdos,16,21,15,20,0.8235294117647058,0.9375,0.7777777777777778,0.875,8,8,0.0,True,0.009183026850223541,0.010885159950703382,0.009278347715735435,0.8523850598204469,0.0625,0.04761904761904767,1
8,synthetic:small,43,43,43,43,0.676923076923077,0.501082251082251,0.5116279069767442,1.0,22,22,0.0,True,0.018674598075449467,0.012980115134268999,0.010953330900520086,0.8438546798095828,0.0,0.0,0
9,tudataset:NCI1,13,14,12,13,0.8333333333333334,0.9761904761904762,0.8333333333333334,0.8333333333333334,6,6,0.0,True,0.00833740085363388,0.009229318704456091,0.007667896803468466,0.8308193756237131,0.07692307692307693,0.0714285714285714,1
10,erdos,20,17,16,13,0.8,0.9797979797979798,1.0,0.6666666666666666,9,9,0.0,True,0.011563225649297237,0.009299829136580229,0.007640325929969549,0.8215555165327565,0.2,0.23529411764705888,2
11,tudataset:NCI1,23,26,23,26,0.6206896551724138,0.48484848484848486,0.5294117647058824,0.75,12,12,0.0,True,0.012697244063019753,0.011322523932904005,0.008786395192146301,0.7760102998424631,0.0,0.0,0
12,synthetic:medium,128,512,128,512,0.8663594470046083,0.8329161451814768,0.7642276422764228,1.0,94,94,0.0,True,0.221541291102767,0.15129686100408435,0.14953163778409362,0.9883327174914549,0.0,0.0,0
13,tudataset:NCI1,17,16,11,10,0.5,0.8428571428571429,0.6,0.42857142857142855,7,7,0.0,True,0.010644488967955112,0.01426623621955514,0.008542332798242569,0.5987797108345471,0.35294117647058826,0.375,3
14,tudataset:NCI1,31,35,29,33,0.625,0.675,0.5882352941176471,0.6666666666666666,15,15,0.0,True,0.03029646398499608,0.012817165348678827,0.009914163034409285,0.7735066814466289,0.06451612903225806,0.05714285714285716,2
15,synthetic:small,46,285,46,285,0.8607594936708861,0.8529411764705882,0.7555555555555555,1.0,34,34,0.0,True,0.22883870592340827,0.5277984905987978,0.47410182282328606,0.8982629379735592,0.0,0.0,0
16,erdos,23,20,23,20,0.6428571428571429,0.6287878787878789,0.5294117647058824,0.8181818181818182,11,11,0.0,True,0.01168013596907258,0.014478957746177912,0.008987635839730501,0.6207377628478138,0.0,0.0,0
17,erdos,28,45,28,45,0.7567567567567568,0.7192513368983957,0.7,0.8235294117647058,17,17,0.0,True,0.016326941084116697,0.014813439920544624,0.012251891195774078,0.8270794131201115,0.0,0.0,0
