feature,importance
f86,43.353965759277344
f103,26.442737579345703
f94,13.13702392578125
f102,12.326373100280762
f14,11.906023979187012
f88,8.50868034362793
f13,7.820887565612793
f105,6.2740278244018555
f100,6.0027384757995605
f1,5.814564228057861
f0,4.7852396965026855
f16,4.785005569458008
f92,4.028280258178711
f91,3.782158851623535
f89,3.7370798587799072
f97,3.4924476146698
f101,3.1895861625671387
f30,2.9885165691375732
f96,2.966425895690918
f104,2.863949775695801
f34,2.747130870819092
f22,2.7335500717163086
f93,2.7078583240509033
f87,2.7020158767700195
f29,2.6943812370300293
f21,2.661708116531372
f99,2.6452579498291016
f98,2.6109981536865234
f35,2.5110864639282227
f95,2.482360363006592
f33,2.4414989948272705
f37,2.2353222370147705
f90,2.233663320541382
