graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:MUTAG,23,27,21,25,0.7586206896551724,0.8181818181818182,0.6111111111111112,1.0,11,11,0.0,True,0.022459161933511496,0.0589883541688323,0.00999815622344613,0.1694937308274463,0.08695652173913043,0.07407407407407407,1
1,tudataset:NCI1,22,24,19,21,0.8,0.8500000000000001,0.6666666666666666,1.0,10,10,0.0,True,0.017031006049364805,0.04135179379954934,0.011613988783210516,0.28085816154696264,0.13636363636363635,0.125,3
2,erdos,5,4,3,2,1.0,1.0,1.0,1.0,3,2,0.5,True,0.007309481967240572,0.03495602868497372,0.05827623791992664,1.6671298231591567,0.4,0.5,2
3,tudataset:PROTEINS,38,64,38,64,0.8,0.6661538461538461,0.6857142857142857,0.96,25,25,0.0,True,0.04226460121572018,0.044543840922415257,0.020329213235527277,0.45638662527858603,0.0,0.0,0
4,tudataset:MUTAG,17,19,14,16,0.8888888888888888,0.9722222222222222,0.8,1.0,9,8,0.125,True,0.01885352097451687,0.038390807807445526,0.04815374221652746,1.2543039588551848,0.17647058823529413,0.1578947368421053,2
5,tudataset:NCI1,29,29,21,21,0.64,0.7355769230769231,0.6666666666666666,0.6153846153846154,15,13,0.15384615384615385,True,0.030417669098824263,0.023441769648343325,0.01231681602075696,0.5254217665954846,0.27586206896551724,0.27586206896551724,6
6,erdos,26,51,24,49,0.8108108108108109,0.86875,0.7142857142857143,0.9375,17,16,0.0625,True,0.0329492618329823,0.02545653795823455,0.016563192009925842,0.6506458983975104,0.07692307692307693,0.039215686274509776,2
7,erdos,5,6,5,6,0.8571428571428571,1.0,0.75,1.0,3,3,0.0,True,0.005433736834675074,0.0606510890647769,0.029956295620650053,0.49391191621729946,0.0,0.0,0
8,erdos,6,6,6,6,0.8571428571428571,0.9444444444444444,0.75,1.0,3,3,0.0,True,0.007018289063125849,0.04269712511450052,0.030152838211506605,0.706203008531511,0.0,0.0,0
9,tudataset:NCI1,37,39,32,34,0.6666666666666666,0.7351190476190477,0.6470588235294118,0.6875,16,16,0.0,True,0.03426766209304333,0.05100395483896136,0.03245289670303464,0.636281966869052,0.13513513513513514,0.1282051282051282,2
