feature,importance
f86,90.38895416259766
f14,30.580062866210938
f16,18.075790405273438
f94,17.379985809326172
f13,16.768898010253906
f88,14.217327117919922
f105,13.974203109741211
f1,12.991312026977539
f100,11.741469383239746
f89,10.08403491973877
f0,8.310410499572754
f92,5.582198143005371
f102,5.548391342163086
f35,4.868131160736084
f91,4.614131450653076
f104,4.332910537719727
f30,4.233209609985352
f93,4.13104772567749
f97,4.1257429122924805
f34,4.11419677734375
f95,4.0888590812683105
f96,3.991774797439575
f101,3.9492788314819336
f99,3.869992733001709
f22,3.8003084659576416
f33,3.792544364929199
f87,3.6937007904052734
f29,3.612546443939209
f103,3.606674909591675
f98,3.542015314102173
f37,3.539461374282837
f90,3.4276857376098633
f21,3.353928565979004
