feature,importance
f86,116.71199798583984
f16,62.6931266784668
f105,54.01664733886719
f1,15.842036247253418
f14,15.450882911682129
f94,14.977033615112305
f0,12.67004108428955
f13,11.972928047180176
f88,11.482529640197754
f100,7.613497257232666
f89,7.609391689300537
f37,5.040288925170898
f92,4.47825813293457
f91,3.9907279014587402
f97,3.9585282802581787
f102,3.8751113414764404
f93,3.8273017406463623
f30,3.7641916275024414
f104,3.740278959274292
f35,3.571416139602661
f96,3.5505752563476562
f34,3.5411319732666016
f103,3.458129405975342
f29,3.376319408416748
f99,3.371464967727661
f22,3.2439732551574707
f87,3.1898586750030518
f98,3.1433913707733154
f33,3.0132269859313965
f101,2.9955880641937256
f21,2.979698896408081
f90,2.9790143966674805
f95,2.86757755279541
