graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:NCI1,15,12,4,1,1.0,1.0,1.0,1.0,4,4,0.0,True,0.029486218001693487,0.08423958765342832,0.06997833214700222,0.8307060147884555,0.7333333333333333,0.9166666666666666,4
1,erdos,25,44,25,44,0.8484848484848485,0.8133333333333332,0.7777777777777778,0.9333333333333333,15,15,0.0,True,0.04238299513235688,0.10246505122631788,0.0834006923250854,0.8139428158863219,0.0,0.0,0
2,tudataset:COLLAB,54,294,53,290,0.9052631578947369,0.7949260042283298,0.8269230769230769,1.0,43,43,0.0,True,1.0195144838653505,0.21438671462237835,0.1856938018463552,0.8661628225118195,0.018518518518518517,0.013605442176870763,4
3,erdos,17,36,14,31,0.9090909090909091,0.9142857142857143,0.8333333333333334,1.0,10,10,0.0,True,0.03565636137500405,0.08560034679248929,0.05980583280324936,0.6986634405609302,0.17647058823529413,0.13888888888888884,4
4,tudataset:COLLAB,53,1254,53,1254,0.9807692307692307,0.8627450980392157,0.9622641509433962,1.0,51,51,0.0,True,9.369062013924122,6.466669707093388,6.881664144806564,1.0641743674117083,0.0,0.0,0
5,tudataset:NCI1,34,37,29,32,0.7647058823529411,0.8784722222222222,0.7222222222222222,0.8125,16,16,0.0,True,0.047701640985906124,0.10116878198459744,0.08827989595010877,0.8726001659637361,0.14705882352941177,0.1351351351351351,3
6,erdos,15,15,12,11,0.7692307692307693,0.9642857142857143,0.8333333333333334,0.7142857142857143,8,7,0.14285714285714285,True,0.012692614924162626,0.10548774199560285,0.07502946490421891,0.7112624034302151,0.2,0.2666666666666667,4
7,tudataset:COLLAB,189,3611,188,3603,0.9497206703910615,0.8144899285250162,0.9090909090909091,0.9941520467836257,171,171,0.0,True,87.17353446688503,10.37178897485137,11.254531236365438,1.0851099326889957,0.005291005291005291,0.002215452783162597,8
8,tudataset:COLLAB,419,9857,407,9757,0.9458388375165125,0.8581513183785912,0.9086294416243654,0.9862258953168044,364,363,0.0027548209366391185,True,849.1243709977716,54.92579681798816,54.821042933966964,0.9980928108449965,0.028639618138424822,0.010145074566298096,60
9,tudataset:COLLAB,77,464,72,449,0.8709677419354839,0.8239564428312159,0.8181818181818182,0.9310344827586207,59,58,0.017241379310344827,True,2.3912942307069898,0.29716834984719753,0.2839637640863657,0.9555653024030939,0.06493506493506493,0.032327586206896575,10
