feature_id,feature_name,feature_type,erdos,erdos_synthetic-small,erdos_synthetic-small_synthetic-medium,erdos_synthetic-small_synthetic-medium_synthetic-large,erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,erdos_tudataset-MUTAG,erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,synthetic-medium,synthetic-small,tudataset-MUTAG,mean_importance,n_runs_used
f86,rw_degree,RW,40.9746,39.8313,79.389,120.7482,114.1084,43.354,81.5525,73.5068,38.4077,22.3729,65.4245,10
f14,gdv_orbit_1,GDV,13.6146,11.0852,38.4475,66.9832,34.1341,11.906,29.7275,31.4873,36.9966,17.2995,29.1682,10
f94,rw_min_neighbor_degree,RW,12.2089,17.0503,23.5554,23.4083,27.2031,13.137,18.5194,10.5297,15.2077,44.6319,20.5452,10
f88,rw_return_prob_t2,RW,9.1835,10.3988,17.0173,25.4995,28.8756,8.5087,14.324,16.4419,7.7142,7.2664,14.523,10
f105,rw_triangle_count,RW,9.0047,6.3203,14.5265,9.4469,42.5093,6.274,14.71,6.6111,8.2488,0.0,11.7652,9
f16,gdv_orbit_3,GDV,3.5854,7.0098,12.947,14.4295,41.2582,4.785,17.6482,7.624,5.1766,0.0,11.4464,9
f89,rw_return_prob_t4,RW,4.7873,9.7388,12.5584,14.2963,18.6102,3.7371,10.1891,14.2889,6.6443,6.4934,10.1344,10
f100,rw_core_number,RW,5.6745,10.0359,11.6992,17.6705,16.0217,6.0027,11.905,8.3313,8.2443,2.9969,9.8582,10
f103,rw_hitting_time_proxy,RW,4.2006,14.1489,8.425,7.7204,7.5503,26.4427,3.3521,10.0067,3.7657,4.3539,8.9966,10
f102,rw_avg_dist_2hop_nbrs,RW,11.8241,11.3326,8.715,7.1964,7.305,12.3264,5.5574,6.4258,8.087,0.0,7.877,9
f92,rw_avg_neighbor_degree,RW,3.662,5.4071,10.3544,13.3136,9.489,4.0283,5.211,6.1238,5.3231,13.7266,7.6639,10
f13,gdv_orbit_0,GDV,6.929,5.7842,6.9551,6.7536,15.2703,7.8209,16.7385,4.2414,3.4059,1.9339,7.5833,10
f1,vsko_sym3,VSKO,7.9374,5.2727,9.0238,9.8508,10.0943,5.8146,12.3411,6.3355,4.9381,0.0,7.1608,9
f97,rw_betweenness_centrality,RW,6.5212,9.797,8.1672,6.4033,8.6769,3.4924,4.1074,5.1305,7.5208,3.9842,6.3801,10
f0,vsko_sym2_1,VSKO,6.7143,6.5993,7.5497,6.6928,13.3051,4.7852,8.4111,5.2809,4.0645,0.0,6.3403,9
f87,rw_degree_normalized,RW,2.8079,23.4576,4.196,4.2675,5.334,2.702,3.6895,6.4449,3.8385,1.4665,5.8204,10
f95,rw_degree_centrality,RW,2.6387,16.9149,4.3373,3.7707,5.0151,2.4824,3.7581,2.8763,3.4086,1.4109,4.6613,10
f22,gdv_orbit_9,GDV,2.4314,4.2388,5.5223,6.5625,6.0308,2.7336,3.7747,3.7472,3.484,1.5954,4.0121,10
f104,rw_commute_time_proxy,RW,2.8744,4.8065,4.6807,4.5054,5.436,2.8639,4.1811,3.8895,3.8313,2.0384,3.9107,10
f93,rw_max_neighbor_degree,RW,3.0151,3.4614,4.6888,5.2851,4.878,2.7079,4.0395,4.0942,3.4316,1.2463,3.6848,10
f96,rw_closeness_centrality,RW,2.7404,3.4211,4.1864,4.2962,5.2029,2.9664,3.9006,4.1199,3.5432,1.7642,3.6141,10
f91,rw_local_clustering,RW,3.2552,3.4144,4.1121,3.9085,5.8849,3.7822,4.489,4.0234,3.1064,0.0,3.5976,9
f98,rw_eigenvector_centrality,RW,2.4779,3.613,3.9275,3.5659,4.6697,2.611,3.5725,3.9289,3.5302,1.6639,3.356,10
f99,rw_pagerank,RW,2.7093,3.3156,3.977,3.9242,4.6477,2.6453,3.9584,3.3267,3.1498,1.6945,3.3348,10
f101,rw_eccentricity,RW,2.3039,2.8289,3.4275,4.1509,4.7177,3.1896,3.8901,3.4764,2.6465,2.6648,3.3296,10
f29,gdv_orbit_16,GDV,2.9158,3.6693,3.9379,4.5108,4.7146,2.6944,3.5512,4.0095,3.2248,0.0,3.3228,9
f30,gdv_orbit_17,GDV,2.771,3.4803,3.9745,3.8241,4.5836,2.9885,4.0562,3.8788,3.2596,0.0,3.2817,9
f35,gdv_orbit_22,GDV,2.9107,3.3967,3.6523,3.8148,5.2397,2.5111,4.7091,3.2693,2.6248,0.0,3.2129,9
f90,rw_stationary_prob,RW,2.2283,3.463,3.2402,3.451,3.9936,2.2337,3.2196,4.4742,3.7962,1.3158,3.1416,10
f37,gdv_orbit_24,GDV,1.9266,3.494,5.4468,4.1329,4.1997,2.2353,3.292,3.6492,2.9455,0.0,3.1322,9
f34,gdv_orbit_21,GDV,2.5488,3.181,3.5252,3.8152,4.9852,2.7471,4.0787,3.4008,2.9633,0.0,3.1245,9
f21,gdv_orbit_8,GDV,2.5863,3.2362,3.75,3.6692,4.0226,2.6617,3.3359,3.1607,2.8963,1.7261,3.1045,10
f33,gdv_orbit_20,GDV,2.3302,3.2002,3.4094,3.6958,4.3838,2.4415,3.7882,3.137,3.22,0.0,2.9606,9
