run,feature_id,feature_name,feature_type,importance
erdos,f86,rw_degree,RW,40.9746
erdos,f14,gdv_orbit_1,GDV,13.6146
erdos,f94,rw_min_neighbor_degree,RW,12.2089
erdos,f102,rw_avg_dist_2hop_nbrs,RW,11.8241
erdos,f88,rw_return_prob_t2,RW,9.1835
erdos,f105,rw_triangle_count,RW,9.0047
erdos,f1,vsko_sym3,VSKO,7.9374
erdos,f13,gdv_orbit_0,GDV,6.929
erdos,f0,vsko_sym2_1,VSKO,6.7143
erdos,f97,rw_betweenness_centrality,RW,6.5212
erdos,f100,rw_core_number,RW,5.6745
erdos,f89,rw_return_prob_t4,RW,4.7873
erdos,f103,rw_hitting_time_proxy,RW,4.2006
erdos,f92,rw_avg_neighbor_degree,RW,3.662
erdos,f16,gdv_orbit_3,GDV,3.5854
erdos,f91,rw_local_clustering,RW,3.2552
erdos,f93,rw_max_neighbor_degree,RW,3.0151
erdos,f29,gdv_orbit_16,GDV,2.9158
erdos,f35,gdv_orbit_22,GDV,2.9107
erdos,f104,rw_commute_time_proxy,RW,2.8744
erdos,f87,rw_degree_normalized,RW,2.8079
erdos,f30,gdv_orbit_17,GDV,2.771
erdos,f96,rw_closeness_centrality,RW,2.7404
erdos,f99,rw_pagerank,RW,2.7093
erdos,f95,rw_degree_centrality,RW,2.6387
erdos,f21,gdv_orbit_8,GDV,2.5863
erdos,f34,gdv_orbit_21,GDV,2.5488
erdos,f98,rw_eigenvector_centrality,RW,2.4779
erdos,f22,gdv_orbit_9,GDV,2.4314
erdos,f33,gdv_orbit_20,GDV,2.3302
erdos,f101,rw_eccentricity,RW,2.3039
erdos,f90,rw_stationary_prob,RW,2.2283
erdos,f37,gdv_orbit_24,GDV,1.9266
erdos_synthetic-small,f86,rw_degree,RW,39.8313
erdos_synthetic-small,f87,rw_degree_normalized,RW,23.4576
erdos_synthetic-small,f94,rw_min_neighbor_degree,RW,17.0503
erdos_synthetic-small,f95,rw_degree_centrality,RW,16.9149
erdos_synthetic-small,f103,rw_hitting_time_proxy,RW,14.1489
erdos_synthetic-small,f102,rw_avg_dist_2hop_nbrs,RW,11.3326
erdos_synthetic-small,f14,gdv_orbit_1,GDV,11.0852
erdos_synthetic-small,f88,rw_return_prob_t2,RW,10.3988
erdos_synthetic-small,f100,rw_core_number,RW,10.0359
erdos_synthetic-small,f97,rw_betweenness_centrality,RW,9.797
erdos_synthetic-small,f89,rw_return_prob_t4,RW,9.7388
