run,train_graphs,test_graphs,clf_auc,clf_f1,pipeline_f1_mean,pipeline_f1_std,pipeline_auc_mean,pipeline_auc_std,valid_pct,gap_mean,gap_median,node_reduction,edge_reduction,speedup_mean,speedup_median,status
erdos,480,120,0.8429,0.8029,0.8115,0.1011,0.8185,0.1306,100.0,3.70,0.00,12.9,12.8,1.05,0.92,ok
synthetic:small,400,100,0.8488,0.8334,0.8272,0.0797,0.8045,0.1346,100.0,2.85,0.00,11.5,12.2,0.96,0.93,ok
synthetic:medium,320,80,0.8133,0.8231,0.8235,0.0665,0.7453,0.1488,100.0,1.43,0.00,6.4,6.7,0.85,0.98,ok
tudataset:MUTAG,150,38,0.8625,0.7497,,,,,,,,,,,,,failed
erdos+synthetic:small,880,220,0.8558,0.8290,0.8473,0.0772,0.8256,0.1419,100.0,4.41,0.00,10.9,12.0,13.61,0.94,ok
erdos+synthetic:small+synthetic:medium,1200,300,0.8339,0.8249,0.8320,0.1048,0.7974,0.1584,100.0,4.92,0.00,8.0,8.7,0.82,0.84,ok
erdos+synthetic:small+synthetic:medium+synthetic:large,1360,340,0.8450,0.8410,,,,,,,,,,,,,failed
erdos+tudataset:MUTAG,630,158,0.8394,0.7867,0.7772,0.1424,0.7825,0.1923,100.0,6.17,0.00,11.6,12.2,0.88,0.81,ok
erdos+tudataset:MUTAG+NCI1+PROTEINS,1430,358,0.7858,0.7599,0.7907,0.1136,0.7953,0.1582,100.0,3.89,0.00,8.7,9.0,7.04,0.80,ok
erdos+synthetic:small+synthetic:medium+MUTAG+NCI1+PROTEINS,3590,898,0.8063,0.7860,0.7673,0.1021,0.7806,0.1446,100.0,3.33,0.00,6.1,6.3,0.83,0.84,ok
