graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,0.8925619834710744,0.7045454545454546,0.8181818181818182,0.9818181818181818,55,55,0.0,True,3.691736571956426,5.553538889624178,5.399433610029519,0.9722509767812054,0.0,0.0,0
1,synthetic:hard,73,210,57,160,0.7714285714285715,0.8626126126126126,0.7941176470588235,0.75,37,36,0.027777777777777776,True,0.43320493679493666,0.14349489100277424,0.08761854795739055,0.6106039549219672,0.2191780821917808,0.23809523809523814,17
2,synthetic:hard,61,118,43,80,0.76,0.8633333333333333,0.76,0.76,26,25,0.04,True,0.22434720303863287,0.10196000710129738,0.09241268690675497,0.9063621073990595,0.29508196721311475,0.3220338983050848,12
3,synthetic:hard,72,288,72,288,0.8256880733944955,0.7254545454545455,0.7627118644067796,0.9,50,50,0.0,True,0.48253150610253215,1.18450099369511,1.1684642909094691,0.9864612162665954,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,0.9324324324324325,0.826086956521739,0.8734177215189873,1.0,69,69,0.0,True,10.600876226089895,15.347754559013993,15.279308991041034,0.9955403529741256,0.0,0.0,0
5,synthetic:hard,58,57,32,28,0.9743589743589743,0.9946018893387314,0.95,1.0,20,19,0.05263157894736842,True,0.11425825813785195,0.10619269078597426,0.07187614683061838,0.6768464599459199,0.4482758620689655,0.5087719298245614,8
6,synthetic:hard,56,108,44,83,0.7450980392156863,0.8748353096179183,0.6785714285714286,0.8260869565217391,24,23,0.043478260869565216,True,0.19528128113597631,0.10211112815886736,0.09217982599511743,0.9027402562010819,0.21428571428571427,0.2314814814814815,11
7,synthetic:hard,51,396,51,396,0.8539325842696629,0.7264957264957265,0.76,0.9743589743589743,39,39,0.0,True,1.2750597563572228,0.2393901669420302,0.21185983903706074,0.8849980838534772,0.0,0.0,0
8,synthetic:hard,57,171,57,171,0.8181818181818182,0.6608108108108108,0.7058823529411765,0.972972972972973,37,37,0.0,True,0.2261184980161488,0.1360213691368699,0.132415059953928,0.9734871865661556,0.0,0.0,0
9,synthetic:hard,79,984,79,984,0.9178082191780822,0.7736318407960199,0.8481012658227848,1.0,67,67,0.0,True,6.218853913713247,14.19801294291392,14.156618179753423,0.9970844678528655,0.0,0.0,0
10,synthetic:hard,57,777,57,777,0.9245283018867925,0.818877551020408,0.8596491228070176,1.0,49,49,0.0,True,3.8671339191496372,4.381960401777178,4.388942701276392,1.0015934191227245,0.0,0.0,0
11,synthetic:hard,75,225,75,225,0.8,0.5316000000000001,0.6666666666666666,1.0,50,50,0.0,True,0.2733815391547978,3.266755472868681,3.281503184698522,1.0045144829333952,0.0,0.0,0
12,synthetic:hard,66,66,57,57,0.5806451612903226,0.6834101382488479,0.5806451612903226,0.5806451612903226,33,31,0.06451612903225806,True,0.1012747623026371,0.10433301515877247,0.07200323790311813,0.6901289854754475,0.13636363636363635,0.13636363636363635,8
13,synthetic:hard,60,120,60,120,0.75,0.8122171945701357,0.6521739130434783,0.8823529411764706,34,34,0.0,True,0.13720092875882983,0.0956291826441884,0.10536782490089536,1.1018375561458256,0.0,0.0,0
14,synthetic:hard,79,237,79,237,0.8,0.7264150943396226,0.7164179104477612,0.9056603773584906,53,53,0.0,True,0.3120951307937503,0.21750873606652021,0.21196191990748048,0.9744984212618322,0.0,0.0,0
15,synthetic:hard,69,207,69,207,0.8305084745762712,0.651578947368421,0.7205882352941176,0.98,50,50,0.0,True,0.22164807002991438,0.14738805266097188,0.10788528667762876,0.7319812205253229,0.0,0.0,0
16,synthetic:hard,76,152,76,152,0.7540983606557377,0.48260869565217385,0.6052631578947368,1.0,46,46,0.0,True,0.17432299768552184,1.432973938062787,1.415200859773904,0.9875970680158286,0.0,0.0,0
17,synthetic:hard,67,310,56,254,0.963855421686747,0.9765478424015008,0.9523809523809523,0.975609756097561,45,41,0.0975609756097561,True,0.9400009047240019,0.1268480927683413,0.11690685106441379,0.921628764871673,0.16417910447761194,0.1806451612903226,28
18,synthetic:hard,65,1019,65,1019,0.9344262295081968,0.5197368421052632,0.8769230769230769,1.0,57,57,0.0,True,6.269916506949812,8.918625039048493,8.850222011096776,0.9923303168759503,0.0,0.0,0
19,synthetic:hard,66,165,66,165,0.7777777777777778,0.5426587301587302,0.6363636363636364,1.0,42,42,0.0,True,0.16327893501147628,1.246166717261076,1.1679761167615652,0.9372551044603693,0.0,0.0,0
20,synthetic:hard,72,144,72,144,0.8076923076923077,0.7345779220779222,0.7,0.9545454545454546,44,44,0.0,True,0.1713322433643043,0.1175519460812211,0.10808582697063684,0.9194728847445558,0.0,0.0,0
21,synthetic:hard,60,240,60,240,0.8163265306122449,0.7261904761904762,0.7142857142857143,0.9523809523809523,42,42,0.0,True,0.3717333567328751,0.19630481908097863,0.17991415411233902,0.9165040112342926,0.0,0.0,0
22,synthetic:hard,60,594,60,594,0.8990825688073395,0.764378478664193,0.8166666666666667,1.0,49,49,0.0,True,2.484793891198933,3.5622870069928467,3.529474235139787,0.9907888466626503,0.0,0.0,0
23,synthetic:hard,64,96,64,96,0.7070707070707071,0.46798029556650245,0.546875,1.0,35,35,0.0,True,0.1385230701416731,0.16950828721746802,0.13966041011735797,0.8239149389680448,0.0,0.0,0
24,synthetic:hard,72,798,72,798,0.9090909090909091,0.7319444444444445,0.8333333333333334,1.0,60,60,0.0,True,4.27434667898342,8.766684668138623,8.660073102917522,0.987839009927143,0.0,0.0,0
25,synthetic:hard,70,815,70,815,0.8888888888888888,0.7169540229885059,0.8235294117647058,0.9655172413793104,58,58,0.0,True,4.361184489913285,6.677479212172329,6.58999616606161,0.9868987916950386,0.0,0.0,0
26,synthetic:hard,53,53,53,53,0.675,0.5398860398860398,0.5094339622641509,1.0,27,27,0.0,True,0.07105814013630152,0.12219905387610197,0.09198850439861417,0.7527759134034018,0.0,0.0,0
27,synthetic:hard,76,152,76,152,0.7766990291262136,0.7777777777777778,0.6896551724137931,0.8888888888888888,45,45,0.0,True,0.1772573720663786,0.3858097540214658,0.38677553134039044,1.0025032475432722,0.0,0.0,0
28,synthetic:hard,51,428,51,428,0.8791208791208791,0.7909090909090909,0.7843137254901961,1.0,40,40,0.0,True,1.3662751750089228,1.2766770399175584,1.255997178144753,0.9838018064661515,0.0,0.0,0
29,synthetic:hard,51,51,51,51,0.6753246753246753,0.42615384615384616,0.5098039215686274,1.0,26,26,0.0,True,0.07021171320229769,0.10248099081218243,0.08159869769588113,0.7962325212626759,0.0,0.0,0
30,synthetic:hard,57,212,48,177,0.9142857142857143,0.9797979797979798,0.8648648648648649,0.9696969696969697,37,33,0.12121212121212122,True,0.48038232792168856,0.13870105100795627,0.0873523149639368,0.6297884142127087,0.15789473684210525,0.16509433962264153,19
31,synthetic:hard,74,1145,74,1145,0.9343065693430657,0.8125,0.8767123287671232,1.0,64,64,0.0,True,7.982463316991925,11.338291360065341,11.572112799622118,1.0206222817999122,0.0,0.0,0
