feature,importance
f86,45.7481689453125
f14,25.62957191467285
f90,10.286718368530273
f87,9.83668041229248
f88,8.534966468811035
f89,7.726394176483154
f94,7.551999568939209
f99,7.548763275146484
f102,7.090755462646484
f92,6.685245037078857
f100,6.490684986114502
f103,5.756579399108887
f1,5.120110511779785
f16,4.814042091369629
f95,4.692811489105225
f0,4.213868618011475
f97,4.172797203063965
f93,4.016695976257324
f96,3.9076385498046875
f105,3.760986804962158
f13,3.7493059635162354
f22,3.481853485107422
f104,3.4755992889404297
f98,3.253645896911621
f37,3.1582424640655518
f30,3.0761590003967285
f91,3.0760388374328613
f29,3.001272439956665
f35,2.8373024463653564
f21,2.8342034816741943
f33,2.8128161430358887
f101,2.7914936542510986
f34,2.612375259399414
