graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,55,55,0.0,True,0.0,8.93371383426711,8.800262392032892,0.9850620419782938,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,36,36,0.0,True,0.0,0.13403638824820518,0.12496237130835652,0.9323018393852449,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,25,25,0.0,True,0.0,0.08868846576660872,0.09198607411235571,1.037181930223316,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,50,50,0.0,True,0.0,1.8488715579733253,1.847881549037993,0.9994645334171198,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,69,69,0.0,True,0.0,24.347933739423752,24.25152530008927,0.9960403851773927,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.09731975197792053,0.07994715683162212,0.821489525063321,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,23,23,0.0,True,0.0,0.09300368605181575,0.08304656203836203,0.8929383937760677,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,39,39,0.0,True,0.0,0.32024406222626567,0.31700845528393984,0.9898964342388346,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,37,37,0.0,True,0.0,0.17658237274736166,0.18420538678765297,1.043169733885033,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,67,67,0.0,True,0.0,22.54844689182937,22.539807619992644,0.9996168573437376,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,49,49,0.0,True,0.0,7.050241165794432,6.972002454102039,0.9889026900140689,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,50,50,0.0,True,0.0,5.30110225174576,5.287915902212262,0.9975125268468165,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,31,31,0.0,True,0.0,0.10281902784481645,0.10400923807173967,1.0115757778678827,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,34,34,0.0,True,0.0,0.10790186002850533,0.11207309598103166,1.0386576834859416,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,53,53,0.0,True,0.0,0.28836684580892324,0.2995580597780645,1.0388089481568097,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,50,50,0.0,True,0.0,0.14736597891896963,0.14118913793936372,0.9580850273250497,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,46,46,0.0,True,0.0,2.204385703895241,2.182185878045857,0.9899292461341244,0.0,0.0,0
17,synthetic:hard,67,310,67,310,,,,,41,41,0.0,True,0.0,0.17971741873770952,0.16325894184410572,0.908420246578189,0.0,0.0,0
18,synthetic:hard,65,1019,65,1019,,,,,57,57,0.0,True,0.0,14.199100445955992,14.223898582626134,1.0017464582889972,0.0,0.0,0
19,synthetic:hard,66,165,66,165,,,,,42,42,0.0,True,0.0,1.8516067201271653,1.8478845884092152,0.997989782777579,0.0,0.0,0
20,synthetic:hard,72,144,72,144,,,,,44,44,0.0,True,0.0,0.1075766277499497,0.10384141700342298,0.9652786034973246,0.0,0.0,0
21,synthetic:hard,60,240,60,240,,,,,42,42,0.0,True,0.0,0.2565921409986913,0.2558725350536406,0.9971955261675205,0.0,0.0,0
22,synthetic:hard,60,594,60,594,,,,,49,49,0.0,True,0.0,5.6166406949050725,5.6318105510436,1.002700877083394,0.0,0.0,0
23,synthetic:hard,64,96,64,96,,,,,35,35,0.0,True,0.0,0.1869514798745513,0.18683186871930957,0.9993602021480548,0.0,0.0,0
24,synthetic:hard,72,798,72,798,,,,,60,60,0.0,True,0.0,13.942136642057449,13.927720461972058,0.9989659992255489,0.0,0.0,0
25,synthetic:hard,70,815,70,815,,,,,58,58,0.0,True,0.0,10.703379407990724,10.651816236786544,0.9951825335495736,0.0,0.0,0
26,synthetic:hard,53,53,53,53,,,,,27,27,0.0,True,0.0,0.09054000489413738,0.08941868599504232,0.9876152105314535,0.0,0.0,0
27,synthetic:hard,76,152,76,152,,,,,45,45,0.0,True,0.0,0.5843121660873294,0.5733728343620896,0.9812782749356534,0.0,0.0,0
28,synthetic:hard,51,428,51,428,,,,,40,40,0.0,True,0.0,1.9781998260878026,2.012990085873753,1.017586827845776,0.0,0.0,0
29,synthetic:hard,51,51,51,51,,,,,26,26,0.0,True,0.0,0.0938189527951181,0.08357362821698189,0.8907968563611027,0.0,0.0,0
30,synthetic:hard,57,212,57,212,,,,,33,33,0.0,True,0.0,0.12687455769628286,0.13396995794028044,1.0559245318591204,0.0,0.0,0
31,synthetic:hard,74,1145,74,1145,,,,,64,64,0.0,True,0.0,18.139137321151793,18.050311691127717,0.9951030951223631,0.0,0.0,0
32,synthetic:hard,67,252,67,252,,,,,40,40,0.0,True,0.0,0.22926771314814687,0.2188285058364272,0.9544671721614194,0.0,0.0,0
33,synthetic:hard,63,694,63,694,,,,,52,52,0.0,True,0.0,9.142340943217278,9.107828944921494,0.9962250370544987,0.0,0.0,0
34,synthetic:hard,80,987,80,987,,,,,67,67,0.0,True,0.0,24.176801819819957,24.131549992132932,0.9981282955444534,0.0,0.0,0
35,synthetic:hard,78,77,78,77,,,,,22,22,0.0,True,0.0,0.09838148020207882,0.08458836562931538,0.8597996844077571,0.0,0.0,0
36,synthetic:hard,72,1063,72,1063,,,,,62,62,0.0,True,0.0,19.284126424696296,19.415756172966212,1.0068258081995014,0.0,0.0,0
37,synthetic:hard,53,631,53,631,,,,,45,45,0.0,True,0.0,6.281520141754299,6.2198327872902155,0.9901795500019115,0.0,0.0,0
38,synthetic:hard,70,280,70,280,,,,,49,49,0.0,True,0.0,0.41131598223000765,0.3799151503480971,0.9236576422057161,0.0,0.0,0
39,synthetic:hard,56,55,56,55,,,,,19,19,0.0,True,0.0,0.09681353718042374,0.08848359808325768,0.913958942728823,0.0,0.0,0
40,synthetic:hard,68,204,68,204,,,,,49,49,0.0,True,0.0,0.13642163760960102,0.127885437104851,0.9374278109079871,0.0,0.0,0
41,synthetic:hard,72,898,72,898,,,,,60,60,0.0,True,0.0,11.118710353970528,11.091593108139932,0.9975611159057748,0.0,0.0,0
42,synthetic:hard,62,248,62,248,,,,,42,42,0.0,True,0.0,0.16673353081569076,0.14877182198688388,0.8922729654860967,0.0,0.0,0
43,synthetic:hard,55,250,55,250,,,,,32,32,0.0,True,0.0,0.17035437189042568,0.13026610715314746,0.7646772178933948,0.0,0.0,0
44,synthetic:hard,78,152,78,152,,,,,36,36,0.0,True,0.0,0.0954916370101273,0.1034864941611886,1.0837231133676493,0.0,0.0,0
45,synthetic:hard,75,225,75,225,,,,,51,51,0.0,True,0.0,0.168128103017807,0.17192108510062099,1.0225600718424346,0.0,0.0,0
46,synthetic:hard,61,280,61,280,,,,,38,38,0.0,True,0.0,0.15821010060608387,0.15603962214663625,0.9862810373602394,0.0,0.0,0
47,synthetic:hard,65,64,65,64,,,,,22,22,0.0,True,0.0,0.08309253258630633,0.08002215810120106,0.9630487314619259,0.0,0.0,0
48,synthetic:hard,71,71,71,71,,,,,36,36,0.0,True,0.0,0.08682900434359908,0.10103468270972371,1.1636052200933922,0.0,0.0,0
49,synthetic:hard,70,70,70,70,,,,,33,33,0.0,True,0.0,0.08268211921676993,0.08508082991465926,1.0290112387129382,0.0,0.0,0
