graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,55,55,0.0,True,0.0,5.518211766146123,5.484975486062467,0.9939769835787096,0.0,0.0,0
1,synthetic:hard,73,210,58,165,,,,,42,36,0.16666666666666666,True,0.0,0.09644410200417042,0.0869170818477869,0.9012171821977092,0.2054794520547945,0.2142857142857143,26
2,synthetic:hard,61,118,42,79,,,,,26,25,0.04,True,0.0,0.06305676186457276,0.0763828419148922,1.2113346714336506,0.3114754098360656,0.3305084745762712,20
3,synthetic:hard,72,288,72,288,,,,,50,50,0.0,True,0.0,1.1535923518240452,1.1668584230355918,1.0114997912309063,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,69,69,0.0,True,0.0,15.427551208995283,15.257133624050766,0.9889536853492892,0.0,0.0,0
5,synthetic:hard,58,57,36,35,,,,,19,19,0.0,True,0.0,0.09261448914185166,0.07604586007073522,0.8211011125296027,0.3793103448275862,0.38596491228070173,16
6,synthetic:hard,56,108,56,108,,,,,23,23,0.0,True,0.0,0.07664553495123982,0.07523978315293789,0.9816590516434357,0.0,0.0,0
7,synthetic:hard,51,396,49,381,,,,,40,39,0.02564102564102564,True,0.0,0.33865803107619286,0.21579449716955423,0.6372047238442835,0.0392156862745098,0.037878787878787845,12
8,synthetic:hard,57,171,57,171,,,,,37,37,0.0,True,0.0,0.13941229367628694,0.14363667974248528,1.0303013884557937,0.0,0.0,0
9,synthetic:hard,79,984,78,966,,,,,70,67,0.04477611940298507,True,0.0,12.877938364166766,14.040687503758818,1.0902900065764747,0.012658227848101266,0.018292682926829285,18
10,synthetic:hard,57,777,57,777,,,,,49,49,0.0,True,0.0,4.471859697252512,4.478338600602001,1.0014488163288016,0.0,0.0,0
11,synthetic:hard,75,225,14,13,,,,,66,50,0.32,True,0.0,0.07554506603628397,3.322469781152904,43.97997057222951,0.8133333333333334,0.9422222222222222,14
12,synthetic:hard,66,66,66,66,,,,,31,31,0.0,True,0.0,0.0776295829564333,0.09219306614249945,1.1876022339864862,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,34,34,0.0,True,0.0,0.07972945086658001,0.07587092835456133,0.9516048026158418,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,53,53,0.0,True,0.0,0.21154039120301604,0.20362308528274298,0.9625730770599039,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,50,50,0.0,True,0.0,0.11015463713556528,0.10793373780325055,0.9798383491601764,0.0,0.0,0
16,synthetic:hard,76,152,16,18,,,,,63,46,0.3695652173913043,True,0.0,0.08942292304709554,1.4462275952100754,16.172895561112494,0.7894736842105263,0.881578947368421,16
17,synthetic:hard,67,310,67,310,,,,,41,41,0.0,True,0.0,0.12474393984302878,0.11589326523244381,0.9290492618581536,0.0,0.0,0
18,synthetic:hard,65,1019,65,1019,,,,,57,57,0.0,True,0.0,8.88569350540638,8.844520489219576,0.9953663699786908,0.0,0.0,0
19,synthetic:hard,66,165,26,36,,,,,56,42,0.3333333333333333,True,0.0,0.07387191196903586,1.1659850249998271,15.783875006356425,0.6060606060606061,0.7818181818181819,26
20,synthetic:hard,72,144,72,144,,,,,44,44,0.0,True,0.0,0.0821356107480824,0.07599283009767532,0.9252117249210265,0.0,0.0,0
21,synthetic:hard,60,240,60,240,,,,,42,42,0.0,True,0.0,0.17918960889801383,0.17995413625612855,1.00426658310611,0.0,0.0,0
22,synthetic:hard,60,594,60,594,,,,,49,49,0.0,True,0.0,3.614283327013254,3.5602531917393208,0.9850509408407164,0.0,0.0,0
23,synthetic:hard,64,96,6,6,,,,,49,35,0.4,True,0.0,0.07219583820551634,0.1382872648537159,1.9154464895893355,0.90625,0.9375,6
24,synthetic:hard,72,798,72,798,,,,,60,60,0.0,True,0.0,8.77396760508418,8.724034413229674,0.9943089382019632,0.0,0.0,0
25,synthetic:hard,70,815,70,815,,,,,58,58,0.0,True,0.0,6.683637497015297,6.667748013045639,0.9976226292977807,0.0,0.0,0
26,synthetic:hard,53,53,2,0,,,,,34,27,0.25925925925925924,True,0.0,0.0008763079531490803,0.08433568989858031,96.23978601987292,0.9622641509433962,1.0,2
27,synthetic:hard,76,152,76,152,,,,,45,45,0.0,True,0.0,0.38431673496961594,0.38390902196988463,0.9989391224408598,0.0,0.0,0
28,synthetic:hard,51,428,51,428,,,,,40,40,0.0,True,0.0,1.2602581791579723,1.2516233478672802,0.9931483632215254,0.0,0.0,0
29,synthetic:hard,51,51,2,0,,,,,34,26,0.3076923076923077,True,0.0,0.0008624070324003696,0.07418811460956931,86.0244777956863,0.9607843137254902,1.0,2
30,synthetic:hard,57,212,57,212,,,,,33,33,0.0,True,0.0,0.09130538906902075,0.10821851994842291,1.1852369400300893,0.0,0.0,0
31,synthetic:hard,74,1145,74,1145,,,,,64,64,0.0,True,0.0,11.379186376929283,11.503695006016642,1.0109417866060963,0.0,0.0,0
32,synthetic:hard,67,252,67,252,,,,,40,40,0.0,True,0.0,0.1618345621973276,0.155859031714499,0.9630763021094186,0.0,0.0,0
33,synthetic:hard,63,694,63,694,,,,,52,52,0.0,True,0.0,5.776388399768621,5.775902735069394,0.9999159224301388,0.0,0.0,0
34,synthetic:hard,80,987,80,987,,,,,67,67,0.0,True,0.0,15.26441841525957,15.19575130706653,0.9955014920107015,0.0,0.0,0
35,synthetic:hard,78,77,37,36,,,,,22,22,0.0,True,0.0,0.07098650792613626,0.06826206529513001,0.9616202753086388,0.5256410256410257,0.5324675324675325,21
36,synthetic:hard,72,1063,72,1063,,,,,62,62,0.0,True,0.0,12.28860593214631,12.295491620898247,1.0005603311547262,0.0,0.0,0
37,synthetic:hard,53,631,53,631,,,,,45,45,0.0,True,0.0,3.9514237949624658,3.956058993935585,1.0011730452651089,0.0,0.0,0
38,synthetic:hard,70,280,70,280,,,,,49,49,0.0,True,0.0,0.26962778996676207,0.2699851933866739,1.001325543705847,0.0,0.0,0
39,synthetic:hard,56,55,37,36,,,,,20,19,0.05263157894736842,True,0.0,0.07078843610361218,0.06001931522041559,0.8478689249832563,0.3392857142857143,0.34545454545454546,16
40,synthetic:hard,68,204,68,204,,,,,49,49,0.0,True,0.0,0.09758228063583374,0.10065039712935686,1.0314413280109018,0.0,0.0,0
41,synthetic:hard,72,898,72,898,,,,,60,60,0.0,True,0.0,7.01390194799751,7.040035867597908,1.0037260172432063,0.0,0.0,0
42,synthetic:hard,62,248,62,248,,,,,42,42,0.0,True,0.0,0.13014992512762547,0.11591537622734904,0.8906296036181506,0.0,0.0,0
43,synthetic:hard,55,250,55,250,,,,,32,32,0.0,True,0.0,0.11143693793565035,0.10785398771986365,0.9678477326983295,0.0,0.0,0
44,synthetic:hard,78,152,78,152,,,,,36,36,0.0,True,0.0,0.08148891618475318,0.0759414304047823,0.9319234315573234,0.0,0.0,0
45,synthetic:hard,75,225,75,225,,,,,51,51,0.0,True,0.0,0.11808268399909139,0.11988926026970148,1.0152992480305072,0.0,0.0,0
46,synthetic:hard,61,280,61,280,,,,,38,38,0.0,True,0.0,0.10787028819322586,0.1155926831997931,1.0715896391482174,0.0,0.0,0
47,synthetic:hard,65,64,43,42,,,,,22,22,0.0,True,0.0,0.07301545515656471,0.07205019565299153,0.9867800659257221,0.3384615384615385,0.34375,18
48,synthetic:hard,71,71,2,0,,,,,44,36,0.2222222222222222,True,0.0,0.0010840590111911297,0.0707369763404131,65.2519610188836,0.971830985915493,1.0,2
49,synthetic:hard,70,70,70,70,,,,,33,33,0.0,True,0.0,0.07189802592620254,0.07204767735674977,1.002081440048171,0.0,0.0,0
