feature,importance
f86,73.50675201416016
f14,31.48729705810547
f88,16.441919326782227
f89,14.288864135742188
f94,10.52968692779541
f103,10.00670051574707
f100,8.331339836120605
f16,7.623959541320801
f105,6.611128330230713
f87,6.444945812225342
f102,6.42578125
f1,6.335532188415527
f92,6.123770236968994
f0,5.280945777893066
f97,5.130467891693115
f90,4.474243640899658
f13,4.241438865661621
f96,4.119879245758057
f93,4.094174385070801
f91,4.023386478424072
f29,4.00954008102417
f98,3.9288628101348877
f104,3.889517307281494
f30,3.8788411617279053
f22,3.747239112854004
f37,3.6492345333099365
f101,3.4764323234558105
f34,3.4008431434631348
f99,3.3266725540161133
f35,3.2692809104919434
f21,3.160665512084961
f33,3.136972427368164
f95,2.8762662410736084
