graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:medium,146,1070,146,1070,0.8780487804878049,0.7916666666666666,0.7941176470588235,0.9818181818181818,110,110,0.0,True,5.991209398023784,60.25536523619667,60.22386031085625,0.9994771432350146,0.0,0.0,0
1,synthetic:medium,55,110,55,110,0.75,0.5254820936639119,0.6,1.0,33,33,0.0,True,0.12060833629220724,0.20350102288648486,0.15998841682448983,0.786179914750272,0.0,0.0,0
2,synthetic:medium,61,174,53,150,0.7246376811594203,0.7575757575757576,0.6944444444444444,0.7575757575757576,34,33,0.030303030303030304,True,0.3532144040800631,0.11599940713495016,0.14499231986701488,1.2499401802832946,0.13114754098360656,0.13793103448275867,13
3,synthetic:medium,134,393,111,324,0.8,0.848647440196736,0.7837837837837838,0.8169014084507042,75,71,0.056338028169014086,True,1.0967188528738916,0.15501029510051012,0.12136725196614861,0.7829625244404119,0.17164179104477612,0.17557251908396942,34
4,synthetic:medium,93,182,68,130,0.8095238095238095,0.8907563025210085,0.8095238095238095,0.8095238095238095,43,42,0.023809523809523808,True,0.28736049914732575,0.10374409332871437,0.08356609335169196,0.8055021801280948,0.26881720430107525,0.2857142857142857,23
5,synthetic:medium,99,297,98,294,0.8289473684210527,0.820814479638009,0.7241379310344828,0.9692307692307692,65,65,0.0,True,0.3815281721763313,0.19195871613919735,0.17412741482257843,0.9071086654711282,0.010101010101010102,0.010101010101010055,3
6,synthetic:medium,72,71,46,45,0.7636363636363637,0.9080851063829787,0.7,0.84,26,25,0.04,True,0.11037102900445461,0.09722232818603516,0.07195777632296085,0.74013632120874,0.3611111111111111,0.3661971830985915,10
7,synthetic:medium,85,629,84,625,0.8843537414965986,0.8446153846153847,0.7926829268292683,1.0,66,65,0.015384615384615385,True,3.046317435801029,18.023856536019593,10.379792593885213,0.5758918782526826,0.011764705882352941,0.006359300476947549,4
8,synthetic:medium,51,102,51,102,0.7560975609756098,0.44516129032258067,0.6078431372549019,1.0,31,31,0.0,True,0.20477165421471,0.404128341935575,0.3349839700385928,0.8289049177649486,0.0,0.0,0
9,synthetic:medium,98,245,98,245,0.775,0.49641577060931896,0.6326530612244898,1.0,62,62,0.0,True,0.46641813730821013,8.911020618863404,8.813376905862242,0.9890423648224466,0.0,0.0,0
10,synthetic:medium,120,840,120,840,0.8725490196078431,0.7440740740740741,0.7807017543859649,0.9888888888888889,90,90,0.0,True,6.334858621004969,54.33553620101884,54.171767374966294,0.9969859720267291,0.0,0.0,0
11,synthetic:medium,130,2312,130,2312,0.9300411522633745,0.6798542425819886,0.8692307692307693,1.0,114,114,0.0,True,49.93505443492904,60.34038416482508,60.25981003511697,0.9986646732396,0.0,0.0,0
12,synthetic:medium,106,505,91,428,0.7941176470588235,0.8478422619047619,0.75,0.84375,66,64,0.03125,True,3.1451175482943654,3.689042983110994,0.6401591268368065,0.17352986391526296,0.14150943396226415,0.1524752475247525,34
13,synthetic:medium,56,240,55,236,0.8433734939759037,0.8791666666666665,0.7446808510638298,0.9722222222222222,36,36,0.0,True,0.7969431900419295,0.1856267349794507,0.17592096282169223,0.9477135006504698,0.017857142857142856,0.01666666666666672,4
14,synthetic:medium,101,1114,101,1114,0.9,0.7234567901234568,0.8181818181818182,1.0,81,81,0.0,True,13.148616248741746,41.60736220097169,41.10750390822068,0.9879863017910965,0.0,0.0,0
15,synthetic:medium,102,1822,102,1822,0.9375,0.5842592592592594,0.8823529411764706,1.0,90,90,0.0,True,31.088423863984644,60.34700998105109,60.06036988366395,0.9952501358811788,0.0,0.0,0
16,synthetic:medium,98,1272,98,1272,0.9050279329608939,0.8126361655773421,0.826530612244898,1.0,81,81,0.0,True,16.420968050137162,47.372828582301736,45.23541311081499,0.954880982718324,0.0,0.0,0
17,synthetic:medium,108,162,108,162,0.7065868263473054,0.4916983742649602,0.5462962962962963,1.0,59,59,0.0,True,0.29575645411387086,0.4460224797949195,0.4359539160504937,0.9774258827737667,0.0,0.0,0
18,synthetic:medium,53,150,42,116,0.7540983606557377,0.8507246376811595,0.7419354838709677,0.7666666666666667,32,30,0.06666666666666667,True,0.42703525023534894,0.12412064662203193,0.12829675199463964,1.0336455334890788,0.20754716981132076,0.22666666666666668,16
19,synthetic:medium,138,665,119,570,0.8160919540229885,0.8913472070098576,0.7802197802197802,0.8554216867469879,85,83,0.024096385542168676,True,4.537057882640511,6.8808347741141915,1.5826754039153457,0.23001212147534705,0.13768115942028986,0.1428571428571429,40
20,synthetic:medium,112,830,112,830,0.8481675392670157,0.7167755991285403,0.7641509433962265,0.9529411764705882,85,85,0.0,True,6.927174874581397,47.12646840373054,47.539706978946924,1.0087687151024385,0.0,0.0,0
21,synthetic:medium,79,1193,79,1193,0.9178082191780822,0.6654228855721394,0.8481012658227848,1.0,67,67,0.0,True,13.778608680237085,16.84561023907736,16.474134768359363,0.9779482330740223,0.0,0.0,0
22,synthetic:medium,98,1866,98,1866,0.9347826086956522,0.7218992248062016,0.8775510204081632,1.0,87,87,0.0,True,32.49451471911743,60.38391742063686,60.09489632491022,0.9952136080586937,0.0,0.0,0
23,synthetic:medium,129,129,129,129,0.6701030927835051,0.46875,0.5038759689922481,1.0,65,65,0.0,True,0.2833824986591935,0.11505975993350148,0.0798801938071847,0.6942496130128488,0.0,0.0,0
24,synthetic:medium,93,767,93,767,0.8795180722891566,0.7787671232876712,0.7849462365591398,1.0,73,73,0.0,True,6.559528815094382,21.39873819798231,21.102798562962562,0.9861702296517814,0.0,0.0,0
25,synthetic:medium,95,450,78,363,0.9180327868852459,0.9806094182825484,0.8615384615384616,0.9824561403508771,62,57,0.08771929824561403,True,2.486166210845113,1.7879983051680028,0.2522595771588385,0.1410849084306799,0.17894736842105263,0.19333333333333336,41
26,synthetic:medium,133,399,132,396,0.8,0.8371592539454805,0.7037037037037037,0.926829268292683,82,82,0.0,True,0.9042419940233231,6.043825456872582,4.228899454232305,0.6997057549740322,0.007518796992481203,0.007518796992481258,3
27,synthetic:medium,103,396,81,305,0.7964601769911505,0.8905303030303031,0.7758620689655172,0.8181818181818182,59,55,0.07272727272727272,True,2.072864426765591,2.509119645692408,0.19833206199109554,0.07904448172951295,0.21359223300970873,0.22979797979797978,33
28,synthetic:medium,88,352,87,347,0.8201438848920863,0.7482142857142857,0.7215189873417721,0.95,60,60,0.0,True,0.983360811136663,2.337373926769942,2.514576601330191,1.0758127197923903,0.011363636363636364,0.014204545454545414,5
29,synthetic:medium,110,330,107,321,0.8589743589743589,0.8732142857142857,0.7790697674418605,0.9571428571428572,70,70,0.0,True,0.770223499275744,3.682038839906454,3.4468793221749365,0.9361333413480527,0.02727272727272727,0.027272727272727226,9
30,synthetic:medium,54,245,53,239,0.7887323943661971,0.8220588235294118,0.7567567567567568,0.8235294117647058,34,34,0.0,True,1.0296805249527097,0.18981122132390738,0.14373193681240082,0.7572362466765146,0.018518518518518517,0.024489795918367308,6
31,synthetic:medium,83,390,75,353,0.8547008547008547,0.8821339950372209,0.7692307692307693,0.9615384615384616,53,52,0.019230769230769232,True,2.3136770729906857,1.9245430189184844,0.2944733048789203,0.15300946873320734,0.0963855421686747,0.09487179487179487,26
32,synthetic:medium,143,556,115,443,0.8705882352941177,0.9135680379746836,0.8131868131868132,0.9367088607594937,82,79,0.0379746835443038,True,3.1772630400955677,3.6822389629669487,0.745124745182693,0.20235643386444205,0.1958041958041958,0.2032374100719424,47
33,synthetic:medium,56,224,56,224,0.8351648351648352,0.8536953242835595,0.7307692307692307,0.9743589743589743,39,39,0.0,True,0.6230257418937981,0.2860111929476261,0.28473173175007105,0.9955265345234605,0.0,0.0,0
34,synthetic:medium,111,222,111,222,0.7528089887640449,0.5200135685210312,0.6036036036036037,1.0,67,67,0.0,True,0.41681888001039624,5.598732852842659,5.518503438215703,0.9856700762948136,0.0,0.0,0
35,synthetic:medium,70,673,70,673,0.9016393442622951,0.8145454545454546,0.8208955223880597,1.0,55,55,0.0,True,5.2215664819814265,6.632350201718509,6.387457720004022,0.9630760628938091,0.0,0.0,0
36,synthetic:medium,89,267,89,267,0.8496732026143791,0.6596153846153846,0.7386363636363636,1.0,65,65,0.0,True,0.44767706422135234,0.18427557405084372,0.14398911036551,0.781379252823718,0.0,0.0,0
37,synthetic:medium,82,82,76,76,0.7323943661971831,0.8382978723404254,0.7222222222222222,0.7428571428571429,37,35,0.05714285714285714,True,0.22861945303156972,0.11437148693948984,0.06387632479891181,0.5584986827416755,0.07317073170731707,0.07317073170731703,4
38,synthetic:medium,132,260,94,181,0.7966101694915254,0.8832748538011695,0.7704918032786885,0.8245614035087719,60,57,0.05263157894736842,True,0.861286676954478,0.15741369500756264,0.1052190288901329,0.6684236011681058,0.2878787878787879,0.3038461538461539,29
39,synthetic:medium,71,359,70,355,0.8392857142857143,0.8024118738404452,0.746031746031746,0.9591836734693877,50,49,0.02040816326530612,True,1.5279460907913744,3.3566219620406628,2.8629596238024533,0.8529288243296582,0.014084507042253521,0.011142061281337101,4
