feature,importance
f86,36.06198501586914
f1,21.468963623046875
f0,11.32214641571045
f16,8.370401382446289
f14,7.7487406730651855
f88,4.7998809814453125
f94,3.6873183250427246
f89,3.3327677249908447
f97,3.2895002365112305
f102,3.2488603591918945
f13,3.0345120429992676
f105,2.9879679679870605
f104,2.975254774093628
f37,2.66705060005188
f100,2.5266940593719482
f91,2.491926431655884
f34,2.4835667610168457
f93,2.1995441913604736
f35,2.1815743446350098
f30,2.1195809841156006
f98,2.116427421569824
f92,1.9935725927352905
f87,1.9876048564910889
f95,1.9720426797866821
f33,1.938559889793396
f99,1.9361690282821655
f22,1.9296724796295166
f29,1.8843122720718384
f21,1.8128961324691772
f90,1.7592673301696777
f103,1.6265203952789307
f96,1.5137978792190552
