graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:COLLAB,43,363,41,354,0.9333333333333333,0.9178571428571428,0.875,1.0,36,35,0.02857142857142857,True,1.8591676480136812,0.6014519049786031,0.5312179997563362,0.8832260657237996,0.046511627906976744,0.024793388429752095,6
1,tudataset:COLLAB,46,1016,46,1016,0.9777777777777777,0.8636363636363636,0.9565217391304348,1.0,44,44,0.0,True,9.31684062210843,4.485773329157382,4.448001158423722,0.9915795632186445,0.0,0.0,0
2,tudataset:COLLAB,127,2079,124,2059,0.9663865546218487,0.8652173913043478,0.9349593495934959,1.0,115,115,0.0,True,49.9331963150762,8.828730996698141,8.18921460909769,0.9275641779277651,0.023622047244094488,0.00962000962000964,13
3,tudataset:COLLAB,45,959,45,959,0.9772727272727273,0.8662790697674418,0.9555555555555556,1.0,43,43,0.0,True,8.608371819835156,3.6547111379913986,3.6196874119341373,0.9904168278326615,0.0,0.0,0
4,tudataset:COLLAB,60,305,53,268,0.8444444444444444,0.8478818998716303,0.7755102040816326,0.926829268292683,43,41,0.04878048780487805,True,2.1107615688815713,0.2747663068585098,0.23028808971866965,0.8381234669986518,0.11666666666666667,0.12131147540983611,18
5,tudataset:COLLAB,57,776,56,775,0.9629629629629629,0.8615384615384615,0.9285714285714286,1.0,52,52,0.0,True,6.961940663866699,2.9193148985505104,3.0523366262204945,1.0455660770737791,0.017543859649122806,0.0012886597938144284,1
6,tudataset:COLLAB,72,1857,72,1857,0.9640287769784173,0.9149253731343283,0.9305555555555556,1.0,67,67,0.0,True,32.08390882704407,18.151708859950304,17.97975069284439,0.9905266127595667,0.0,0.0,0
7,tudataset:COLLAB,56,271,46,245,0.8311688311688312,0.9236111111111112,0.7804878048780488,0.8888888888888888,36,36,0.0,True,1.763903072103858,0.2868204191327095,0.2606715280562639,0.9088318357684754,0.17857142857142858,0.09594095940959413,11
8,tudataset:COLLAB,42,288,41,287,0.9473684210526315,0.7638888888888888,0.9,1.0,36,36,0.0,True,1.3063362762331963,0.36417226400226355,0.33986866008490324,0.9332634406303681,0.023809523809523808,0.00347222222222221,1
9,tudataset:COLLAB,49,892,47,888,0.9777777777777777,0.9500000000000001,0.9565217391304348,1.0,44,44,0.0,True,7.966042937710881,4.42725541209802,3.8912806417793036,0.8789374634103784,0.04081632653061224,0.004484304932735439,3
