feature,importance
f94,77.140380859375
f88,45.87504577636719
f89,35.95599365234375
f100,16.06236457824707
f86,15.792880058288574
f92,9.296379089355469
f1,8.999741554260254
f0,7.214407444000244
f103,6.620182514190674
f14,5.991876602172852
f97,5.828500270843506
f21,4.9482550621032715
f98,4.277502536773682
f104,4.1950483322143555
f13,4.159154891967773
f22,4.1096649169921875
f99,3.987278938293457
f96,3.9019877910614014
f93,3.794063091278076
f30,3.702157974243164
f29,3.4497904777526855
f90,3.438889741897583
f87,3.3728065490722656
f101,3.2664778232574463
f95,3.1976637840270996
f102,1.6937236785888672
