graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:NCI1,16,18,15,17,0.7058823529411765,0.8359375,0.6666666666666666,0.75,9,8,0.125,True,0.031652193050831556,0.05283083859831095,0.06368606816977262,1.2054714605989376,0.0625,0.05555555555555558,1
1,tudataset:NCI1,13,14,12,13,0.7058823529411765,0.6190476190476191,0.5454545454545454,1.0,6,6,0.0,True,0.01297207735478878,0.06287145288661122,0.06794316368177533,1.0806679432764335,0.07692307692307693,0.0714285714285714,1
2,tudataset:NCI1,35,37,30,33,0.7027027027027027,0.7766666666666667,0.5909090909090909,0.8666666666666667,16,15,0.06666666666666667,True,0.04450172884389758,0.06304488377645612,0.04806666914373636,0.7624198232194487,0.14285714285714285,0.10810810810810811,2
3,tudataset:NCI1,22,24,21,24,0.6666666666666666,0.7107438016528926,0.5263157894736842,0.9090909090909091,11,11,0.0,True,0.020198076963424683,0.08712300332263112,0.08003054512664676,0.9185925883463889,0.045454545454545456,0.0,0
4,tudataset:NCI1,28,28,28,28,0.5925925925925926,0.6615384615384615,0.5714285714285714,0.6153846153846154,13,13,0.0,True,0.04666320839896798,0.02892528986558318,0.026363298762589693,0.9114272971887525,0.0,0.0,0
5,tudataset:NCI1,13,14,8,9,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,8,6,0.3333333333333333,True,0.017410954926162958,0.06545820273458958,0.07147224387153983,1.0918760504521505,0.38461538461538464,0.3571428571428571,5
6,tudataset:NCI1,18,19,16,17,0.7368421052631579,0.8625,0.6363636363636364,0.875,9,8,0.125,True,0.032694701571017504,0.07932444894686341,0.09601382678374648,1.2103938704706625,0.1111111111111111,0.10526315789473684,1
7,tudataset:NCI1,27,30,27,30,0.6857142857142857,0.9777777777777779,0.5217391304347826,1.0,12,12,0.0,True,0.040740837808698416,0.05908117117360234,0.0697801299393177,1.1810891448694858,0.0,0.0,0
8,tudataset:NCI1,26,27,23,24,0.72,0.8121212121212121,0.6428571428571429,0.8181818181818182,12,11,0.09090909090909091,True,0.040745177771896124,0.07460563024505973,0.02472893474623561,0.3314620446876142,0.11538461538461539,0.11111111111111116,1
9,tudataset:NCI1,25,28,25,28,0.7333333333333333,0.9285714285714286,0.5789473684210527,1.0,11,11,0.0,True,0.0357776777818799,0.06599479774013162,0.06779230292886496,1.0272370739859131,0.0,0.0,0
10,tudataset:NCI1,14,15,13,14,0.7777777777777778,0.8877551020408163,0.6363636363636364,1.0,7,7,0.0,True,0.013370891567319632,0.0717434361577034,0.06986993970349431,0.9738861622115388,0.07142857142857142,0.06666666666666665,1
11,tudataset:NCI1,26,28,26,28,0.6153846153846154,0.7678571428571428,0.5714285714285714,0.6666666666666666,12,12,0.0,True,0.038564519956707954,0.07866358198225498,0.07527398504316807,0.9569102136761133,0.0,0.0,0
12,tudataset:NCI1,21,23,21,23,0.6666666666666666,0.6818181818181818,0.5294117647058824,0.9,10,10,0.0,True,0.03560674609616399,0.10120929032564163,0.09208005480468273,0.9097984434869021,0.0,0.0,0
13,tudataset:NCI1,19,20,17,18,0.7272727272727273,0.7888888888888889,0.6153846153846154,0.8888888888888888,9,9,0.0,True,0.035712036304175854,0.11537036811932921,0.06869586976245046,0.5954377270548131,0.10526315789473684,0.09999999999999998,1
14,tudataset:NCI1,23,26,23,26,0.6451612903225806,0.6212121212121212,0.5263157894736842,0.8333333333333334,12,12,0.0,True,0.0317847840487957,0.05627705715596676,0.0685619292780757,1.218292724299043,0.0,0.0,0
