graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,30,48,26,43,0.8571428571428571,0.9330357142857142,0.7894736842105263,0.9375,18,16,0.125,True,0.044449939392507076,0.2692587813362479,0.14488810813054442,0.538099843620734,0.13333333333333333,0.10416666666666663,5
1,erdos,10,17,8,13,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,6,6,0.0,True,0.025523466989398003,0.018624389078468084,0.21028928086161613,11.291070003726162,0.2,0.23529411764705888,3
2,erdos,7,8,6,6,0.8888888888888888,0.9583333333333334,0.8,1.0,4,4,0.0,True,0.03195767104625702,0.04004122782498598,0.20748883299529552,5.1818798839585325,0.14285714285714285,0.25,2
3,erdos,33,53,27,45,0.6470588235294118,0.7904411764705883,0.6111111111111112,0.6875,18,16,0.125,True,0.24303241912275553,0.15488669695332646,0.2501654988154769,1.615151615576525,0.18181818181818182,0.15094339622641506,6
4,erdos,17,27,14,23,0.8571428571428571,0.8214285714285715,0.8181818181818182,0.9,10,10,0.0,True,0.025616308208554983,0.08694544527679682,0.12095648096874356,1.3911767382830724,0.17647058823529413,0.14814814814814814,4
5,erdos,31,53,28,49,0.8,0.7841880341880341,0.7272727272727273,0.8888888888888888,19,18,0.05555555555555555,True,0.06822172412648797,0.10747913690283895,0.12137913331389427,1.1293273914510582,0.0967741935483871,0.07547169811320753,4
6,erdos,17,21,17,21,0.8571428571428571,0.8958333333333334,0.75,1.0,9,9,0.0,True,0.04967204621061683,0.04966471530497074,0.038471216801553965,0.7746186918684206,0.0,0.0,0
7,erdos,28,179,28,179,0.9230769230769231,0.8533333333333333,0.8888888888888888,0.96,25,25,0.0,True,0.16573737189173698,0.6863029100932181,0.29112210404127836,0.42418894013102215,0.0,0.0,0
8,erdos,31,48,27,42,0.7368421052631579,0.7605042016806722,0.6666666666666666,0.8235294117647058,18,17,0.058823529411764705,True,0.08047225885093212,0.3026462527923286,0.16209480678662658,0.535591652931694,0.12903225806451613,0.125,6
9,erdos,25,23,25,23,0.6,0.6121794871794872,0.5,0.75,12,12,0.0,True,0.04846253711730242,0.11411423329263926,0.24935663305222988,2.185149265409946,0.0,0.0,0
10,erdos,22,32,18,25,0.8888888888888888,0.9374999999999999,0.8,1.0,12,12,0.0,True,0.020226641092449427,0.13076700922101736,0.18856498133391142,1.4419920013250906,0.18181818181818182,0.21875,4
11,erdos,13,60,13,60,0.8695652173913043,0.7333333333333333,0.7692307692307693,1.0,10,10,0.0,True,0.02334768185392022,0.2521322323009372,0.12066769925877452,0.4785889457986844,0.0,0.0,0
12,erdos,28,47,25,44,0.7567567567567568,0.6550802139037433,0.7,0.8235294117647058,17,17,0.0,True,0.019428744912147522,0.5675426148809493,0.26665219385176897,0.46983642612934595,0.10714285714285714,0.06382978723404253,1
13,erdos,7,21,7,21,0.9230769230769231,0.5,0.8571428571428571,1.0,6,6,0.0,True,0.006231942679733038,0.3460847260430455,0.010977996047586203,0.031720544772671576,0.0,0.0,0
14,erdos,30,35,20,25,0.7586206896551724,0.7737556561085973,0.6875,0.8461538461538461,13,13,0.0,True,0.3555352007970214,0.35162726417183876,0.1895450777374208,0.53905114037116,0.3333333333333333,0.2857142857142857,8
15,erdos,12,18,11,17,0.8888888888888888,0.90625,0.8,1.0,9,8,0.125,True,0.009083433076739311,0.13045521639287472,0.04579536896198988,0.3510428346849238,0.08333333333333333,0.05555555555555558,1
16,erdos,11,13,9,11,0.8333333333333334,0.8833333333333333,0.8333333333333334,0.8333333333333334,6,6,0.0,True,0.02064165286719799,0.16265202080830932,0.14740129513666034,0.9062370968656919,0.18181818181818182,0.15384615384615385,2
