feature,importance
f86,39.83131790161133
f87,23.45763397216797
f94,17.05027198791504
f95,16.914932250976562
f103,14.148902893066406
f102,11.33259391784668
f14,11.085235595703125
f88,10.398829460144043
f100,10.035877227783203
f97,9.797005653381348
f89,9.738779067993164
f16,7.00984525680542
f0,6.599302291870117
f105,6.32033109664917
f13,5.784223556518555
f92,5.407139778137207
f1,5.272671699523926
f104,4.806541442871094
f22,4.238785266876221
f29,3.6692960262298584
f98,3.6129655838012695
f37,3.493964910507202
f30,3.48030424118042
f90,3.463010787963867
f93,3.461369752883911
f96,3.4210751056671143
f91,3.4143526554107666
f35,3.3967015743255615
f99,3.315605878829956
f21,3.236237049102783
f33,3.2001848220825195
f34,3.1810452938079834
f101,2.828892230987549
