graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.011494677979499102,0.40296950517222285,0.3767244410701096,0.9348708431649275,0.0,0.0,0
1,synthetic:small,42,185,41,183,0.8135593220338984,0.854320987654321,0.75,0.8888888888888888,28,27,0.037037037037037035,True,0.1204286371357739,0.4371687611564994,0.23156598675996065,0.52969472509282,0.023809523809523808,0.010810810810810811,2
2,synthetic:small,21,63,21,63,0.7878787878787878,0.7959183673469388,0.6842105263157895,0.9285714285714286,14,14,0.0,True,0.024150933604687452,0.29426254937425256,0.30302513390779495,1.0297781166926474,0.0,0.0,0
3,erdos,7,8,4,4,0.8,0.9583333333333333,1.0,0.6666666666666666,3,3,0.0,True,0.004827774129807949,0.14458988094702363,0.27239122707396746,1.8838885908881067,0.42857142857142855,0.5,2
4,erdos,31,51,25,43,0.8888888888888888,0.9604166666666667,0.8,1.0,17,16,0.0625,True,0.01968258060514927,0.28209690609946847,0.24780770111829042,0.8784488442099838,0.1935483870967742,0.1568627450980392,7
5,synthetic:small,33,62,18,30,0.896551724137931,0.9736842105263157,0.8666666666666667,0.9285714285714286,14,14,0.0,True,0.030271675903350115,0.24823093321174383,0.24412850057706237,0.9834733222745369,0.45454545454545453,0.5161290322580645,11
6,erdos,5,6,5,6,0.75,0.6666666666666666,0.6,1.0,3,3,0.0,True,0.0034623080864548683,0.22932224487885833,0.24405634216964245,1.064250623826605,0.0,0.0,0
7,erdos,18,33,17,30,0.7692307692307693,0.8311688311688311,0.6666666666666666,0.9090909090909091,12,11,0.09090909090909091,True,0.01140685798600316,0.2510651769116521,0.24014865094795823,0.9565191553126648,0.05555555555555555,0.09090909090909094,3
8,synthetic:small,25,75,25,75,0.8648648648648649,0.875,0.7619047619047619,1.0,16,16,0.0,True,0.028547067195177078,0.194718767888844,0.19108333997428417,0.9813298535422372,0.0,0.0,0
9,erdos,31,29,31,29,0.7567567567567568,0.7958333333333334,0.6363636363636364,0.9333333333333333,15,15,0.0,True,0.023439339827746153,0.19880144018679857,0.08710297709330916,0.4381405738885248,0.0,0.0,0
10,synthetic:small,50,390,49,385,0.8863636363636364,0.7668997668997669,0.7959183673469388,1.0,39,39,0.0,True,0.3952294969931245,1.006602011155337,0.707711067982018,0.7030693959867375,0.02,0.012820512820512775,5
11,erdos,13,30,13,30,0.7777777777777778,0.875,0.7,0.875,8,8,0.0,True,0.011919471900910139,0.0724333617836237,0.02548852004110813,0.35188923188804383,0.0,0.0,0
12,erdos,23,45,19,40,0.8888888888888888,0.8307692307692308,0.8571428571428571,0.9230769230769231,14,13,0.07692307692307693,True,0.03336561098694801,0.036237325984984636,0.05732958298176527,1.582058869507106,0.17391304347826086,0.11111111111111116,5
13,synthetic:small,21,20,6,3,1.0,1.0,1.0,1.0,5,5,0.0,True,0.015977761708199978,0.05888409214094281,0.03759327298030257,0.6384283363038133,0.7142857142857143,0.85,4
14,synthetic:small,36,144,36,144,0.8070175438596491,0.8218181818181819,0.71875,0.92,25,25,0.0,True,0.10314067779108882,0.09651285503059626,0.09129250794649124,0.945910344456704,0.0,0.0,0
15,synthetic:small,36,106,35,104,0.7857142857142857,0.8093645484949833,0.6666666666666666,0.9565217391304348,24,23,0.043478260869565216,True,0.05269933119416237,0.06769693735986948,0.02609996497631073,0.38554129616774513,0.027777777777777776,0.018867924528301883,2
16,erdos,32,66,31,64,0.7916666666666666,0.8166666666666665,0.6785714285714286,0.95,21,20,0.05,True,0.02713581919670105,0.015540739055722952,0.013578529935330153,0.8737377216516478,0.03125,0.030303030303030276,2
