feature,importance
f86,86.91122436523438
f14,45.789981842041016
f94,27.322933197021484
f88,19.117399215698242
f105,18.093595504760742
f16,16.596065521240234
f89,14.54293441772461
f100,12.902212142944336
f92,12.325709342956543
f102,11.006317138671875
f103,10.206015586853027
f1,9.641904830932617
f97,9.397750854492188
f0,8.696758270263672
f13,7.825224876403809
f37,7.011356830596924
f22,6.164780139923096
f104,5.278621196746826
f93,5.150951862335205
f95,4.957664966583252
f91,4.873598098754883
f96,4.627162456512451
f30,4.406550407409668
f87,4.34672212600708
f29,4.3049516677856445
f98,4.180333614349365
f99,4.143399238586426
f35,4.005707740783691
f34,3.890890121459961
f21,3.843245267868042
f33,3.749936580657959
f101,3.6179754734039307
f90,3.529034376144409
