graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,7,6,7,6,1.0,1.0,1.0,1.0,3,3,0.0,True,0.005509932991117239,0.12240267498418689,0.2213478721678257,1.8083581277649485,0.0,0.0,0
1,synthetic:small,21,84,21,84,0.8888888888888888,0.6,0.8,1.0,16,16,0.0,True,0.04704103898257017,0.025857773143798113,0.10340240318328142,3.998890492551254,0.0,0.0,0
2,synthetic:small,48,356,48,356,0.8780487804878049,0.8304668304668305,0.8,0.972972972972973,37,37,0.0,True,0.34896647930145264,1.8795813922770321,1.3240924500860274,0.7044613526855287,0.0,0.0,0
3,synthetic:medium,75,225,71,211,0.8148148148148148,0.8092621664050236,0.7457627118644068,0.8979591836734694,50,49,0.02040816326530612,True,0.1076715080998838,0.2912350259721279,0.1041641877964139,0.35766366853958953,0.05333333333333334,0.06222222222222218,10
4,erdos,5,4,3,2,1.0,1.0,1.0,1.0,3,2,0.5,True,0.005556692834943533,0.03263357328251004,0.008748131804168224,0.2680715264747543,0.4,0.5,2
5,synthetic:small,42,219,39,201,0.9032258064516129,0.9416445623342176,0.8484848484848485,0.9655172413793104,31,29,0.06896551724137931,True,0.16833291668444872,0.0852000149898231,0.056544824969023466,0.6636715378016962,0.07142857142857142,0.0821917808219178,15
6,synthetic:small,31,184,30,177,0.9056603773584906,0.8690476190476191,0.8275862068965517,1.0,24,24,0.0,True,0.11679383227601647,0.040842361748218536,0.04550165915861726,1.1140800191507523,0.03225806451612903,0.03804347826086951,7
7,synthetic:small,32,128,32,128,0.8518518518518519,0.7922705314009661,0.7419354838709677,1.0,23,23,0.0,True,0.061472673900425434,0.03803657600656152,0.01831833878532052,0.481597996154031,0.0,0.0,0
8,synthetic:medium,106,318,106,318,0.7885714285714286,0.47375636506071284,0.6509433962264151,1.0,69,69,0.0,True,0.18608780205249786,3.8595576900988817,3.1119057070463896,0.8062855790521071,0.0,0.0,0
9,synthetic:small,34,102,34,102,0.84,0.7651515151515151,0.75,0.9545454545454546,22,22,0.0,True,0.04116418398916721,0.18874159920960665,0.15286119608208537,0.8098966879703379,0.0,0.0,0
10,erdos,20,188,20,188,0.9473684210526315,0.9444444444444444,0.9,1.0,18,18,0.0,True,0.08152964292094111,0.07906384905800223,0.1481969589367509,1.8743959559574659,0.0,0.0,0
11,erdos,32,66,31,64,0.8444444444444444,0.8124999999999999,0.76,0.95,22,20,0.1,True,0.056579485069960356,0.12870154296979308,0.06413087993860245,0.49829146146021186,0.03125,0.030303030303030276,2
12,erdos,22,24,21,23,0.6363636363636364,0.5619834710743802,0.6363636363636364,0.6363636363636364,11,11,0.0,True,0.03379278024658561,0.11340461205691099,0.017334932927042246,0.15285915283888876,0.045454545454545456,0.04166666666666663,1
13,synthetic:medium,88,172,61,117,0.8048780487804879,0.9475357710651828,0.7333333333333333,0.8918918918918919,43,37,0.16216216216216217,True,0.10313752200454473,0.1799171371385455,0.12878616293892264,0.7158082047501158,0.3068181818181818,0.31976744186046513,17
14,erdos,26,28,25,27,0.6666666666666666,0.7928994082840236,0.6428571428571429,0.6923076923076923,13,13,0.0,True,0.022217930760234594,0.04610462300479412,0.012847056146711111,0.2786500639073706,0.038461538461538464,0.0357142857142857,1
15,erdos,12,11,12,11,0.46153846153846156,0.375,0.42857142857142855,0.5,6,6,0.0,True,0.009341755416244268,0.10552224516868591,0.10796409007161856,1.0231405700194225,0.0,0.0,0
16,synthetic:small,49,138,43,121,0.8571428571428571,0.8637931034482759,0.7941176470588235,0.9310344827586207,32,29,0.10344827586206896,True,0.1257393048144877,0.17061469098553061,0.30622860603034496,1.7948548525420676,0.12244897959183673,0.12318840579710144,13
17,synthetic:medium,58,165,48,134,0.8307692307692308,0.9261904761904762,0.7714285714285715,0.9,32,30,0.06666666666666667,True,0.09425141895189881,0.1950327856466174,0.09360726503655314,0.4799565607710769,0.1724137931034483,0.18787878787878787,14
18,synthetic:medium,127,3102,127,3102,0.9504132231404959,0.49855072463768113,0.905511811023622,1.0,115,115,0.0,True,16.999318840913475,59.84546343609691,59.896456248592585,1.0008520748201764,0.0,0.0,0
19,erdos,19,31,18,30,0.7692307692307693,0.8068181818181818,0.6666666666666666,0.9090909090909091,11,11,0.0,True,0.01974996691569686,0.35132152307778597,0.22477160161361098,0.6397888738625456,0.05263157894736842,0.032258064516129004,1
20,erdos,11,13,9,11,0.8333333333333334,0.9166666666666667,0.8333333333333334,0.8333333333333334,6,6,0.0,True,0.0105338329449296,0.08759944001212716,0.12233040481805801,1.3964747354677467,0.18181818181818182,0.15384615384615385,2
21,synthetic:medium,125,500,125,500,0.8544600938967136,0.7882081686429512,0.7520661157024794,0.9891304347826086,92,92,0.0,True,1.3587532839737833,0.8010766180232167,0.6477281991392374,0.808572094811117,0.0,0.0,0
22,erdos,31,29,31,29,0.6153846153846154,0.7937500000000001,0.7272727272727273,0.5333333333333333,15,15,0.0,True,0.08699084492400289,0.21785882208496332,0.15605591470375657,0.7163167101073186,0.0,0.0,0
23,synthetic:medium,88,722,88,722,0.8627450980392157,0.6375000000000001,0.7764705882352941,0.9705882352941176,68,68,0.0,True,2.3369239731691778,4.984739258885384,4.630580808967352,0.9289514593392747,0.0,0.0,0
24,synthetic:small,37,274,37,274,0.875,0.8060344827586207,0.8,0.9655172413793104,29,29,0.0,True,0.36299305176362395,0.4203559523448348,0.5015478730201721,1.1931504008030136,0.0,0.0,0
25,synthetic:small,25,100,22,88,0.8,0.8055555555555556,0.7368421052631579,0.875,17,16,0.0625,True,0.05413354095071554,0.3033068780787289,0.10885351477190852,0.35888904155893747,0.12,0.12,7
26,synthetic:small,44,176,44,176,0.8656716417910447,0.9333333333333333,0.7837837837837838,0.9666666666666667,30,30,0.0,True,0.10591613780707121,0.46035460801795125,0.15135679673403502,0.32878306005385516,0.0,0.0,0
27,erdos,20,18,20,18,0.9411764705882353,0.9747474747474747,1.0,0.8888888888888888,9,9,0.0,True,0.012501853983849287,0.2542346981354058,0.348709287121892,1.3716038356659281,0.0,0.0,0
28,erdos,6,8,6,8,0.8888888888888888,0.75,0.8,1.0,4,4,0.0,True,0.005102560855448246,0.10304774111136794,0.2808428849093616,2.7253667269216812,0.0,0.0,0
29,synthetic:medium,111,222,111,222,0.7528089887640449,0.5578358208955224,0.6036036036036037,1.0,67,67,0.0,True,0.08574689785018563,2.7862646570429206,2.009858074132353,0.7213449982405575,0.0,0.0,0
30,erdos,15,15,14,14,0.8571428571428571,0.9642857142857143,0.8571428571428571,0.8571428571428571,7,7,0.0,True,0.010429131332784891,0.1295377379283309,0.23125666100531816,1.7852454790685406,0.06666666666666667,0.06666666666666665,1
31,erdos,6,5,4,3,1.0,1.0,1.0,1.0,3,2,0.5,True,0.006124155595898628,0.27190761221572757,0.008470749948173761,0.031153044518125485,0.3333333333333333,0.4,1
32,synthetic:medium,148,1852,148,1852,0.9037037037037037,0.8225094577553593,0.8243243243243243,1.0,123,123,0.0,True,9.039522996172309,60.16049954481423,60.14021870493889,0.9996628877747228,0.0,0.0,0
33,synthetic:small,22,73,22,73,0.8125,0.7946428571428572,0.7222222222222222,0.9285714285714286,14,14,0.0,True,0.043835784774273634,0.12776527367532253,0.048498175106942654,0.3795880814233322,0.0,0.0,0
34,synthetic:medium,78,592,78,592,0.8823529411764706,0.826851851851852,0.7894736842105263,1.0,60,60,0.0,True,1.0770581760443747,3.770855570677668,5.995267822872847,1.589895903065687,0.0,0.0,0
35,synthetic:medium,120,464,107,413,0.7210884353741497,0.7691428571428571,0.6883116883116883,0.7571428571428571,71,70,0.014285714285714285,True,0.6199435698799789,2.056906999088824,0.28789887111634016,0.13996688778047556,0.10833333333333334,0.10991379310344829,32
36,synthetic:medium,86,86,86,86,0.676923076923077,0.512987012987013,0.5116279069767442,1.0,44,44,0.0,True,0.05455677304416895,0.16613501496613026,0.283088190946728,1.703964639871016,0.0,0.0,0
37,synthetic:medium,96,279,81,232,0.851063829787234,0.9097222222222222,0.8695652173913043,0.8333333333333334,51,48,0.0625,True,1.0661200671456754,0.45245961705222726,0.1904816678725183,0.42099153315273896,0.15625,0.1684587813620072,22
38,synthetic:small,31,93,31,93,0.8260869565217391,0.7761904761904761,0.76,0.9047619047619048,21,21,0.0,True,0.2029377962462604,0.3567885737866163,0.18840375589206815,0.5280543429194745,0.0,0.0,0
