feature,importance
f86,93.36102294921875
f14,38.24504852294922
f88,18.684003829956055
f94,18.550992965698242
f100,14.154714584350586
f16,13.412452697753906
f89,12.873610496520996
f92,11.800857543945312
f105,9.676116943359375
f102,8.125301361083984
f103,8.051284790039062
f97,7.718677520751953
f1,7.7024006843566895
f13,7.239439964294434
f0,6.44840145111084
f22,5.562994003295898
f93,4.993861675262451
f104,4.704433441162109
f95,4.4301676750183105
f91,4.222795486450195
f96,4.098328113555908
f29,3.972691059112549
f87,3.915013551712036
f30,3.763165235519409
f98,3.728159189224243
f101,3.580091953277588
f99,3.577183485031128
f35,3.558868169784546
f34,3.4387826919555664
f21,3.398024320602417
f90,3.1851203441619873
f33,3.1611149311065674
f37,3.1539833545684814
