feature,importance
f86,133.1339874267578
f16,56.440616607666016
f105,54.34659957885742
f14,30.686595916748047
f94,27.966405868530273
f88,27.92293930053711
f89,23.051376342773438
f100,18.340587615966797
f92,16.220991134643555
f13,15.359756469726562
f97,11.412022590637207
f1,11.108795166015625
f103,9.66975212097168
f0,8.611340522766113
f102,8.541999816894531
f22,6.998549461364746
f91,5.846262454986572
f104,5.643902778625488
f96,5.447938442230225
f101,5.256964206695557
f35,5.041534423828125
f95,4.987951278686523
f87,4.882863998413086
f99,4.863450527191162
f29,4.842573642730713
f93,4.774740695953369
f30,4.721959590911865
f98,4.59874963760376
f33,4.268401145935059
f34,4.249855995178223
f37,4.174009323120117
f90,4.0364179611206055
f21,4.0259857177734375
