feature,importance
f86,195.89569091796875
f16,110.69776916503906
f105,75.34500885009766
f94,30.715526580810547
f88,23.413827896118164
f89,22.01044464111328
f14,20.726566314697266
f1,19.041364669799805
f92,17.439199447631836
f100,16.07936668395996
f13,15.95163345336914
f0,13.436089515686035
f97,10.377500534057617
f103,7.464914321899414
f37,6.8479766845703125
f22,6.311841011047363
f104,5.89127254486084
f93,5.697587490081787
f91,5.660558700561523
f96,5.351969242095947
f95,5.17518424987793
f98,5.120109558105469
f102,4.969677925109863
f35,4.895974159240723
f34,4.7936015129089355
f30,4.751636028289795
f29,4.675240516662598
f87,4.621558666229248
f101,4.5934576988220215
f33,4.376108169555664
f99,4.140568256378174
f21,3.7348084449768066
f90,3.6805238723754883
