feature,importance
f86,122.68560791015625
f14,74.50439453125
f88,26.190746307373047
f94,23.184715270996094
f100,18.724563598632812
f92,17.50519561767578
f16,16.172861099243164
f89,15.235298156738281
f105,11.766308784484863
f1,8.407288551330566
f102,8.263978004455566
f13,7.95503044128418
f97,7.719056606292725
f22,7.382768630981445
f103,6.775009632110596
f0,6.436610698699951
f93,6.0034284591674805
f29,4.868393898010254
f104,4.4799089431762695
f96,4.417808532714844
f87,4.30377197265625
f95,4.248817443847656
f101,4.169760704040527
f91,4.158447265625
f35,4.009533882141113
f99,4.000715732574463
f30,3.8560187816619873
f34,3.7568166255950928
f98,3.74832820892334
f37,3.7266554832458496
f21,3.6312057971954346
f33,3.409071922302246
f90,3.3431036472320557
