graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.011481753084808588,0.018365057185292244,0.013152534142136574,0.7161716954886398,0.0,0.0,0
1,synthetic:small,50,390,49,385,0.896551724137931,0.7995337995337995,0.8125,1.0,39,39,0.0,True,0.35725420992821455,0.48362964298576117,0.4796331780962646,0.9917365179172563,0.02,0.012820512820512775,5
2,synthetic:small,47,210,46,205,0.9180327868852459,0.9578544061302683,0.875,0.9655172413793104,30,29,0.034482758620689655,True,0.13953731674700975,0.028601450845599174,0.022222241386771202,0.7769620326862012,0.02127659574468085,0.023809523809523836,5
3,synthetic:medium,137,274,137,274,0.7488584474885844,0.4419068736141907,0.5985401459854015,1.0,82,82,0.0,True,0.0984934656880796,7.425939564127475,7.42487405706197,0.9998565155215305,0.0,0.0,0
4,synthetic:large,335,9602,335,9602,0.9547581903276131,0.5987153482082488,0.9134328358208955,1.0,310,310,0.0,True,140.34214563015848,57.59224318899214,60.56836012285203,1.0516756557665863,0.0,0.0,0
5,synthetic:medium,93,270,73,209,0.8,0.8680555555555556,0.7692307692307693,0.8333333333333334,50,48,0.041666666666666664,True,0.17158073792234063,0.05893471138551831,0.025657350663095713,0.43535210506520516,0.21505376344086022,0.22592592592592597,24
6,synthetic:small,50,141,41,114,0.896551724137931,0.9631410256410255,0.8125,1.0,28,26,0.07692307692307693,True,0.07169518992304802,0.026487097144126892,0.018817537929862738,0.71044168515217,0.18,0.19148936170212771,13
7,synthetic:small,45,200,40,175,0.9310344827586207,0.9810924369747899,0.9,0.9642857142857143,29,28,0.03571428571428571,True,0.13297397643327713,0.04771116003394127,0.023822570219635963,0.49930813257713313,0.1111111111111111,0.125,15
8,erdos,27,42,25,40,0.8108108108108109,0.8058823529411765,0.75,0.8823529411764706,17,17,0.0,True,0.013491314835846424,0.011885634623467922,0.010487355757504702,0.8823555569172259,0.07407407407407407,0.04761904761904767,2
9,synthetic:small,43,86,43,86,0.8135593220338984,0.8009049773755657,0.7272727272727273,0.9230769230769231,26,26,0.0,True,0.02992065902799368,0.01662800507619977,0.014971144031733274,0.9003571963760092,0.0,0.0,0
10,synthetic:medium,120,464,107,413,0.7586206896551724,0.7808571428571428,0.7333333333333333,0.7857142857142857,71,70,0.014285714285714285,True,0.40347956772893667,0.7473095790483057,0.11577299702912569,0.15491972841638388,0.10833333333333334,0.10991379310344829,32
11,erdos,24,44,21,40,0.9333333333333333,0.9642857142857143,0.875,1.0,14,14,0.0,True,0.01504231384024024,0.013230972923338413,0.012477708049118519,0.9430680662272997,0.125,0.09090909090909094,4
12,synthetic:small,45,44,17,13,0.9629629629629629,0.9976958525345622,1.0,0.9285714285714286,14,14,0.0,True,0.023745039012283087,0.010628457181155682,0.009630180895328522,0.9060751462971399,0.6222222222222222,0.7045454545454546,12
13,synthetic:small,33,66,33,66,0.6976744186046512,0.6346153846153846,0.6521739130434783,0.75,20,20,0.0,True,0.022068068850785494,0.013059202115982771,0.012072334997355938,0.9244312853218624,0.0,0.0,0
14,synthetic:small,45,180,45,180,0.88,0.8449197860962566,0.8048780487804879,0.9705882352941176,34,34,0.0,True,0.06868503196164966,0.024716415908187628,0.023443337064236403,0.9484925788318078,0.0,0.0,0
15,synthetic:small,45,280,45,280,0.8918918918918919,0.8308080808080809,0.8048780487804879,1.0,33,33,0.0,True,0.19615699304267764,0.07768996758386493,0.07500747172161937,0.9654717855384628,0.0,0.0,0
16,erdos,6,14,6,14,1.0,1.0,1.0,1.0,4,4,0.0,True,0.0041845859959721565,0.010660327039659023,0.00845077307894826,0.792731127995353,0.0,0.0,0
17,erdos,34,36,30,30,0.7096774193548387,0.856140350877193,0.6875,0.7333333333333333,16,15,0.06666666666666667,True,0.015677448827773333,0.010492485947906971,0.009043237194418907,0.8618774653896812,0.11764705882352941,0.16666666666666663,4
18,synthetic:large,188,564,187,560,0.8675496688741722,0.8633658008658008,0.7705882352941177,0.9924242424242424,132,132,0.0,True,0.19941024389117956,0.066493668127805,0.1644445937126875,2.4730865109834923,0.005319148936170213,0.007092198581560294,4
19,synthetic:large,204,7313,204,7313,0.9618320610687023,0.6578483245149912,0.9264705882352942,1.0,191,191,0.0,True,79.55140981916338,59.64040561905131,59.97366219898686,1.0055877651480811,0.0,0.0,0
20,erdos,32,66,31,64,0.8372093023255814,0.8125,0.782608695652174,0.9,22,20,0.1,True,0.022668002638965845,0.02109648333862424,0.012103516142815351,0.5737219776651484,0.03125,0.030303030303030276,2
21,synthetic:large,191,930,164,796,0.8412017167381974,0.890347923681257,0.7967479674796748,0.8909090909090909,118,110,0.07272727272727272,True,1.4339845506474376,4.680853988043964,0.523594334255904,0.11185871971082431,0.14136125654450263,0.1440860215053763,59
22,synthetic:medium,109,109,106,106,0.576271186440678,0.6148921832884097,0.5230769230769231,0.6415094339622641,54,53,0.018867924528301886,True,0.058163425885140896,0.01648051291704178,0.013692537322640419,0.8308319887593768,0.027522935779816515,0.02752293577981646,2
23,erdos,22,40,21,39,0.8461538461538461,0.8632478632478633,0.8461538461538461,0.8461538461538461,13,13,0.0,True,0.0142167704179883,0.011893514078110456,0.010362195782363415,0.8712476156592464,0.045454545454545456,0.025000000000000022,1
24,synthetic:medium,106,318,106,318,0.7885714285714286,0.46180963572267913,0.6509433962264151,1.0,69,69,0.0,True,0.12267207074910402,2.207968480885029,2.1953489216975868,0.9942845383452287,0.0,0.0,0
25,synthetic:small,24,23,9,6,0.7692307692307693,0.9411764705882353,0.8333333333333334,0.7142857142857143,7,7,0.0,True,0.013451974373310804,0.01200404530391097,0.008353893179446459,0.695923163229376,0.625,0.7391304347826086,6
26,erdos,13,12,11,10,0.8333333333333334,0.761904761904762,0.8333333333333334,0.8333333333333334,6,6,0.0,True,0.007002593949437141,0.010836998000741005,0.00766272796317935,0.7070895429394186,0.15384615384615385,0.16666666666666663,2
27,synthetic:medium,90,176,56,104,0.8767123287671232,0.9501050420168068,0.8205128205128205,0.9411764705882353,37,34,0.08823529411764706,True,0.11882230686023831,0.022965874057263136,0.018255434930324554,0.794893975504979,0.37777777777777777,0.40909090909090906,21
28,synthetic:large,424,29691,424,29691,0.9819927971188476,0.5621841890790545,0.964622641509434,1.0,409,409,0.0,True,1248.0992685649544,42.025786271784455,42.250896856188774,1.005356487156445,0.0,0.0,0
29,synthetic:medium,136,340,136,340,0.7692307692307693,0.5327566320645906,0.625,1.0,85,85,0.0,True,0.13368477206677198,5.595666867215186,5.680863304063678,1.0152254304750796,0.0,0.0,0
30,erdos,25,23,25,23,0.5217391304347826,0.5897435897435898,0.5454545454545454,0.5,12,12,0.0,True,0.012210974004119635,0.015254104975610971,0.008426581043750048,0.5524139932970756,0.0,0.0,0
31,synthetic:medium,124,2866,124,2866,0.9401709401709402,0.8175324675324676,0.8870967741935484,1.0,110,110,0.0,True,13.213787900283933,59.95758944423869,59.97096982970834,1.0002231641664328,0.0,0.0,0
32,synthetic:medium,148,1852,148,1852,0.9037037037037037,0.8064312736443884,0.8243243243243243,1.0,123,123,0.0,True,5.942488550208509,59.973009801935405,59.966785591095686,0.9998962164670362,0.0,0.0,0
33,synthetic:medium,131,925,129,913,0.8623853211009175,0.7828987265009096,0.7768595041322314,0.9690721649484536,100,97,0.030927835051546393,True,1.4857673957012594,17.27122438000515,16.46647452097386,0.9534051644906573,0.015267175572519083,0.012972972972972951,11
34,synthetic:small,32,128,32,128,0.8461538461538461,0.7971014492753623,0.7586206896551724,0.9565217391304348,23,23,0.0,True,0.05181193724274635,0.023586309980601072,0.017100061755627394,0.724999449667693,0.0,0.0,0
35,synthetic:small,31,93,31,93,0.8260869565217391,0.7666666666666666,0.76,0.9047619047619048,21,21,0.0,True,0.03331772796809673,0.02552112191915512,0.02378902118653059,0.9321306979328176,0.0,0.0,0
