graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,15,13,13,0.8571428571428571,0.9642857142857143,0.8571428571428571,0.8571428571428571,9,7,0.2857142857142857,True,0.01433171285316348,0.2377586690708995,0.37183098681271076,1.5639008590758514,0.13333333333333333,0.1333333333333333,2
1,tudataset:MUTAG,20,23,17,20,0.8181818181818182,1.0,0.6923076923076923,1.0,10,9,0.1111111111111111,True,0.011176377069205046,0.2784054377116263,0.047739454079419374,0.17147457489270784,0.15,0.13043478260869568,2
2,erdos,25,27,25,27,0.6153846153846154,0.5576923076923077,0.5714285714285714,0.6666666666666666,12,12,0.0,True,0.01204643165692687,0.2802857458591461,0.1622244818136096,0.5787824896922634,0.0,0.0,0
3,erdos,18,33,18,33,0.8,0.8831168831168831,0.7142857142857143,0.9090909090909091,11,11,0.0,True,0.011590068694204092,0.23778431909158826,0.19769708439707756,0.8314134639001567,0.0,0.0,0
4,tudataset:MUTAG,19,22,17,20,0.3333333333333333,0.3555555555555555,0.3333333333333333,0.3333333333333333,9,9,0.0,True,0.01197911100462079,0.1337999957613647,0.04386687511578202,0.3278540844950368,0.10526315789473684,0.09090909090909094,1
5,erdos,6,6,5,5,0.75,0.9444444444444444,0.6,1.0,3,3,0.0,True,0.005595738068223,0.07772158784791827,0.05968280602246523,0.767905130029633,0.16666666666666666,0.16666666666666663,1
6,erdos,7,12,6,10,0.6666666666666666,0.8333333333333334,1.0,0.5,4,4,0.0,True,0.006037121172994375,0.05454140994697809,0.020750756841152906,0.38045875347420527,0.14285714285714285,0.16666666666666663,2
7,tudataset:MUTAG,20,22,16,18,0.72,0.6868686868686869,0.5625,1.0,9,9,0.0,True,0.017057967837899923,0.06251620082184672,0.030799678061157465,0.492667143176658,0.2,0.18181818181818177,2
8,erdos,16,35,15,32,0.9166666666666666,0.9818181818181819,0.8461538461538461,1.0,11,11,0.0,True,0.04752268409356475,0.032697537913918495,0.09067087527364492,2.773018430695012,0.0625,0.08571428571428574,3
9,erdos,28,179,28,179,0.92,0.8799999999999999,0.92,0.92,25,25,0.0,True,0.08053825376555324,0.19501981977373362,0.15118752513080835,0.775241846219628,0.0,0.0,0
