feature,importance
f86,88.43603515625
f14,28.749759674072266
f16,18.960514068603516
f94,17.661970138549805
f13,16.813854217529297
f88,14.812783241271973
f105,14.293753623962402
f1,12.174040794372559
f100,11.690443992614746
f89,9.667445182800293
f0,8.549478530883789
f102,5.672638416290283
f92,5.2330322265625
f97,5.139749526977539
f91,4.759881496429443
f35,4.708024024963379
f104,4.219264507293701
f30,4.1067047119140625
f93,4.056231498718262
f34,3.985243320465088
f99,3.974484920501709
f96,3.9573984146118164
f101,3.9485373497009277
f95,3.946887493133545
f87,3.7630016803741455
f22,3.747360944747925
f33,3.7125985622406006
f29,3.6897919178009033
f98,3.6268362998962402
f37,3.466740608215332
f103,3.421058416366577
f21,3.3739123344421387
f90,3.362684965133667
