graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:MUTAG,23,27,21,25,0.7333333333333333,0.8181818181818182,0.5789473684210527,1.0,11,11,0.0,True,0.01920353388413787,0.27610717713832855,0.009339014999568462,0.033823876280078206,0.08695652173913043,0.07407407407407407,1
1,tudataset:NCI1,22,24,19,21,0.8,0.8500000000000001,0.6666666666666666,1.0,10,10,0.0,True,0.013412200380116701,0.02414765302091837,0.10785816004499793,4.466610479766449,0.13636363636363635,0.125,3
2,erdos,5,4,3,2,1.0,1.0,1.0,1.0,3,2,0.5,True,0.03383905114606023,0.18905512103810906,0.20009875483810902,1.058414888416452,0.4,0.5,2
3,tudataset:PROTEINS,38,64,38,64,0.7868852459016393,0.66,0.6666666666666666,0.96,25,25,0.0,True,0.12289549922570586,0.16296405624598265,0.24775275867432356,1.520290819837955,0.0,0.0,0
4,tudataset:MUTAG,17,19,14,16,0.8421052631578947,0.9583333333333334,0.7272727272727273,1.0,9,8,0.125,True,0.023453749250620604,0.39913814701139927,0.23280127998441458,0.5832599107039644,0.17647058823529413,0.1578947368421053,2
5,tudataset:NCI1,29,29,21,21,0.6153846153846154,0.75,0.6153846153846154,0.6153846153846154,15,13,0.15384615384615385,True,0.020014018286019564,0.3786599040031433,0.011536418925970793,0.030466439155583336,0.27586206896551724,0.27586206896551724,6
6,erdos,26,51,24,49,0.8108108108108109,0.875,0.7142857142857143,0.9375,17,16,0.0625,True,0.01816259790211916,0.2715197089128196,0.28999628918245435,1.0680487628084754,0.07692307692307693,0.039215686274509776,2
7,erdos,5,6,5,6,0.75,1.0,0.6,1.0,3,3,0.0,True,0.004471366293728352,0.12894109403714538,0.28667893866077065,2.223332606268907,0.0,0.0,0
8,erdos,6,6,6,6,0.8571428571428571,0.9444444444444444,0.75,1.0,3,3,0.0,True,0.004617346916347742,0.222494229208678,0.20794010162353516,0.9345864940546728,0.0,0.0,0
9,tudataset:NCI1,37,39,32,34,0.6666666666666666,0.7648809523809523,0.6470588235294118,0.6875,16,16,0.0,True,0.02513356925919652,0.38217812590301037,0.1531174681149423,0.40064424868157067,0.13513513513513514,0.1282051282051282,2
10,tudataset:NCI1,63,69,63,69,0.6842105263157895,0.7555780933062881,0.5531914893617021,0.896551724137931,29,29,0.0,True,0.03824751591309905,0.16378584131598473,0.21155784418806434,1.291673581112028,0.0,0.0,0
11,erdos,13,23,12,21,0.8421052631578947,0.9500000000000001,0.7272727272727273,1.0,9,8,0.125,True,0.014676416292786598,0.1677840850315988,0.18791295401751995,1.1199688813282278,0.07692307692307693,0.08695652173913049,2
12,erdos,25,54,23,50,0.9629629629629629,0.9807692307692307,0.9285714285714286,1.0,13,13,0.0,True,0.06271180184558034,0.13983402820304036,0.26617558812722564,1.903510837438911,0.08,0.07407407407407407,4
13,tudataset:NCI1,25,27,20,22,0.64,0.75,0.6153846153846154,0.6666666666666666,14,12,0.16666666666666666,True,0.03628022503107786,0.3583202939480543,0.19401053106412292,0.5414444404654586,0.2,0.18518518518518523,5
14,tudataset:PROTEINS,43,96,42,94,0.8727272727272727,0.8194444444444444,0.8571428571428571,0.8888888888888888,28,27,0.037037037037037035,True,0.08558469731360674,0.11403196584433317,0.12096900679171085,1.0608341783465134,0.023255813953488372,0.02083333333333337,2
15,tudataset:PROTEINS,19,36,19,36,0.8275862068965517,0.875,0.7058823529411765,1.0,12,12,0.0,True,0.014697317034006119,0.13109713699668646,0.19198672845959663,1.4644616416333271,0.0,0.0,0
16,erdos,6,5,2,0,1.0,1.0,1.0,1.0,2,2,0.0,True,0.006184127181768417,0.00015760120004415512,0.16712233098223805,1060.4128073607017,0.6666666666666666,1.0,2
17,erdos,24,25,24,25,0.7333333333333333,0.8125000000000001,0.6111111111111112,0.9166666666666666,12,12,0.0,True,0.031427516136318445,0.27632905822247267,0.16308495635166764,0.5901838822190313,0.0,0.0,0
18,tudataset:NCI1,28,30,23,25,0.6451612903225806,0.6205128205128205,0.5555555555555556,0.7692307692307693,13,13,0.0,True,0.06353171681985259,0.10904189711436629,0.02072128327563405,0.19003047290988498,0.17857142857142858,0.16666666666666663,3
19,tudataset:NCI1,23,27,22,26,0.625,0.3712121212121212,0.5,0.8333333333333334,12,12,0.0,True,0.023397949058562517,0.19525726698338985,0.10736249666661024,0.5498514771065773,0.043478260869565216,0.03703703703703709,1
20,tudataset:PROTEINS,32,57,32,57,0.84,0.6645021645021645,0.7241379310344828,1.0,21,21,0.0,True,0.15837262896820903,0.17797621618956327,0.16474906587973237,0.9256802364213508,0.0,0.0,0
21,tudataset:PROTEINS,72,117,64,106,0.7764705882352941,0.8308880308880309,0.6875,0.8918918918918919,37,37,0.0,True,0.3106502122245729,0.22980966186150908,0.07175544509664178,0.31223859134296966,0.1111111111111111,0.09401709401709402,9
22,tudataset:NCI1,25,27,21,23,0.6666666666666666,0.8311688311688311,0.7,0.6363636363636364,13,11,0.18181818181818182,True,0.017471812665462494,0.2044518911279738,0.2597652398981154,1.2705445690180435,0.16,0.14814814814814814,3
23,tudataset:PROTEINS,136,256,135,254,0.8064516129032258,0.836451683909311,0.6880733944954128,0.974025974025974,77,77,0.0,True,0.15790624590590596,0.42477397806942463,0.5719504207372665,1.3464817768187003,0.007352941176470588,0.0078125,2
24,tudataset:NCI1,13,13,12,12,0.6666666666666666,0.6428571428571429,0.5555555555555556,0.8333333333333334,7,6,0.16666666666666666,True,0.009747596923261881,0.20154018513858318,0.2560623879544437,1.2705277003609474,0.07692307692307693,0.07692307692307687,1
25,erdos,22,24,21,23,0.6086956521739131,0.5867768595041323,0.5833333333333334,0.6363636363636364,11,11,0.0,True,0.014889017678797245,0.0691267498768866,0.30979883717373013,4.481605713062972,0.045454545454545456,0.04166666666666663,1
26,tudataset:PROTEINS,36,71,36,71,0.8235294117647058,0.8636363636363636,0.7241379310344828,0.9545454545454546,22,22,0.0,True,0.04299407498911023,0.2625564159825444,0.24035668605938554,0.9154477720908759,0.0,0.0,0
27,tudataset:PROTEINS,154,281,150,274,0.7586206896551724,0.7875445443746818,0.7252747252747253,0.7951807228915663,83,83,0.0,True,0.1828801240772009,0.6027874141000211,0.32935373205691576,0.5463845534144908,0.025974025974025976,0.02491103202846978,6
28,tudataset:NCI1,18,20,16,18,0.6,0.45679012345679015,0.5454545454545454,0.6666666666666666,9,9,0.0,True,0.04569663107395172,0.23131742095574737,0.08536219596862793,0.3690262307781752,0.1111111111111111,0.09999999999999998,2
29,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.014022842980921268,0.1582467476837337,0.15705354092642665,0.9924598339316789,0.0,0.0,0
30,tudataset:PROTEINS,12,24,12,24,0.8421052631578947,0.78125,0.7272727272727273,1.0,8,8,0.0,True,0.009964459110051394,0.01146981818601489,0.02620475459843874,2.284670443197618,0.0,0.0,0
