graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:NCI1,15,12,4,1,1.0,1.0,1.0,1.0,4,4,0.0,True,0.00827337196096778,0.014489669818431139,0.007579157128930092,0.5230731427219452,0.7333333333333333,0.9166666666666666,4
1,erdos,25,44,25,44,0.8484848484848485,0.84,0.7777777777777778,0.9333333333333333,15,15,0.0,True,0.015267115086317062,0.019971005152910948,0.011026568710803986,0.5521288801628879,0.0,0.0,0
2,tudataset:COLLAB,54,294,53,290,0.9052631578947369,0.7864693446088796,0.8269230769230769,1.0,43,43,0.0,True,0.2943666069768369,0.05326496297493577,0.051923113875091076,0.9748080346835853,0.018518518518518517,0.013605442176870763,4
3,erdos,17,36,14,31,0.9090909090909091,0.9142857142857143,0.8333333333333334,1.0,10,10,0.0,True,0.012001014780253172,0.01162191154435277,0.01054695574566722,0.9075061107991409,0.17647058823529413,0.13888888888888884,4
4,tudataset:COLLAB,53,1254,53,1254,0.9807692307692307,0.9166666666666666,0.9622641509433962,1.0,51,51,0.0,True,2.4964713221415877,2.036675584036857,1.9984741848893464,0.9812432576661069,0.0,0.0,0
5,tudataset:NCI1,34,37,29,32,0.8108108108108109,0.8975694444444445,0.7142857142857143,0.9375,16,16,0.0,True,0.01766615128144622,0.01902816817164421,0.009299167897552252,0.4887053663636355,0.14705882352941177,0.1351351351351351,3
6,erdos,15,15,12,11,0.8333333333333334,0.9642857142857143,1.0,0.7142857142857143,8,7,0.14285714285714285,True,0.007913338951766491,0.009194678161293268,0.008019359782338142,0.8721740600010504,0.2,0.2666666666666667,4
7,tudataset:COLLAB,189,3611,188,3603,0.9497206703910615,0.7964587394411955,0.9090909090909091,0.9941520467836257,171,171,0.0,True,24.267127736937255,3.463447633665055,3.8301369100809097,1.1058740639966946,0.005291005291005291,0.002215452783162597,8
8,tudataset:COLLAB,419,9857,408,9764,0.9430463576158941,0.8699085005903188,0.9081632653061225,0.9807162534435262,363,363,0.0,True,237.66992997610942,48.62791823875159,30.473607541061938,0.6266689721621174,0.026252983293556086,0.009434919346657189,54
9,tudataset:COLLAB,77,464,72,449,0.88,0.8248638838475499,0.8208955223880597,0.9482758620689655,59,58,0.017241379310344827,True,0.7064597471617162,0.08647763915359974,0.08304450893774629,0.9603003707148434,0.06493506493506493,0.032327586206896575,10
10,tudataset:PROTEINS,30,59,28,55,0.7058823529411765,0.755656108597285,0.7058823529411765,0.7058823529411765,18,17,0.058823529411764705,True,0.01973663317039609,0.0165257528424263,0.012685539200901985,0.7676224691158762,0.06666666666666667,0.06779661016949157,2
11,tudataset:PROTEINS,54,112,51,104,0.8253968253968254,0.8541666666666666,0.7878787878787878,0.8666666666666667,33,30,0.1,True,0.04115726565942168,0.016784294974058867,0.015907329972833395,0.9477508586103335,0.05555555555555555,0.0714285714285714,6
12,tudataset:NCI1,22,24,19,21,0.7619047619047619,0.8583333333333334,0.7272727272727273,0.8,10,10,0.0,True,0.011860203929245472,0.010372784920036793,0.007967290002852678,0.7680955562341322,0.13636363636363635,0.125,3
