feature,importance
f86,49.14573287963867
f14,27.13861846923828
f90,11.628158569335938
f87,11.55809211730957
f88,9.106019020080566
f102,8.33500862121582
f99,8.299237251281738
f94,8.099445343017578
f89,7.76987886428833
f92,6.723066329956055
f100,6.147885799407959
f103,6.023104667663574
f105,5.8241448402404785
f1,5.232591152191162
f97,4.994443893432617
f16,4.9592604637146
f95,4.791846752166748
f96,4.129019260406494
f0,4.125360012054443
f13,3.926215171813965
f93,3.9255521297454834
f37,3.5850846767425537
f22,3.437406301498413
f104,3.372131109237671
f29,3.1538267135620117
f30,3.1297199726104736
f101,3.121497631072998
f98,3.105520009994507
f34,3.072136402130127
f91,2.950251579284668
f35,2.88789701461792
f21,2.617516040802002
f33,2.610905408859253
