graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,55,55,0.0,True,0.0,2.0257491120137274,2.378379170782864,1.1740739051434652,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,36,36,0.0,True,0.0,0.05028653098270297,0.02493761433288455,0.49591041270001956,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,25,25,0.0,True,0.0,0.017558936029672623,0.023272322956472635,1.3253834353713136,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,50,50,0.0,True,0.0,0.48926687706261873,0.5087219849228859,1.0397637951235705,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,69,69,0.0,True,0.0,8.123566628899425,9.36019276175648,1.152226994539293,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.1188247068785131,0.2571626668795943,2.164218819765477,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,23,23,0.0,True,0.0,0.1084921839646995,0.1914555300027132,1.7646942204150649,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,39,39,0.0,True,0.0,0.3872283911332488,0.6926096347160637,1.788633402341954,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,37,37,0.0,True,0.0,0.7497167009860277,0.5069615142419934,0.6762041095993159,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,67,67,0.0,True,0.0,9.81894834106788,7.5637029549106956,0.7703170127981435,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,49,49,0.0,True,0.0,3.7361754798330367,3.104255828075111,0.8308645685490754,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,50,50,0.0,True,0.0,2.738295233808458,3.637453214265406,1.3283641476475812,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,31,31,0.0,True,0.0,0.199912428855896,0.17139591090381145,0.8573549522894334,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,34,34,0.0,True,0.0,0.12540327105671167,0.08234186191111803,0.6566165397223188,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,53,53,0.0,True,0.0,0.15618247585371137,0.24143081810325384,1.545825271264047,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,50,50,0.0,True,0.0,0.10719678504392505,0.24778442084789276,2.3114911584928635,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,46,46,0.0,True,0.0,1.1958872228860855,1.0350259048864245,0.8654878863815875,0.0,0.0,0
17,synthetic:hard,67,310,67,310,,,,,41,41,0.0,True,0.0,0.4599038171581924,0.9745031441561878,2.1189281493199466,0.0,0.0,0
18,synthetic:hard,65,1019,65,1019,,,,,57,57,0.0,True,0.0,6.802766975015402,9.084712147712708,1.3354436777091192,0.0,0.0,0
19,synthetic:hard,66,165,66,165,,,,,42,42,0.0,True,0.0,1.4330513407476246,3.7401466770097613,2.6099181310967703,0.0,0.0,0
20,synthetic:hard,72,144,72,144,,,,,44,44,0.0,True,0.0,0.4413968180306256,0.057922422885894775,0.13122528418833307,0.0,0.0,0
21,synthetic:hard,60,240,60,240,,,,,42,42,0.0,True,0.0,0.6340156472288072,0.801104199141264,1.2635401076342156,0.0,0.0,0
