graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,55,55,0.0,True,0.0,3.9009980647824705,4.247637724969536,1.0888592238269656,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,36,36,0.0,True,0.0,0.1948017803952098,0.32562789833173156,1.6715858431637765,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,25,25,0.0,True,0.0,0.11904743174090981,0.12416205508634448,1.0429629036984682,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,50,50,0.0,True,0.0,1.6246429639868438,1.171917102765292,0.7213382439975791,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,69,69,0.0,True,0.0,7.352054887916893,7.86167579703033,1.0693167987566305,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.03143413923680782,0.2964912732131779,9.43214226352988,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,23,23,0.0,True,0.0,0.14817532571032643,0.1320467940531671,0.8911523792517952,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,39,39,0.0,True,0.0,0.3272159481421113,0.6287311622872949,1.9214563527760395,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,37,37,0.0,True,0.0,0.40978002920746803,0.42311722273007035,1.0325472023329128,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,67,67,0.0,True,0.0,8.632813420146704,8.68773987609893,1.0063625209163032,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,49,49,0.0,True,0.0,3.3290753019973636,2.649776980280876,0.7959498479025316,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,50,50,0.0,True,0.0,2.380862300749868,1.7970210132189095,0.754777381561683,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,31,31,0.0,True,0.0,0.21435176394879818,0.13867536699399352,0.6469523013914579,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,34,34,0.0,True,0.0,0.16285866778343916,0.10438351891934872,0.6409454304154839,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,53,53,0.0,True,0.0,0.35427996702492237,0.2904719449579716,0.8198937902055802,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,50,50,0.0,True,0.0,0.2450556978583336,0.3888808456249535,1.5869079928505276,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,46,46,0.0,True,0.0,2.902466716244817,1.396490812767297,0.48113930297676705,0.0,0.0,0
17,synthetic:hard,67,310,67,310,,,,,41,41,0.0,True,0.0,0.17053460702300072,0.12079990282654762,0.7083600504046362,0.0,0.0,0
18,synthetic:hard,65,1019,65,1019,,,,,57,57,0.0,True,0.0,5.545363494195044,4.837677833158523,0.8723824575652551,0.0,0.0,0
19,synthetic:hard,66,165,66,165,,,,,42,42,0.0,True,0.0,0.7286543441005051,1.8468248578719795,2.534569199819719,0.0,0.0,0
20,synthetic:hard,72,144,72,144,,,,,44,44,0.0,True,0.0,0.08314663544297218,0.12883980525657535,1.5495492339547854,0.0,0.0,0
21,synthetic:hard,60,240,60,240,,,,,42,42,0.0,True,0.0,0.30044916830956936,0.1110336510464549,0.3695588563987996,0.0,0.0,0
22,synthetic:hard,60,594,60,594,,,,,49,49,0.0,True,0.0,2.505536018870771,1.8013477702625096,0.718947066294567,0.0,0.0,0
23,synthetic:hard,64,96,64,96,,,,,35,35,0.0,True,0.0,0.2636106857098639,0.29821171425282955,1.1312580650886375,0.0,0.0,0
24,synthetic:hard,72,798,72,798,,,,,60,60,0.0,True,0.0,4.6027438887394965,4.576436311937869,0.9942843709236161,0.0,0.0,0
25,synthetic:hard,70,815,70,815,,,,,58,58,0.0,True,0.0,3.5320745850913227,5.173838346265256,1.4648157114529012,0.0,0.0,0
26,synthetic:hard,53,53,53,53,,,,,27,27,0.0,True,0.0,0.14964628592133522,0.224632419180125,1.5010891703534015,0.0,0.0,0
27,synthetic:hard,76,152,76,152,,,,,45,45,0.0,True,0.0,0.8053676183335483,0.4396714880131185,0.545926453962575,0.0,0.0,0
28,synthetic:hard,51,428,51,428,,,,,40,40,0.0,True,0.0,0.7180056972429156,0.9507398158311844,1.3241396544372128,0.0,0.0,0
29,synthetic:hard,51,51,51,51,,,,,26,26,0.0,True,0.0,0.06951548997312784,0.037826459389179945,0.5441443252978908,0.0,0.0,0
30,synthetic:hard,57,212,57,212,,,,,33,33,0.0,True,0.0,0.08278394304215908,0.05766723398119211,0.6965992662589667,0.0,0.0,0
31,synthetic:hard,74,1145,74,1145,,,,,64,64,0.0,True,0.0,5.622824653983116,6.044252514839172,1.0749494936779727,0.0,0.0,0
32,synthetic:hard,67,252,67,252,,,,,40,40,0.0,True,0.0,0.17339748470112681,0.24988966900855303,1.44113779642923,0.0,0.0,0
