graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,66,66,0.0,True,0.0,0.023517897818237543,0.01900056004524231,0.8079191512817888,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,54,54,0.0,True,0.0,0.0172436092980206,0.022182299755513668,1.2864070028575734,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,40,40,0.0,True,0.0,0.014502471312880516,0.003221960738301277,0.22216632384851956,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,72,72,0.0,True,0.0,0.004913870710879564,0.0054847546853125095,1.1161780616590051,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,78,78,0.0,True,0.0,0.019041890278458595,0.023659219965338707,1.2424827377617826,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.006440090946853161,0.0024155364371836185,0.3750780007794655,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,36,36,0.0,True,0.0,0.0030131391249597073,0.002719447948038578,0.9025298319323186,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,48,48,0.0,True,0.0,0.006709692999720573,0.006689432077109814,0.9969803502765918,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,54,54,0.0,True,0.0,0.0035493029281497,0.0034650424495339394,0.976259992364279,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,76,76,0.0,True,0.0,0.015366836916655302,0.013857717160135508,0.9017937286180125,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,54,54,0.0,True,0.0,0.011960255913436413,0.012486768886446953,1.0440218818745377,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,68,68,0.0,True,0.0,0.006282370071858168,0.004455567803233862,0.7092176602573201,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,54,54,0.0,True,0.0,0.003140379674732685,0.00270629720762372,0.8617738897619395,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,58,58,0.0,True,0.0,0.0036311927251517773,0.003464332316070795,0.9540480437942033,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,78,78,0.0,True,0.0,0.008071511052548885,0.017045678105205297,2.1118323439354616,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,68,68,0.0,True,0.0,0.024568675085902214,0.004425177816301584,0.18011462974007914,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,66,66,0.0,True,0.0,0.008678673766553402,0.011196921113878489,1.2901649969872262,0.0,0.0,0
17,synthetic:hard,67,310,67,310,,,,,54,54,0.0,True,0.0,0.014636491890996695,0.019374832045286894,1.3237346892669604,0.0,0.0,0
18,synthetic:hard,65,1019,65,1019,,,,,64,64,0.0,True,0.0,0.03128028707578778,0.03682292299345136,1.1771926166864946,0.0,0.0,0
19,synthetic:hard,66,165,66,165,,,,,60,60,0.0,True,0.0,0.013068231754004955,0.011747113894671202,0.8989061501049002,0.0,0.0,0
20,synthetic:hard,72,144,72,144,,,,,70,70,0.0,True,0.0,0.0036212019622325897,0.00321333110332489,0.8873658903420472,0.0,0.0,0
21,synthetic:hard,60,240,60,240,,,,,60,60,0.0,True,0.0,0.01543811708688736,0.01544273691251874,1.0002992479980155,0.0,0.0,0
22,synthetic:hard,60,594,60,594,,,,,60,60,0.0,True,0.0,0.009960442781448364,0.014716452918946743,1.477489830708791,0.0,0.0,0
23,synthetic:hard,64,96,64,96,,,,,58,58,0.0,True,0.0,0.012607669923454523,0.008210482075810432,0.6512291427090873,0.0,0.0,0
24,synthetic:hard,72,798,72,798,,,,,68,68,0.0,True,0.0,0.030333902221173048,0.02235227031633258,0.736874212666602,0.0,0.0,0
25,synthetic:hard,70,815,70,815,,,,,66,66,0.0,True,0.0,0.010519295930862427,0.017190517857670784,1.6341890151826364,0.0,0.0,0
26,synthetic:hard,53,53,53,53,,,,,46,46,0.0,True,0.0,0.0018500909209251404,0.0017369706183671951,0.9388568954755049,0.0,0.0,0
27,synthetic:hard,76,152,76,152,,,,,70,70,0.0,True,0.0,0.003186540212482214,0.0029661892913281918,0.9308494773450934,0.0,0.0,0
28,synthetic:hard,51,428,51,428,,,,,50,50,0.0,True,0.0,0.005949686747044325,0.005442284047603607,0.9147177454858805,0.0,0.0,0
29,synthetic:hard,51,51,51,51,,,,,40,40,0.0,True,0.0,0.0018223607912659645,0.001720610074698925,0.9441654380105737,0.0,0.0,0
30,synthetic:hard,57,212,57,212,,,,,48,48,0.0,True,0.0,0.003697203006595373,0.003218931145966053,0.8706395456846325,0.0,0.0,0
31,synthetic:hard,74,1145,74,1145,,,,,72,72,0.0,True,0.0,0.014143900014460087,0.02154518524184823,1.5232846117281234,0.0,0.0,0
32,synthetic:hard,67,252,67,252,,,,,54,54,0.0,True,0.0,0.005085682030767202,0.004688668996095657,0.9219351441419837,0.0,0.0,0
33,synthetic:hard,63,694,63,694,,,,,60,60,0.0,True,0.0,0.01199856586754322,0.010431485716253519,0.8693943785791317,0.0,0.0,0
34,synthetic:hard,80,987,80,987,,,,,78,78,0.0,True,0.0,0.016663385089486837,0.023045255802571774,1.3829876509972363,0.0,0.0,0
35,synthetic:hard,78,77,78,77,,,,,22,22,0.0,True,0.0,0.026288986206054688,0.008995417039841413,0.34217436037033844,0.0,0.0,0
