graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,66,66,0.0,True,0.0,0.015355126932263374,0.033033957704901695,2.1513308128695767,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,54,54,0.0,True,0.0,0.004469458945095539,0.003944265190511942,0.8824927667900593,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,40,40,0.0,True,0.0,0.013519135769456625,0.0027923681773245335,0.2065493109132942,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,72,72,0.0,True,0.0,0.005698665045201778,0.00495721073821187,0.8698898248785115,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,78,78,0.0,True,0.0,0.020114507060498,0.01832584571093321,0.9110760535077956,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.0029081678949296474,0.0023624259047210217,0.8123416494762493,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,36,36,0.0,True,0.0,0.020121206995099783,0.002630795817822218,0.13074741582167057,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,48,48,0.0,True,0.0,0.006722162943333387,0.03166144015267491,4.710007838187664,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,54,54,0.0,True,0.0,0.02921921480447054,0.004336697980761528,0.1484193880561778,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,76,76,0.0,True,0.0,0.035008850041776896,0.0371980550698936,1.0625329031231896,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,54,54,0.0,True,0.0,0.02904343418776989,0.014365250244736671,0.49461266019243133,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,68,68,0.0,True,0.0,0.005571126006543636,0.005177102982997894,0.9292740779722201,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,54,54,0.0,True,0.0,0.014236469753086567,0.0022547836415469646,0.1583808121432711,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,58,58,0.0,True,0.0,0.010172383859753609,0.002697437070310116,0.2651725600901038,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,78,78,0.0,True,0.0,0.013037302996963263,0.010122053790837526,0.7763916964417582,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,68,68,0.0,True,0.0,0.009305479004979134,0.014927053824067116,1.6041145024431323,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,66,66,0.0,True,0.0,0.007276284974068403,0.00602065771818161,0.8274356680144247,0.0,0.0,0
