graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,66,66,0.0,True,0.0,0.015050895046442747,0.012273588217794895,0.8154723144319405,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,54,54,0.0,True,0.0,0.0055686249397695065,0.004644650034606457,0.8340748541773233,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,40,40,0.0,True,0.0,0.003110170364379883,0.0027218773029744625,0.8751537646128785,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,72,72,0.0,True,0.0,0.005690855905413628,0.004950531758368015,0.8699098765896791,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,78,78,0.0,True,0.0,0.020118615590035915,0.018063934985548258,0.8978716703794831,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.002424635924398899,0.0024010948836803436,0.9902908966737382,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,36,36,0.0,True,0.0,0.002772828098386526,0.002717087045311928,0.9798974003808483,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,48,48,0.0,True,0.0,0.017930183093994856,0.025211338885128498,1.4060837389648426,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,54,54,0.0,True,0.0,0.028285908047109842,0.0037553030997514725,0.13276233145837354,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,76,76,0.0,True,0.0,0.0312872682698071,0.011400941759347916,0.36439556374917126,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,54,54,0.0,True,0.0,0.010679468046873808,0.0161824319511652,1.5152844580027813,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,68,68,0.0,True,0.0,0.03992480179294944,0.01737826969474554,0.4352750399330592,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,54,54,0.0,True,0.0,0.01830714615061879,0.018987589981406927,1.0371682088070913,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,58,58,0.0,True,0.0,0.011879273690283298,0.0027087870985269547,0.22802632291758868,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,78,78,0.0,True,0.0,0.004414327908307314,0.00396071607246995,0.8972410194123294,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,68,68,0.0,True,0.0,0.0038881050422787666,0.003963354974985123,1.0193538836754916,0.0,0.0,0
16,synthetic:hard,76,152,76,152,,,,,66,66,0.0,True,0.0,0.003647992853075266,0.003448071889579296,0.9451969969383476,0.0,0.0,0
17,synthetic:hard,67,310,67,310,,,,,54,54,0.0,True,0.0,0.005669726058840752,0.005194782745093107,0.9162316999412926,0.0,0.0,0
