graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,66,66,0.0,True,0.0,0.0253106402233243,0.022647372912615538,0.8947767702748782,0.0,0.0,0
1,synthetic:hard,73,210,73,210,,,,,54,54,0.0,True,0.0,0.012663378845900297,0.004458648152649403,0.3520899285180011,0.0,0.0,0
2,synthetic:hard,61,118,61,118,,,,,40,40,0.0,True,0.0,0.01067234668880701,0.003930325154215097,0.36827187766840075,0.0,0.0,0
3,synthetic:hard,72,288,72,288,,,,,72,72,0.0,True,0.0,0.032545015681535006,0.005534395109862089,0.1700535395041191,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,78,78,0.0,True,0.0,0.040991579182446,0.030823594890534878,0.7519494370622978,0.0,0.0,0
5,synthetic:hard,58,57,58,57,,,,,19,19,0.0,True,0.0,0.014621003065258265,0.008567274082452059,0.5859566572972829,0.0,0.0,0
6,synthetic:hard,56,108,56,108,,,,,36,36,0.0,True,0.0,0.017089128028601408,0.014990375377237797,0.8771878443504543,0.0,0.0,0
7,synthetic:hard,51,396,51,396,,,,,48,48,0.0,True,0.0,0.010037983767688274,0.026631649117916822,2.6530874859194986,0.0,0.0,0
8,synthetic:hard,57,171,57,171,,,,,54,54,0.0,True,0.0,0.028268087655305862,0.022576203104108572,0.7986462819628007,0.0,0.0,0
9,synthetic:hard,79,984,79,984,,,,,76,76,0.0,True,0.0,0.026193315163254738,0.02267248323187232,0.8655828057869661,0.0,0.0,0
10,synthetic:hard,57,777,57,777,,,,,54,54,0.0,True,0.0,0.016390343196690083,0.011636494193226099,0.7099603744463392,0.0,0.0,0
11,synthetic:hard,75,225,75,225,,,,,68,68,0.0,True,0.0,0.005191952921450138,0.00551035488024354,1.06132604890887,0.0,0.0,0
12,synthetic:hard,66,66,66,66,,,,,54,54,0.0,True,0.0,0.004510898143053055,0.012461758218705654,2.762589139348493,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,58,58,0.0,True,0.0,0.02876697201281786,0.018623617012053728,0.6473958052921072,0.0,0.0,0
