feature,importance
f86,47.02648162841797
f14,21.14614486694336
f87,8.552391052246094
f90,8.548543930053711
f88,7.6166276931762695
f89,7.3194169998168945
f94,7.044816493988037
f99,6.871999740600586
f102,6.512579441070557
f92,5.968801021575928
f100,5.830012798309326
f103,5.1846022605896
f95,4.645603179931641
f1,4.47262716293335
f16,4.370884418487549
f97,4.0849528312683105
f105,3.803748369216919
f0,3.798351764678955
f13,3.6566882133483887
f96,3.638259172439575
f93,3.5091826915740967
f22,3.300382137298584
f104,3.1214282512664795
f30,3.0550053119659424
f37,3.0129687786102295
f98,2.9112420082092285
f29,2.90669584274292
f91,2.8724563121795654
f35,2.7582807540893555
f34,2.641399621963501
f21,2.6334481239318848
f33,2.581674814224243
f101,2.581143379211426
