graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,0.9016393442622951,0.6954545454545454,0.8208955223880597,1.0,55,55,0.0,True,1.3451149291358888,3.855574319139123,3.338109909091145,0.8657879819669724,0.0,0.0,0
1,synthetic:hard,73,210,38,94,0.7714285714285715,0.8618618618618619,0.7941176470588235,0.75,39,36,0.08333333333333333,True,0.23490075394511223,0.28487761970609426,0.4378556269221008,1.536995525916822,0.4794520547945205,0.5523809523809524,30
2,synthetic:hard,61,118,27,36,0.76,0.875,0.76,0.76,27,25,0.08,True,0.12877240404486656,0.3840942457318306,0.2844161372631788,0.7404852856393853,0.5573770491803278,0.6949152542372881,24
3,synthetic:hard,72,288,59,203,0.8333333333333334,0.7272727272727273,0.7758620689655172,0.9,58,50,0.16,True,0.27898627193644643,1.8643988091498613,2.597091528121382,1.3929914111592991,0.18055555555555555,0.29513888888888884,47
4,synthetic:hard,79,1336,79,1336,0.9324324324324325,0.8188405797101449,0.8734177215189873,1.0,69,69,0.0,True,4.413934535346925,7.667588671669364,8.828444655053318,1.1513977905039623,0.0,0.0,0
5,synthetic:hard,58,57,20,6,0.9743589743589743,0.9973009446693657,0.95,1.0,19,19,0.0,True,0.04182044370099902,0.08534516021609306,0.21138896513730288,2.476871150069532,0.6551724137931034,0.8947368421052632,19
6,synthetic:hard,56,108,32,53,0.7407407407407407,0.8814229249011858,0.6451612903225806,0.8695652173913043,25,23,0.08695652173913043,True,0.20187678514048457,0.25258017610758543,0.04039581585675478,0.15993264586033212,0.42857142857142855,0.5092592592592593,18
7,synthetic:hard,51,396,50,388,0.8539325842696629,0.7435897435897436,0.76,0.9743589743589743,40,39,0.02564102564102564,True,0.4794427393935621,0.41482587112113833,0.19072090508416295,0.4597613561774893,0.0196078431372549,0.02020202020202022,8
8,synthetic:hard,57,171,51,145,0.8181818181818182,0.672972972972973,0.7058823529411765,0.972972972972973,40,37,0.08108108108108109,True,0.11885278997942805,0.2185523109510541,0.22668293211609125,1.0372021742971094,0.10526315789473684,0.15204678362573099,20
9,synthetic:hard,79,984,78,965,0.9241379310344827,0.7649253731343284,0.8589743589743589,1.0,68,67,0.014925373134328358,True,2.5655138790607452,6.378715808968991,6.420308210887015,1.006520497724564,0.012658227848101266,0.019308943089430874,19
