graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:hard,67,716,67,716,,,,,55,55,0.0,True,0.0,4.557511288672686,5.638795806095004,1.2372532834114445,0.0,0.0,0
1,synthetic:hard,73,210,58,165,,,,,42,36,0.16666666666666666,True,0.0,0.511163683142513,0.513294376898557,1.004168319906737,0.2054794520547945,0.2142857142857143,26
2,synthetic:hard,61,118,42,79,,,,,26,25,0.04,True,0.0,0.0557254571467638,0.1265117689035833,2.270268839076367,0.3114754098360656,0.3305084745762712,20
3,synthetic:hard,72,288,72,288,,,,,50,50,0.0,True,0.0,1.6619912120513618,2.0062148650176823,1.2071152064284698,0.0,0.0,0
4,synthetic:hard,79,1336,79,1336,,,,,69,69,0.0,True,0.0,17.75552721787244,13.237312673125416,0.7455319411637037,0.0,0.0,0
5,synthetic:hard,58,57,36,35,,,,,19,19,0.0,True,0.0,0.5554955210536718,0.5483177416026592,0.9870786006745874,0.3793103448275862,0.38596491228070173,16
6,synthetic:hard,56,108,56,108,,,,,23,23,0.0,True,0.0,0.2703685900196433,0.2156031378544867,0.7974415143372324,0.0,0.0,0
7,synthetic:hard,51,396,49,381,,,,,40,39,0.02564102564102564,True,0.0,0.7606150773353875,0.5335506992414594,0.7014726832797114,0.0392156862745098,0.037878787878787845,12
8,synthetic:hard,57,171,57,171,,,,,37,37,0.0,True,0.0,0.31736348709091544,0.3479619990102947,1.0964147205460144,0.0,0.0,0
9,synthetic:hard,79,984,78,966,,,,,70,67,0.04477611940298507,True,0.0,16.26705589098856,13.637605894822627,0.8383573515830505,0.012658227848101266,0.018292682926829285,18
10,synthetic:hard,57,777,57,777,,,,,49,49,0.0,True,0.0,4.515969479922205,4.61662887968123,1.0222896545706412,0.0,0.0,0
11,synthetic:hard,75,225,14,13,,,,,66,50,0.32,True,0.0,0.29968214267864823,3.8858813801780343,12.9666764440646,0.8133333333333334,0.9422222222222222,14
12,synthetic:hard,66,66,66,66,,,,,31,31,0.0,True,0.0,0.27391456393525004,0.22411133768036962,0.8181797070613109,0.0,0.0,0
13,synthetic:hard,60,120,60,120,,,,,34,34,0.0,True,0.0,0.12877054465934634,0.07547425478696823,0.5861142778158639,0.0,0.0,0
14,synthetic:hard,79,237,79,237,,,,,53,53,0.0,True,0.0,0.5600173431448638,0.6431811512447894,1.1485022010798922,0.0,0.0,0
15,synthetic:hard,69,207,69,207,,,,,50,50,0.0,True,0.0,0.32054217904806137,0.6478507430292666,2.021109187418762,0.0,0.0,0
16,synthetic:hard,76,152,16,18,,,,,63,46,0.3695652173913043,True,0.0,0.2014519302174449,3.0071732527576387,14.927497837879887,0.7894736842105263,0.881578947368421,16
17,synthetic:hard,67,310,67,310,,,,,41,41,0.0,True,0.0,0.10503849992528558,0.15665114810690284,1.491368862068,0.0,0.0,0
