feature,importance
f86,73.23482513427734
f14,31.05649185180664
f88,16.90406036376953
f89,13.665858268737793
f94,10.997774124145508
f103,9.647347450256348
f105,8.122775077819824
f100,7.909098148345947
f16,7.3850884437561035
f102,6.738681316375732
f92,6.561453819274902
f87,6.463219165802002
f97,5.675604820251465
f1,5.596922397613525
f0,5.169591426849365
f13,4.514774322509766
f90,4.175267696380615
f96,4.068251609802246
f30,4.0379815101623535
f91,3.9876348972320557
f22,3.943730354309082
f104,3.919734001159668
f98,3.824483633041382
f29,3.786529302597046
f93,3.700817584991455
f101,3.3798725605010986
f33,3.315100908279419
f37,3.2498865127563477
f21,3.2217190265655518
f35,3.196126937866211
f99,3.0505270957946777
f34,3.0051257610321045
f95,2.78592848777771
