graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,synthetic:small,42,232,42,232,0.7941176470588235,0.6099706744868035,0.7297297297297297,0.8709677419354839,31,31,0.0,True,0.20033343182876706,0.822256944142282,0.5534589178860188,0.6730972864733255,0.0,0.0,0
1,synthetic:small,40,111,31,85,0.8936170212765957,0.9799498746867168,0.8076923076923077,1.0,21,21,0.0,True,0.08426643488928676,0.25314170867204666,0.21338848304003477,0.8429605858293645,0.225,0.23423423423423428,11
2,synthetic:small,38,72,21,35,0.8275862068965517,0.8927536231884059,0.8571428571428571,0.8,16,15,0.06666666666666667,True,0.31135456869378686,0.2694655079394579,0.24686857778578997,0.9161416601090746,0.4473684210526316,0.5138888888888888,12
3,synthetic:small,44,176,44,176,0.8493150684931506,0.8619791666666666,0.7560975609756098,0.96875,32,32,0.0,True,0.09013133402913809,0.2898609060794115,0.3051412981003523,1.052716291505535,0.0,0.0,0
4,synthetic:small,50,225,47,208,0.8285714285714286,0.892361111111111,0.7631578947368421,0.90625,34,32,0.0625,True,0.2045829137787223,0.2769021592102945,0.2533096601255238,0.9147984286144434,0.06,0.0755555555555556,12
5,synthetic:small,39,287,39,287,0.8955223880597015,0.7888888888888889,0.8108108108108109,1.0,30,30,0.0,True,0.540197195019573,0.4007576201111078,0.5211331080645323,1.3003698043721565,0.0,0.0,0
6,synthetic:small,28,56,28,56,0.7804878048780488,0.7379679144385026,0.6666666666666666,0.9411764705882353,17,17,0.0,True,0.029755079187452793,0.3702556863427162,0.1438284651376307,0.38845714041107293,0.0,0.0,0
7,synthetic:small,47,161,44,154,0.8285714285714286,0.844758064516129,0.7435897435897436,0.9354838709677419,33,31,0.06451612903225806,True,0.10662192571908236,0.17436098121106625,0.38527334621176124,2.20963052361688,0.06382978723404255,0.04347826086956519,6
8,synthetic:small,24,32,18,25,0.8421052631578947,0.9666666666666668,0.8,0.8888888888888888,9,9,0.0,True,0.02264264179393649,0.15479772025719285,0.19802633905783296,1.279258756064474,0.25,0.21875,6
9,synthetic:small,23,69,23,69,0.8205128205128205,0.5982142857142857,0.6956521739130435,1.0,16,16,0.0,True,0.15098010282963514,0.1161411190405488,0.25657521234825253,2.2091677303253245,0.0,0.0,0
10,synthetic:small,42,84,40,80,0.7796610169491526,0.7623529411764707,0.6764705882352942,0.92,27,25,0.08,True,0.06279968097805977,0.27948528714478016,0.2841710071079433,1.0167655335671957,0.047619047619047616,0.04761904761904767,4
11,synthetic:small,29,94,27,89,0.7272727272727273,0.5555555555555556,0.6153846153846154,0.8888888888888888,19,18,0.05555555555555555,True,0.0721828849054873,0.2068073176778853,0.049624872859567404,0.23995704512188054,0.06896551724137931,0.05319148936170215,5
12,synthetic:small,40,116,33,103,0.8163265306122449,0.8465473145780051,0.7692307692307693,0.8695652173913043,24,23,0.043478260869565216,True,0.0970484409481287,0.16646384727209806,0.14701157622039318,0.8831441699175159,0.175,0.11206896551724133,11
13,synthetic:small,42,97,39,91,0.8518518518518519,0.874141876430206,0.7419354838709677,1.0,23,23,0.0,True,0.11353582283481956,0.424674219917506,0.09687505988404155,0.22811617786184377,0.07142857142857142,0.061855670103092786,5
14,synthetic:small,50,49,23,16,0.9333333333333333,0.9942857142857143,0.9333333333333333,0.9333333333333333,15,15,0.0,True,0.09841986000537872,0.1429850598797202,0.3030428341589868,2.119402085881616,0.54,0.6734693877551021,11
15,synthetic:small,41,41,38,38,0.6086956521739131,0.6452380952380952,0.5384615384615384,0.7,20,20,0.0,True,0.0323495683260262,0.30547727970406413,0.19315253663808107,0.632297553602679,0.07317073170731707,0.07317073170731703,3
16,synthetic:small,50,153,46,141,0.8,0.8777589134125636,0.7647058823529411,0.8387096774193549,32,31,0.03225806451612903,True,0.13927428517490625,0.31704722810536623,0.07211030414327979,0.2274434145795936,0.08,0.07843137254901966,11
17,synthetic:small,31,64,25,55,0.7692307692307693,0.8361344537815125,0.6818181818181818,0.8823529411764706,19,17,0.11764705882352941,True,0.03063863469287753,0.09972853027284145,0.1205051988363266,1.20833224461088,0.1935483870967742,0.140625,7
18,synthetic:small,33,62,27,50,0.7368421052631579,0.7904411764705882,0.6666666666666666,0.8235294117647058,17,17,0.0,True,0.10895728087052703,0.16096999030560255,0.07075480511412024,0.43955276992805803,0.18181818181818182,0.19354838709677424,8
19,synthetic:small,34,33,15,9,0.9,0.9920948616600791,1.0,0.8181818181818182,12,11,0.09090909090909091,True,0.07577674882486463,0.0578927481546998,0.0543630151078105,0.9390297894054498,0.5588235294117647,0.7272727272727273,9
20,synthetic:small,27,108,27,108,0.918918918918919,0.9197530864197532,0.8947368421052632,0.9444444444444444,18,18,0.0,True,0.1852919440716505,0.13515307707712054,0.16025002487003803,1.1856927591711195,0.0,0.0,0
21,synthetic:small,28,75,19,46,0.8387096774193549,0.9030612244897959,0.7647058823529411,0.9285714285714286,14,14,0.0,True,0.13963717687875032,0.23179155495017767,0.05220993096008897,0.22524518191058,0.32142857142857145,0.3866666666666667,10
22,synthetic:small,21,84,21,84,0.8888888888888888,0.6125,0.8,1.0,16,16,0.0,True,0.059801551047712564,0.17495647398754954,0.039215292781591415,0.22414313622016696,0.0,0.0,0
23,synthetic:small,49,342,49,342,0.8571428571428571,0.8397435897435898,0.75,1.0,36,36,0.0,True,0.4246289609000087,0.4483979702927172,0.21272118808701634,0.4744026560783728,0.0,0.0,0
24,synthetic:small,30,80,30,80,0.926829268292683,0.9856459330143541,0.8636363636363636,1.0,19,19,0.0,True,0.0628869030624628,0.1075850729830563,0.29106282303109765,2.705420138321024,0.0,0.0,0
25,synthetic:small,40,207,40,207,0.8253968253968254,0.5956112852664577,0.7647058823529411,0.896551724137931,29,29,0.0,True,1.04593028081581,0.3730234242975712,0.19336278829723597,0.5183663429752473,0.0,0.0,0
26,synthetic:small,27,110,20,79,0.967741935483871,0.9888888888888888,0.9375,1.0,16,15,0.06666666666666667,True,0.08176085911691189,0.146227880846709,0.11775373015552759,0.8052755020020366,0.25925925925925924,0.28181818181818186,11
27,synthetic:small,40,120,40,120,0.7936507936507936,0.7747252747252747,0.6756756756756757,0.9615384615384616,26,26,0.0,True,0.0576980565674603,0.28958162292838097,0.08736029593273997,0.3016776239089793,0.0,0.0,0
28,synthetic:small,44,261,43,256,0.8732394366197183,0.7851239669421488,0.8157894736842105,0.9393939393939394,34,33,0.030303030303030304,True,0.8811676045879722,1.2656611748971045,3.23513644374907,2.5560841305036317,0.022727272727272728,0.019157088122605415,5
29,synthetic:small,23,85,22,82,0.8571428571428571,0.9666666666666667,0.75,1.0,15,15,0.0,True,0.03919295268133283,0.26455405494198203,0.1979554588906467,0.7482609137631977,0.043478260869565216,0.03529411764705881,3
30,synthetic:small,46,397,46,397,0.9047619047619048,0.7335526315789473,0.8260869565217391,1.0,38,38,0.0,True,0.45498136430978775,1.681616016663611,0.9768843366764486,0.5809199763776178,0.0,0.0,0
31,synthetic:small,35,150,28,117,0.8181818181818182,0.8537414965986394,0.782608695652174,0.8571428571428571,23,21,0.09523809523809523,True,0.6471871538087726,0.1786338691599667,0.17006735131144524,0.9520442685991974,0.2,0.21999999999999997,12
32,synthetic:small,50,171,47,163,0.8169014084507042,0.814236111111111,0.7435897435897436,0.90625,33,32,0.03125,True,0.594309349078685,0.2703937850892544,0.5057075242511928,1.870263120449546,0.06,0.04678362573099415,8
33,synthetic:small,48,356,48,356,0.891566265060241,0.8157248157248158,0.8043478260869565,1.0,37,37,0.0,True,0.5341965453699231,0.7946200626902282,0.5715327858924866,0.7192529017673328,0.0,0.0,0
34,synthetic:small,32,96,32,96,0.84,0.7454545454545454,0.75,0.9545454545454546,22,22,0.0,True,0.04330236092209816,0.24466335168108344,0.2682470208965242,1.096392324610111,0.0,0.0,0
35,synthetic:small,27,118,27,118,0.7441860465116279,0.6118421052631579,0.6666666666666666,0.8421052631578947,19,19,0.0,True,0.07894427003338933,0.29295586701482534,0.36696569295600057,1.2526313150691393,0.0,0.0,0
36,synthetic:small,27,135,26,132,0.9,0.9135802469135803,0.8181818181818182,1.0,19,18,0.05555555555555555,True,0.07478434173390269,0.19883674383163452,0.02633228711783886,0.13243169552271378,0.037037037037037035,0.022222222222222254,3
37,synthetic:small,22,88,22,88,0.8108108108108109,0.6666666666666666,0.7142857142857143,0.9375,16,16,0.0,True,0.13802866684272885,0.1953426911495626,0.2699927017092705,1.3821489819783055,0.0,0.0,0
38,synthetic:small,36,108,35,104,0.8214285714285714,0.6041666666666666,0.71875,0.9583333333333334,26,24,0.08333333333333333,True,0.21936941286548972,0.35447261901572347,0.16941938735544682,0.47794774057832606,0.027777777777777776,0.03703703703703709,4
39,synthetic:small,47,255,45,243,0.8732394366197183,0.8939393939393939,0.8157894736842105,0.9393939393939394,34,33,0.030303030303030304,True,0.5546272816136479,0.3379598977044225,0.37363807670772076,1.1055692679683025,0.0425531914893617,0.04705882352941182,11
40,synthetic:small,49,94,32,57,0.8936170212765957,0.973063973063973,0.84,0.9545454545454546,25,22,0.13636363636363635,True,0.05737401498481631,0.1578658800572157,0.19083006074652076,1.208811306644335,0.3469387755102041,0.3936170212765957,14
41,synthetic:small,23,60,19,48,0.8333333333333334,0.9166666666666667,0.8333333333333334,0.8333333333333334,13,12,0.08333333333333333,True,0.16678404016420245,0.1614532028324902,0.22252784296870232,1.3782807591595307,0.17391304347826086,0.19999999999999996,6
42,synthetic:small,25,25,20,22,0.6086956521739131,0.6168831168831169,0.5833333333333334,0.6363636363636364,11,11,0.0,True,0.03448684234172106,0.19664879003539681,0.12490825867280364,0.6351844760922258,0.2,0.12,3
43,synthetic:small,34,102,34,102,0.8235294117647058,0.8333333333333334,0.7241379310344828,0.9545454545454546,22,22,0.0,True,0.18063855171203613,0.06283686216920614,0.017410036642104387,0.27706725067243027,0.0,0.0,0
44,synthetic:small,29,86,27,81,0.7317073170731707,0.4696969696969697,0.6521739130434783,0.8333333333333334,19,18,0.05555555555555555,True,0.0524802734144032,0.11542844399809837,0.17360927490517497,1.5040424083689035,0.06896551724137931,0.05813953488372092,5
45,synthetic:small,24,24,19,18,0.5714285714285714,0.6713286713286714,0.6,0.5454545454545454,11,11,0.0,True,0.030948227737098932,0.18898788839578629,0.16469492577016354,0.8714575688853277,0.20833333333333334,0.25,3
46,synthetic:small,40,76,25,44,0.8108108108108109,0.9166666666666666,0.7894736842105263,0.8333333333333334,20,18,0.1111111111111111,True,0.18346271105110645,0.07479328196495771,0.07711237715557218,1.0310067312155256,0.375,0.42105263157894735,13
47,synthetic:small,45,288,45,288,0.8533333333333334,0.7593582887700535,0.7804878048780488,0.9411764705882353,34,34,0.0,True,0.5832611750811338,0.26100326096639037,0.26701312186196446,1.0230259992665303,0.0,0.0,0
48,synthetic:small,22,40,18,32,0.9090909090909091,0.8512396694214875,0.9090909090909091,0.9090909090909091,11,11,0.0,True,0.15941928001120687,0.06910094432532787,0.18645028118044138,2.698230581374283,0.18181818181818182,0.19999999999999996,6
49,synthetic:small,49,138,43,123,0.8709677419354839,0.8465517241379311,0.8181818181818182,0.9310344827586207,30,29,0.034482758620689655,True,0.07885350892320275,0.3713844227604568,0.4358896156772971,1.1736884720080094,0.12244897959183673,0.10869565217391308,11
