feature,importance
f86,38.610538482666016
f1,23.544851303100586
f0,13.12278938293457
f16,8.751943588256836
f14,8.640685081481934
f88,5.176274299621582
f102,4.1585774421691895
f94,3.863065719604492
f105,3.775940418243408
f97,3.536522626876831
f89,3.466118097305298
f13,3.2162816524505615
f104,3.117370128631592
f37,2.8833584785461426
f34,2.6713919639587402
f91,2.6432816982269287
f93,2.396772623062134
f35,2.369338274002075
f30,2.3328685760498047
f100,2.3123779296875
f98,2.2195024490356445
f33,2.0472640991210938
f22,2.030064105987549
f99,2.0296764373779297
f92,1.9968364238739014
f87,1.9881668090820312
f29,1.9875062704086304
f95,1.98543119430542
f96,1.9356900453567505
f21,1.8408517837524414
f103,1.7616606950759888
f90,1.6142328977584839
