graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:COLLAB,43,363,41,354,0.9333333333333333,0.9107142857142857,0.875,1.0,36,35,0.02857142857142857,True,0.37815682915970683,0.11126500042155385,0.10256335465237498,0.9217935043705512,0.046511627906976744,0.024793388429752095,6
1,tudataset:COLLAB,46,1016,46,1016,0.9777777777777777,0.8863636363636364,0.9565217391304348,1.0,44,44,0.0,True,1.6059184120967984,0.9118723659776151,0.8864987571723759,0.972174166306667,0.0,0.0,0
2,tudataset:COLLAB,127,2079,124,2059,0.9663865546218487,0.8557971014492755,0.9349593495934959,1.0,115,115,0.0,True,8.82676751492545,1.7746494938619435,1.6580968596972525,0.9343235751240926,0.023622047244094488,0.00962000962000964,13
3,tudataset:COLLAB,45,959,45,959,0.9772727272727273,0.8546511627906976,0.9555555555555556,1.0,43,43,0.0,True,1.454813001677394,0.8068461650982499,0.7130303247831762,0.8837252448195627,0.0,0.0,0
4,tudataset:COLLAB,60,305,53,268,0.8505747126436781,0.8465982028241336,0.8043478260869565,0.9024390243902439,43,41,0.04878048780487805,True,0.3925521890632808,0.05089737009257078,0.05095394095405936,1.0011114692445935,0.11666666666666667,0.12131147540983611,18
5,tudataset:COLLAB,57,776,56,775,0.9629629629629629,0.8673076923076923,0.9285714285714286,1.0,52,52,0.0,True,1.2424112251028419,0.5795056950300932,0.6082134256139398,1.0495383062324448,0.017543859649122806,0.0012886597938144284,1
6,tudataset:COLLAB,72,1857,72,1857,0.9640287769784173,0.8791044776119403,0.9305555555555556,1.0,67,67,0.0,True,5.695505178067833,3.8072293400764465,3.625372784677893,0.9522338847612206,0.0,0.0,0
7,tudataset:COLLAB,56,271,45,243,0.8461538461538461,0.923611111111111,0.7857142857142857,0.9166666666666666,38,36,0.05555555555555555,True,0.310831265989691,0.062300861813127995,0.05228863889351487,0.8392923849168431,0.19642857142857142,0.10332103321033215,12
8,tudataset:COLLAB,42,288,41,287,0.9333333333333333,0.7407407407407407,0.8974358974358975,0.9722222222222222,36,36,0.0,True,0.2621624991297722,0.0717433919198811,0.07080145506188273,0.9868707509807974,0.023809523809523808,0.00347222222222221,1
9,tudataset:COLLAB,49,892,47,888,0.9777777777777777,0.9409090909090909,0.9565217391304348,1.0,44,44,0.0,True,1.4099377202801406,0.8701003543101251,0.771480361931026,0.8866567610384531,0.04081632653061224,0.004484304932735439,3
10,tudataset:COLLAB,81,567,77,545,0.9130434782608695,0.81875,0.863013698630137,0.9692307692307692,65,65,0.0,True,0.9933182583190501,0.12122131185606122,0.11509552365168929,0.9494660789379534,0.04938271604938271,0.03880070546737213,16
11,tudataset:COLLAB,44,305,41,293,0.8918918918918919,0.8611111111111112,0.868421052631579,0.9166666666666666,36,36,0.0,True,0.2992768231779337,0.0682888999581337,0.06931354571133852,1.0150045725415553,0.06818181818181818,0.03934426229508192,7
12,tudataset:COLLAB,38,111,31,92,0.88,0.8571428571428571,0.8461538461538461,0.9166666666666666,25,24,0.041666666666666664,True,0.10582356620579958,0.022443260997533798,0.018563947174698114,0.8271501711243314,0.18421052631578946,0.1711711711711712,10
13,tudataset:COLLAB,58,586,52,559,0.9278350515463918,0.9021739130434783,0.8823529411764706,0.9782608695652174,46,46,0.0,True,0.8389977980405092,0.172052173409611,0.16148954583331943,0.9386079968246334,0.10344827586206896,0.0460750853242321,13
14,tudataset:COLLAB,67,1434,66,1422,0.9767441860465116,0.8214285714285714,0.9545454545454546,1.0,63,63,0.0,True,3.8391121798194945,2.467534812167287,1.5748938769102097,0.6382458594482595,0.014925373134328358,0.008368200836820106,12
15,tudataset:COLLAB,63,1290,62,1287,0.957983193277311,0.912280701754386,0.9193548387096774,1.0,57,57,0.0,True,2.944607383105904,1.211805202998221,1.3744481950998306,1.1342154594642786,0.015873015873015872,0.0023255813953488857,3
16,tudataset:COLLAB,92,880,81,808,0.9210526315789473,0.9054325955734406,0.8641975308641975,0.9859154929577465,72,71,0.014084507042253521,True,2.0900843967683613,0.24159236904233694,0.24069911381229758,0.9963026347496811,0.11956521739130435,0.08181818181818179,32
17,tudataset:COLLAB,36,455,36,455,0.9565217391304348,0.7070707070707072,0.9166666666666666,1.0,33,33,0.0,True,0.41120952693745494,0.339106063824147,0.3325358317233622,0.9806248463189029,0.0,0.0,0
18,tudataset:COLLAB,85,1935,83,1867,0.9615384615384616,0.8763736263736264,0.9615384615384616,0.9615384615384616,78,78,0.0,True,6.790361396037042,3.0415080334059894,2.387281447183341,0.7849005891034841,0.023529411764705882,0.03514211886304908,38
19,tudataset:COLLAB,43,315,39,304,0.9041095890410958,0.8107142857142857,0.868421052631579,0.9428571428571428,35,35,0.0,True,0.34831932140514255,0.2539716465398669,0.2832021708600223,1.1150936520607506,0.09302325581395349,0.03492063492063491,4
20,tudataset:COLLAB,71,1822,68,1719,0.9774436090225563,0.9525641025641026,0.9558823529411765,1.0,67,65,0.03076923076923077,True,9.367427235934883,3.692914701066911,2.0897690262645483,0.5658860806237409,0.04225352112676056,0.056531284302963725,39
21,tudataset:COLLAB,40,228,34,206,0.8571428571428571,0.8566666666666667,0.8181818181818182,0.9,31,30,0.03333333333333333,True,0.18543208576738834,0.14965962199494243,0.09551487118005753,0.6382140346665137,0.15,0.0964912280701754,14
