feature,importance
f94,44.631858825683594
f86,22.372852325439453
f14,17.299503326416016
f92,13.726587295532227
f88,7.266402721405029
f89,6.493431568145752
f103,4.353858947753906
f97,3.9841790199279785
f100,2.996882200241089
f101,2.6648125648498535
f104,2.0384044647216797
f13,1.9338796138763428
f96,1.7642263174057007
f21,1.7260884046554565
f99,1.6944682598114014
f98,1.6638838052749634
f22,1.5953805446624756
f87,1.4664984941482544
f95,1.41086745262146
f90,1.3157542943954468
f93,1.2463165521621704
