graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:MUTAG,26,30,22,26,0.6666666666666666,0.5833333333333333,0.5238095238095238,0.9166666666666666,12,12,0.0,True,0.013989474158734083,0.01443028636276722,0.008024003822356462,0.5560529861042717,0.15384615384615385,0.1333333333333333,2
1,tudataset:MUTAG,19,22,17,20,0.6923076923076923,0.6,0.5294117647058824,1.0,9,9,0.0,True,0.010406299959868193,0.011899170000106096,0.008128924295306206,0.6831505302667099,0.10526315789473684,0.09090909090909094,1
2,tudataset:MUTAG,23,27,18,18,0.7692307692307693,0.8106060606060607,0.6666666666666666,0.9090909090909091,13,11,0.18181818181818182,True,0.020422677043825388,0.010735291987657547,0.008643548004329205,0.8051525765919327,0.21739130434782608,0.33333333333333337,6
3,tudataset:MUTAG,11,11,7,6,0.9090909090909091,0.9333333333333333,0.8333333333333334,1.0,6,5,0.2,True,0.010929442942142487,0.008195654954761267,0.007282638922333717,0.8885975510844154,0.36363636363636365,0.4545454545454546,4
4,tudataset:MUTAG,22,24,16,16,0.6666666666666666,0.7,0.5714285714285714,0.8,10,10,0.0,True,0.018813265953212976,0.014163355343043804,0.008283475879579782,0.5848526481860905,0.2727272727272727,0.33333333333333337,5
5,tudataset:MUTAG,11,11,8,6,0.9090909090909091,1.0,0.8333333333333334,1.0,6,5,0.2,True,0.010240477975457907,0.008155154064297676,0.007171327713876963,0.8793614022906334,0.2727272727272727,0.4545454545454546,3
6,tudataset:MUTAG,14,15,11,12,0.8,1.0,0.6666666666666666,1.0,7,6,0.16666666666666666,True,0.01287445705384016,0.013790592085570097,0.007501660380512476,0.5439694201644831,0.21428571428571427,0.19999999999999996,2
7,tudataset:MUTAG,17,19,13,12,0.42105263157894735,0.3194444444444444,0.36363636363636365,0.5,10,8,0.25,True,0.014649039134383202,0.020039504393935204,0.007805342320352793,0.38949777234585786,0.23529411764705882,0.368421052631579,5
8,tudataset:MUTAG,16,17,12,12,0.7368421052631579,1.0,0.5833333333333334,1.0,8,7,0.14285714285714285,True,0.014120105188339949,0.0213765031658113,0.008112423587590456,0.3795019009734545,0.25,0.2941176470588235,3
9,tudataset:MUTAG,11,11,7,7,0.8,1.0,0.6666666666666666,1.0,6,4,0.5,True,0.011666597798466682,0.018949147313833237,0.007357828784734011,0.3882933972106838,0.36363636363636365,0.36363636363636365,3
10,tudataset:MUTAG,20,22,18,20,0.75,0.898989898989899,0.6,1.0,9,9,0.0,True,0.018569625448435545,0.022475671023130417,0.013659532181918621,0.6077474691572576,0.1,0.09090909090909094,1
11,tudataset:MUTAG,22,25,17,18,0.8695652173913043,0.9833333333333334,0.7692307692307693,1.0,11,10,0.1,True,0.014544448349624872,0.06354616675525904,0.008510607294738293,0.13392794135822458,0.22727272727272727,0.28,4
12,tudataset:MUTAG,16,17,13,14,0.7,0.7619047619047619,0.5384615384615384,1.0,8,7,0.14285714285714285,True,0.008950009010732174,0.014618187677115202,0.007212579250335693,0.49339763653650437,0.1875,0.17647058823529416,2
13,tudataset:MUTAG,23,27,20,23,0.6153846153846154,0.5151515151515151,0.5333333333333333,0.7272727272727273,12,11,0.09090909090909091,True,0.012275652028620243,0.01924744015559554,0.016014616936445236,0.8320387961715278,0.13043478260869565,0.14814814814814814,3
14,tudataset:MUTAG,24,25,16,17,0.8,0.9071428571428571,0.6666666666666666,1.0,11,10,0.1,True,0.020143925212323666,0.016029478050768375,0.009821815881878138,0.6127346037575645,0.3333333333333333,0.31999999999999995,4
15,tudataset:MUTAG,27,33,25,31,0.7027027027027027,0.7912087912087912,0.5416666666666666,1.0,13,13,0.0,True,0.014235245063900948,0.011435956228524446,0.009791736025363207,0.8562236361957999,0.07407407407407407,0.06060606060606055,1
