graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,tudataset:NCI1,16,18,15,17,0.7058823529411765,0.8359375,0.6666666666666666,0.75,9,8,0.125,True,0.011807651724666357,0.5765170869417489,0.24087357474491,0.4178082145364892,0.0625,0.05555555555555558,1
1,tudataset:NCI1,13,14,12,13,0.7058823529411765,0.6666666666666667,0.5454545454545454,1.0,6,6,0.0,True,0.012248555198311806,0.7586725931614637,0.03988528810441494,0.05257246467571604,0.07692307692307693,0.0714285714285714,1
2,tudataset:NCI1,35,37,29,32,0.7027027027027027,0.78,0.5909090909090909,0.8666666666666667,16,15,0.06666666666666667,True,0.042238753754645586,0.33401796175166965,0.3044763966463506,0.9115569565468994,0.17142857142857143,0.1351351351351351,3
3,tudataset:NCI1,22,24,21,24,0.6666666666666666,0.6942148760330579,0.5263157894736842,0.9090909090909091,11,11,0.0,True,0.014268108177930117,0.1050657513551414,0.19572028005495667,1.8628361528904547,0.045454545454545456,0.0,0
4,tudataset:NCI1,28,28,28,28,0.5714285714285714,0.6666666666666667,0.5333333333333333,0.6153846153846154,13,13,0.0,True,0.07780143106356263,0.31786274863407016,0.00906817289069295,0.028528580117239244,0.0,0.0,0
5,tudataset:NCI1,13,14,8,9,0.7692307692307693,0.761904761904762,0.7142857142857143,0.8333333333333334,8,6,0.3333333333333333,True,0.007564883213490248,0.26901538018137217,0.23219400411471725,0.8631253869506283,0.38461538461538464,0.3571428571428571,5
6,tudataset:NCI1,18,19,16,17,0.7368421052631579,0.8375,0.6363636363636364,0.875,9,8,0.125,True,0.012409487273544073,0.3028288949280977,0.312330971006304,1.0313777061480953,0.1111111111111111,0.10526315789473684,1
7,tudataset:NCI1,27,30,27,30,0.6857142857142857,0.961111111111111,0.5217391304347826,1.0,12,12,0.0,True,0.0345150800421834,0.3150645401328802,0.19312221324071288,0.6129608021241061,0.0,0.0,0
8,tudataset:NCI1,26,27,23,24,0.72,0.8242424242424242,0.6428571428571429,0.8181818181818182,12,11,0.09090909090909091,True,0.12719071470201015,0.31519972113892436,0.21593716135248542,0.6850804327244663,0.11538461538461539,0.11111111111111116,1
9,tudataset:NCI1,25,28,25,28,0.7333333333333333,0.9025974025974026,0.5789473684210527,1.0,11,11,0.0,True,0.06398421479389071,0.06565884593874216,0.026190792210400105,0.39889205842629905,0.0,0.0,0
10,tudataset:NCI1,14,15,13,14,0.7777777777777778,0.8877551020408163,0.6363636363636364,1.0,7,7,0.0,True,0.009080982767045498,0.19551212899386883,0.24000312807038426,1.2275613247396566,0.07142857142857142,0.06666666666666665,1
11,tudataset:NCI1,26,28,26,28,0.6428571428571429,0.7619047619047619,0.5625,0.75,12,12,0.0,True,0.08402756368741393,0.35823935037478805,0.2483504950068891,0.6932529738764494,0.0,0.0,0
12,tudataset:NCI1,21,23,20,22,0.6666666666666666,0.7090909090909091,0.5294117647058824,0.9,11,10,0.1,True,0.08867329731583595,0.2337405546568334,0.35809484915807843,1.5320184795651572,0.047619047619047616,0.04347826086956519,1
13,tudataset:NCI1,19,20,17,18,0.7272727272727273,0.7777777777777778,0.6153846153846154,0.8888888888888888,9,9,0.0,True,0.01291870977729559,0.30815847171470523,0.0686622466892004,0.22281473005476313,0.10526315789473684,0.09999999999999998,1
14,tudataset:NCI1,23,26,23,26,0.625,0.6287878787878788,0.5,0.8333333333333334,12,12,0.0,True,0.043186699971556664,0.5532866162247956,0.2813589461147785,0.5085229569342498,0.0,0.0,0
15,tudataset:NCI1,16,17,15,16,0.7058823529411765,0.8571428571428572,0.6,0.8571428571428571,8,7,0.14285714285714285,True,0.017085567582398653,0.43438600935041904,0.33807859010994434,0.7782906972890475,0.0625,0.05882352941176472,1
16,tudataset:NCI1,25,27,23,25,0.6923076923076923,0.8051948051948052,0.6,0.8181818181818182,11,11,0.0,True,0.01900601200759411,0.35066475719213486,0.48665426298975945,1.387804884889284,0.08,0.07407407407407407,1
17,tudataset:NCI1,19,20,14,14,0.8,0.8977272727272727,0.6666666666666666,1.0,8,8,0.0,True,0.012973079923540354,0.11290791537612677,0.36325405491515994,3.2172594251258873,0.2631578947368421,0.30000000000000004,3
18,tudataset:NCI1,32,33,22,23,0.6875,0.8906882591093117,0.5789473684210527,0.8461538461538461,13,13,0.0,True,0.0625189240090549,0.2018090719357133,0.1999045591801405,0.9905627990986476,0.3125,0.303030303030303,5
19,tudataset:NCI1,23,25,20,22,0.7692307692307693,0.8461538461538461,0.625,1.0,10,10,0.0,True,0.07580454694107175,0.23709391802549362,0.2366119851358235,0.997967333393941,0.13043478260869565,0.12,1
20,tudataset:NCI1,19,21,16,17,0.9411764705882353,0.9659090909090908,0.8888888888888888,1.0,9,8,0.125,True,0.014264979865401983,0.4586649681441486,0.01353906374424696,0.029518416893770535,0.15789473684210525,0.19047619047619047,2
21,tudataset:NCI1,25,28,25,28,0.5882352941176471,0.46153846153846156,0.47619047619047616,0.7692307692307693,13,13,0.0,True,0.021108897402882576,0.4315257198177278,0.2863024896942079,0.6634656442149943,0.0,0.0,0
22,tudataset:NCI1,37,43,37,43,0.6666666666666666,0.7690058479532165,0.5333333333333333,0.8888888888888888,18,18,0.0,True,0.22414025804027915,0.3495075898244977,0.21408859780058265,0.6125434869900406,0.0,0.0,0
23,tudataset:NCI1,19,21,17,19,0.6666666666666666,0.8068181818181819,0.5384615384615384,0.875,8,8,0.0,True,0.013384032994508743,0.32768501807004213,0.3178224992007017,0.9699024419015937,0.10526315789473684,0.09523809523809523,2
24,tudataset:NCI1,23,24,21,22,0.7142857142857143,0.9846153846153846,0.5555555555555556,1.0,10,10,0.0,True,0.016704166308045387,0.3313656337559223,0.15341530600562692,0.462978928341826,0.08695652173913043,0.08333333333333337,2
25,tudataset:NCI1,17,18,13,13,0.5555555555555556,0.6458333333333334,0.5,0.625,8,8,0.0,True,0.029059112071990967,0.3036238900385797,0.10952225094661117,0.36071684258012376,0.23529411764705882,0.2777777777777778,2
26,tudataset:NCI1,21,24,20,23,0.72,0.8,0.6,0.9,11,10,0.1,True,0.062182032968848944,0.1551083279773593,0.11346394894644618,0.7315142289652441,0.047619047619047616,0.04166666666666663,1
